Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
LW001974	0.137492317303563	0	0	0.0305081193077531	0.138581604976438	0.129464926772703	0.0116569869033586	0	0	0	0.0919444697775449	0	0.151901972937262	0.0213155880316814	0	0	0	0.00884111819317492	0	0	0	0.27829289579652	9999	0.403745789557647	0.922377980461979
LW001975	0.0939261026455701	0	0.0299902887000966	0.0707426396658328	0.0575543764968171	0.232661327152531	0	0	0	0	0.117546325307913	0	0.183512613403507	0	0	0	0	0	0.00934737882971856	0	0	0.204718947798014	9999	0.468019639679045	0.883521270618285
LW001976	0.0490076072101	0.017747770396685	0.00657458128488285	0.0528916627267503	0.143233746496364	0.136203280498722	0.00609280188353461	0	0	0	0.0729102625315951	0	0.164141719863073	0	0	0	0	0	0.0037181560322625	0	0	0.347478411076032	9999	0.567431613531013	0.822946914733064
LW001977	0.0273689711517721	0	0	0.0395535771020633	0.0993864385145575	0.142833368060651	0	0	0	0	0.108438769002421	0	0.263399357994558	0	0	0	0	0	0.0267678037846549	0	0	0.292251714389321	9999	0.56788374378175	0.82236617244913
LW001978	0.099033597733143	0	0	0.0143676457493334	0.113615458708224	0.202188390357677	0	0	0	0	0.104048264747864	0	0.141602983988189	0	0	0	0	0.00385452167102414	0.0131820232474317	0	0	0.308107113797114	9999	0.453465008286781	0.895584878905641
LW001979	0.0804024449883114	0	0	0.0219960112013571	0.17592490321468	0.136991866223363	0	0	0	0	0.0841808036627975	0	0.181542423180283	0.00453882631362659	0	0	0	0	0.0131601164284176	0	0	0.301262604787163	9999	0.495734018136688	0.869530899761376
LW001980	0.0338060337111294	0	0.00558948382790767	0.0217687498106649	0.0866762327096151	0.163776603281842	0	0	0	0	0.0615914169463269	0.0179196051696185	0.144269196404525	0.00209687083257756	0	0	0	0	0.0336509045708808	0	0	0.428854902734912	9999	0.544329561596332	0.843475027720093
LW001981	0.0415251423996936	0	0.00478016143384676	0.0241800469357305	0.0943391641264918	0.109535599535221	0.0101956122513315	0	0	0	0.0414181585842354	0	0.121801776521522	0.00264803593460858	0	0	0	0	0	0	0	0.549576302277318	9999	0.672471274377172	0.743864555458816
LW001982	0.0453093081316088	0	0.00261466376432854	0.00434127434393953	0.147707920231581	0.0597816727100279	0	0	0.00618775995405887	0	0.0967635799796686	0	0.133984926687438	0	0	0	0	0.0067365806248266	0	0	0	0.496572313572522	9999	0.624946613259411	0.784122226074425
LW001983	0.0216181577091832	0	0.00407658573733634	0	0.0419675678193426	0.0330937048923984	0.0171394948988759	0	0.0122511810298262	0	0.0354586335996317	0	0.249131229469942	0.0418064411117528	0	0	0	0	0	0	0	0.543457003731711	9999	0.595996547760892	0.82572934418122
LW001984	0.0278467724234912	0	0.00337803133876988	0.0162083985833561	0.0819346944761968	0.12223904649108	0	0	0	0	0.074267249971948	0.00468388016119257	0.245057382255337	0.00811862704638061	0	0	0	0	0.035537113053673	0	0	0.380728804198575	9999	0.556835986757844	0.832680022320174
LW001985	0	0	0.000381894421027411	0.0106756274802006	0.267865827408086	0.0670156397382293	0	0	0	0	0.0822347005190506	0	0.192122042505672	0.000713186210683934	0	0	0	0.000674626757874315	0.0151082306581179	0	0	0.363208224301058	9999	0.54348997498082	0.841369657279508
LW001986	0.0347310662977043	0.00136897572179169	0.00407995447347975	0.0228420858891043	0.135512741344957	0.129229286606212	0	0	0	0	0.0865228415573512	0.0038333745031356	0.136464422199996	0.00163200888908557	0	0	0	0.00129201227816639	0.029989294577698	0	0	0.412501935661318	9999	0.480606974569855	0.887705308054383
LW001987	0.0365923279144464	0	0	0.11075952288191	0.0917732070091161	0.144310134969905	0	0	0	0	0.152174475801175	0	0.272852604399927	0	0	0	0	0	0.00836667214971004	0	0	0.18317105487381	9999	0.320188092661384	0.967929110475459
LW001988	0.0198792852190599	0	0	0.0403259658130004	0.174502078851433	0.116051340567695	0	0	0	0	0.0556234019483505	0	0.167768124866581	0	0	0	0	0.00289859295086801	0.0137953758023754	0	0	0.409155833980637	9999	0.571247586614575	0.822735960725003
LW001989	0.037183408416494	0	0.00174195153843626	0.0594292757770451	0.14643840171429	0.113287466410601	0	0	0	0	0.0842897631318836	0.0112006172413286	0.204637165326922	0.00194146848197284	0	0	0	0	0.029375933039879	0	0	0.310474548921147	9999	0.542683013473558	0.839477843281155
LW001990	0.109723738070457	0	0	0.034467426811517	0.0976376738686218	0.162222339519346	0	0	0	0	0.0708154648623092	0	0.165820466300957	0.00399528363973085	0	0	0	0.000670462403666066	0.00779697576899504	0	0	0.3468501687544	9999	0.568807902510128	0.822006164973275
LW001991	0.0184085095733364	0	0.00745753745230701	0.0681775766183257	0.0968055593474202	0.0982250713214103	0.00370626883788452	0	0	0	0.0824388308691946	0	0.214949752562626	0.00120333788159601	0	0	0	0.0089846807887723	0	0	0	0.399642874747127	9999	0.572403287997216	0.822059280514601
LW001992	0.0511302430758701	0	0.0031390756649276	0.0693245914228206	0.201060919731053	0.0717639221405934	0.000145253390358491	0	0	0	0.0858061669478035	0	0.171040856222029	0	0	0	0	0.00584475620461739	0.00254954312249866	0	0	0.338194672077428	9999	0.557749041072353	0.829730740329458
LW001993	0.106147536928018	0	0	0.0188869433465779	0.131406100207421	0.13010019035393	0	0	0	0	0.0787738955347868	0	0.205225845609874	0.0174612358657582	0	0.00373103839950626	0	0	0.00879654832808975	0	0	0.299470665426039	9999	0.472755974950565	0.883854670750064
LW001994	0.0567029313842324	0	0.00471092783708715	0.0557878404186567	0.0966608816373829	0.133830873119303	0	0	0	0	0.146838471492007	0	0.167439750457569	0.00944310259379261	0	0	0	0	0.00901600173212476	0	0	0.319569219327844	9999	0.495946716297467	0.870649726870681
LW001995	0.00495065455328177	0.0192905728667153	0.00436530075878313	0.025419370249361	0.069291958466109	0.124677345985595	0	0	0	0	0.0552569597585417	0.00523543179644717	0.203611964937998	0.00230316131697809	0	0	0	0.0029748061335831	0.0288947343430318	0	0	0.453727738833575	9999	0.222271243874302	1.07413222045824
LW001996	0.0552763456992901	0.00595420141629423	0.00140310659578433	0.0142787457731037	0.151720419738301	0.151075354335376	0	0	0	0	0.0745138213830468	0.0105032837138288	0.159566952301967	0.00311583636650398	0	0	0	0	0.0279253656322483	0	0	0.344666567044256	9999	0.585982903253405	0.809791272319995
LW001997	0.119018907598748	0	0	0.0741025566227311	0.180428735909359	0.160539736680863	0	0	0	0	0.0959165163844177	0	0.20386419256412	0	0	0	0	0.00143668535219537	0.00765296070151549	0	0	0.15703970818605	9999	0.319912225091565	0.962488412559313
