GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
A1BG	0	0	222.325230515366	0	559.0514516486	71.261358867664	0	1126.59977393042	0	63.7677184209866
A1BG.AS1	0	0	252.71553641992	589.195517474741	909.662014813418	80.5355924008946	0	0	0	159.639011449864
A2M	149.866789978035	0	0	0	0	0	650.291329808858	382.202734748114	3998.84523376644	0
A2M.AS1	10.141836360279	16093.4529193008	2955.43579623076	0	4248.66562763959	151.070979454951	0	20945.1668596514	76254.9040403397	0
A2ML1	0	0	0	0	0	0	1.82909386564813	0	500.74309889587	0.486730739163388
A2ML1.AS1	0.98722287961505	0	0	0	0	0	0	0	0	0
A2MP1	0	33.5315095016743	0	0	0	0	0	55.3419274875879	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	21.6223209873654
A4GALT	0	0	0	0	0	23.7281204909345	0	197.838371630899	1841.04832496362	0
A4GNT	1.44902022433075	0	0	0	0	0	8.72162635415577	0	0	0
AAAS	380.875832844367	0	220.001270503198	0	2971.86961883453	487.257513967925	0	1835.63701459757	0	686.562551538578
AACS	416.482624020076	0	554.628162160489	151.336901393225	2107.31715886031	0	0	4453.35439663446	0	651.772170615165
AACSP1	0	0	0	0	0	0	0	13.7192807247443	0	0
AADACL2	0	0	0	0.226433205488603	0	0	0	0	0	0
AADACL2.AS1	9.4615818546644	0	0	0	0	0	0	0	10.7577912008632	0
AADACL3	0.217988374500472	0	0	0	0	0	0.539867402938347	4.79575418841513	0	0
AADACL4	0	0	0	0.0360088552877051	0	0	2.11849672025378	0	0	0.0627125347213848
AADAT	0	0	0	0	0	0	34.0630898406718	3.71813108835864	0	0.0879813295790761
AAGAB	0	0	2387.08072964333	4.84226539243706	1766.48601640255	0	6866.09105419811	8594.2072866221	0	734.362484667748
AAK1	10039.4159719461	0	22285.7815962488	5609.31627554546	24756.6376921253	0	0	34282.6074775804	133756.354503475	7508.39738443296
AAMDC	0	0	53.2511784504413	0	109.119960380185	24.4637367406609	30.7775386992168	4.44221958627187	0	37.3810484994861
AAMP	1334.93647782676	2792.9935052011	0	0	4575.86186143861	1179.17715494169	4866.04797486057	7643.68091255957	0	1173.08045549503
AANAT	0	3.5267006294927	0	0	0	0	0	8.74293366756901	0	1.27309114509739
AAR2	527.707570812058	0	1616.2799496704	76.0441930350164	3344.84998464698	0	0	4663.06717210728	0	861.305716093103
AARD	0	16.1672473633004	20.6156177719537	0	0	4.07302627192163	0	0	0	0
AARS1	1520.39815404708	3919.0094421047	275.39284093622	0.227235228192132	4772.06817627993	908.495259335291	26382.7294959874	4527.06106537716	0	903.916357122382
AARS2	135.440164346403	1517.29621267411	568.001043842239	901.397951730537	2818.58938525495	0	4322.88025993119	4026.00979452571	0	349.302531575993
AARSD1	273.107377229486	0	0	138.612919164737	846.092051424576	304.534682457106	0	0	0	55.303239234274
AARSD1P1	8.22878989924639	103.843257620512	0	0	0	0	29.3362832363722	0	0	12.9833838350069
AASDH	478.746150987208	0	205.083809046575	101.336180023108	1004.60754686427	248.244701615449	0	678.737605532524	0	260.982788052549
AASDHPPT	1304.47334681658	0	1520.24987120401	0	2046.3107171164	59.7169934897663	4442.54332143407	6111.86849052109	0	676.018360777497
AASS	0	158.171320712436	675.600851678723	227.647680911024	171.414799613106	0	1858.52648632127	1812.2190320768	0	102.52636369309
AATBC	0	9195.51988342127	0	0	2345.23280649963	5904.34032858305	33838.0531688692	11996.9994224418	0	1080.2708887974
AATF	3096.94707887339	2436.35476333282	558.990252347597	4.43133796848741	4302.18326984691	0	0	10627.5019442621	0	3283.78282723257
AATK	0	0	0	0	0	0	0	0	0	19705.7677123431
ABALON	93.4903146472546	481.1583620396	0	0	25.6826913610443	89.8458086728101	1906.38883945351	256.548633891659	0	48.2593411606705
ABAT	1043.52201407444	6412.37742730752	0	217.479643037717	11.9795893796292	1368.94895466812	0	7556.1659984727	0	2603.07918266243
ABCA1	0	0	0	0	0	2333.06619654701	257257.524359259	37163.4989484358	0	5717.78068018925
ABCA10	0	73.2285710460923	62.8100595199869	0	293.095896237925	0	0	892.91658559085	0	3.61144513874646
ABCA11P	3.24033564946852	0	167.634620856172	198.24963828957	220.644340365434	0	2972.43107366377	261.743710494582	0	16.4484736720303
ABCA12	0.648890111195366	0	0	0	0	0.304489149996116	0	0	143.299165838352	0
ABCA13	0	5715.05578659838	0	0	0	0	0	5890.5887867417	47002.4389612191	472.651651256454
ABCA17P	5.29823421623358	0	82.3089465273992	0	47.1500481043655	0	0	101.173971713365	0	0
ABCA2	0	11971.0055099249	3278.68093936315	0	9862.50225327288	5700.90383142474	0	2245.13924425883	0	4182.63333632026
ABCA3	0	0	805.18942364327	0	1736.96977647844	0	2407.23299020893	2038.4797693685	0	150.977304153871
ABCA4	11.4955187078088	5.05072060225079	0	0	0	0	0	0	2.03874786033104	0.276610178870215
ABCA5	1804.1953673541	0	756.660633055541	1110.60560552565	2909.76874753797	0	0	5510.22906909481	0	751.195278872913
ABCA6	107.621155940443	0	23.5880538136109	0	0	91.687483094238	0	0	21.3983969321621	10.8191180464161
ABCA7	2666.35195723953	0	0	0	13385.8116210369	6771.9029663858	0	0	773745.712972795	13175.6080376397
ABCA9	0	0	0	0	0	43.8800214297872	0	160.247481846873	1598.36966591135	9.78819833565713
ABCA9.AS1	0	0	0	0	1.36245657902252	0	0	0	0	0
ABCB1	1100.04826636798	0	984.462371865405	0	946.758346706635	0	6767.62580368179	7808.47794855715	0	351.42160503174
ABCB10	0	6392.57960584639	0	0	0	1825.20803592863	35252.6816580025	15441.7996654219	0	599.679396363991
ABCB10P1	0	0	0.0653969073763514	0	0	0	8.2398347498717	0	13.0621907360445	0
ABCB10P3	0	0	4.50314347550026	0	0	0	0	2.21998230581903	0	0
ABCB11	0	79.8319879947485	0	0	0	0	0	0	0	22.1341797306298
ABCB4	1655.8652635758	2515.12481172232	0	0	0	0	656.894251788731	1278.8524576345	0	48.5880772138641
ABCB5	0	308.570559410596	0	0	0	0	0	82.925928439657	0	4.36956255916774
