GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
A1BG	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1BG.AS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2M	149.866789978035	NA	0	0	0	0	NA	NA	NA	NA
A2M.AS1	NA	NA	NA	0	NA	NA	NA	20945.1668596514	NA	NA
A2ML1	0	NA	0	0	0	0	1.82909386564813	0	NA	NA
A2ML1.AS1	0.98722287961505	0	0	0	0	0	0	0	0	0
A2MP1	0	NA	0	0	0	0	0	NA	0	0
A3GALT2	0	0	0	0	0	0	NA	0	NA	21.6223209873654
A4GALT	0	NA	0	0	0	NA	NA	NA	NA	NA
A4GNT	1.44902022433075	0	0	0	0	0	8.72162635415577	0	0	0
AAAS	NA	NA	NA	NA	2971.86961883453	NA	NA	NA	0	686.562551538578
AACS	NA	NA	NA	NA	2107.31715886031	NA	NA	NA	NA	651.772170615165
AACSP1	0	0	0	0	0	0	0	13.7192807247443	0	0
AADACL2	0	0	0	0.226433205488603	0	0	0	0	0	0
AADACL2.AS1	NA	0	0	0	0	0	0	0	NA	0
AADACL3	0.217988374500472	0	0	0	0	0	0.539867402938347	4.79575418841513	0	0
AADACL4	0	0	0	0.0360088552877051	0	0	2.11849672025378	0	0	0.0627125347213848
AADAT	0	0	0	0	0	0	34.0630898406718	3.71813108835864	0	0.0879813295790761
AAGAB	NA	NA	NA	NA	NA	NA	NA	8594.2072866221	NA	734.362484667748
AAK1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAMDC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAMP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AANAT	0	NA	0	0	0	0	0	NA	NA	NA
AAR2	NA	NA	NA	NA	NA	NA	NA	NA	NA	861.305716093103
AARD	0	16.1672473633004	20.6156177719537	0	0	NA	0	0	NA	0
AARS1	NA	NA	NA	NA	4772.06817627993	NA	NA	NA	NA	NA
AARS2	NA	NA	NA	NA	2818.58938525495	NA	NA	NA	NA	NA
AARSD1	NA	0	NA	NA	846.092051424576	304.534682457106	NA	NA	NA	NA
AARSD1P1	NA	NA	0	NA	0	NA	NA	NA	NA	NA
AASDH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
