GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
A1BG	1	1	0.767262627881864	1	0.393010081685178	0.816375271125799	1	0.446776490076959	1	0.691112428695287
A1BG.AS1	1	1	0.919690742358673	0.558288013646451	0.675044836828413	0.937335490682602	1	1	1	0.76563494061947
A2M	0.469555124873815	1	1	1	1	1	0.787461748992465	0.47803447844714	0.696984476259282	1
A2M.AS1	0.999047456377008	0.692873287780076	0.7935172284329	1	0.663611642101226	0.973861253173733	1	0.348765649280196	0.85703581595786	1
A2ML1	1	1	1	1	1	1	0.990918064088677	1	0.466932108491983	0.900424246498051
A2ML1.AS1	0.56775646914141	1	1	1	1	1	1	1	1	1
A2MP1	1	0.522908921249425	1	1	1	1	1	0.0626882891198453	1	1
A3GALT2	1	1	1	1	1	1	1	1	1	0.21822296385011
A4GALT	1	1	1	1	1	0.785949783530548	1	0.637180808840326	0.818342690296922	1
A4GNT	0.75827136631735	1	1	1	1	1	0.874196707318632	1	1	1
AAAS	0.801818194094797	1	0.91300145662491	1	0.0995579230702951	0.555606566828776	1	0.642474368119786	1	0.121957062537011
AACS	0.818046336451579	1	0.817537785575726	0.874822345804363	0.316376705691659	1	1	0.349496632346157	1	0.213201011728483
AACSP1	1	1	1	1	1	1	1	0.118120024704489	1	1
AADACL2	1	1	1	0.802857303724191	1	1	1	1	1	1
AADACL2.AS1	0.637893248787482	1	1	1	1	1	1	1	0.991401856630846	1
AADACL3	0.952019015185091	1	1	1	1	1	0.989846247619322	0.611916198952909	1	1
AADACL4	1	1	1	0.967667852037937	1	1	0.913926048899109	1	1	0.894832434289077
AADAT	1	1	1	1	1	1	0.67903619281005	0.838547206994985	1	0.964698114185574
AAGAB	1	1	0.493292105806698	0.997208683031487	0.556578511483423	1	0.822198023227919	0.2144653782963	1	0.3266385434921
AAK1	0.640035666404521	1	0.436751541855653	0.622680111186511	0.319738769929067	1	1	0.539993255463739	0.900174972738667	0.225030823259655
AAMDC	1	1	0.778824137548379	1	0.507288990369881	0.752305434959808	0.985298600286709	0.990444017554488	1	0.360548776785341
AAMP	0.716367663789646	0.873637672464994	1	1	0.284175779270826	0.555454613877626	0.909813010942034	0.426823462395781	1	0.267067198035015
AANAT	1	0.948347233485741	1	1	1	1	1	0.767775182463966	1	0.69347953632509
AAR2	0.856341060110757	1	0.676851407279536	0.960789304018245	0.323262997422944	1	1	0.540302111605949	1	0.303852201799233
AARD	1	0.868505055270266	0.450012801278442	1	1	0.713386056808604	1	1	1	1
AARS1	0.691979250334694	0.830806681979559	0.956814694450894	0.999910815878087	0.28473648563826	0.662846576468879	0.558155068516637	0.650302918454217	1	0.409267474326935
AARS2	0.952528289782739	0.889208948730882	0.850930923252237	0.458756593008539	0.287418785124876	1	0.871140614892197	0.498799754802831	1	0.589455464232132
AARSD1	0.720761540949372	1	1	0.732503471954247	0.339436067341737	0.465155807011564	1	1	1	0.798262101878585
AARSD1P1	0.889591193180862	0.714782306110321	1	1	1	1	0.966281216290022	1	1	0.44313307517904
AASDH	0.63219699191217	1	0.876953385990407	0.848254115814085	0.384591663928648	0.647368286851522	1	0.793688766779122	1	0.361173339746542
AASDHPPT	0.586109508824949	1	0.632444426362471	1	0.45801268917475	0.96322324577797	0.873725814622346	0.330814248510341	1	0.32388276517688
AASS	1	0.965636726776611	0.509625956973556	0.577693110873672	0.845595096802207	1	0.836170688308567	0.36879469719742	1	0.638200344627302
AATBC	1	0.743055033782414	1	1	0.727219415440372	0.0750163255897954	0.622602697421855	0.434275458325928	1	0.517215767631697
AATF	0.586198056705411	0.92843245858437	0.940786097814612	0.998824602351514	0.510483998393429	1	1	0.473824666851289	1	0.0521453595893635
AATK	1	1	1	1	1	1	1	1	1	0.054999398263314
ABALON	0.794862138608793	0.779840964794652	1	1	0.950303203211525	0.645873236981793	0.65133077199877	0.78381636999449	1	0.636532496752635
ABAT	0.849183201962793	0.807188346756362	1	0.940463594532358	0.998480647682823	0.646541450790369	1	0.597636581775172	1	0.106080538098652
ABCA1	1	1	1	1	1	0.815849477131982	0.242327823394095	0.442089046239334	1	0.281601963519113
ABCA10	1	0.947540391057635	0.838886669732256	1	0.279345566211607	1	1	0.150976286196671	1	0.95629690639564
ABCA11P	0.993724186456711	1	0.759566887653997	0.369849759709248	0.641498995652936	1	0.539847658678619	0.807121410299202	1	0.887996993976941
ABCA12	0.934703369888302	1	1	1	1	0.943526698536237	1	1	0.716856111127941	1
ABCA13	1	0.807305484853297	1	1	1	1	1	0.644235533382428	0.847087740572478	0.733553669136251
ABCA17P	0.949554386782169	1	0.462448321385528	1	0.624614425959897	1	1	0.643160553172198	1	1
