GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
A1BG	1	1	1	1	1	1	1	1	1	1
A1BG.AS1	1	1	1	1	1	1	1	1	1	1
A2M	1	1	1	1	1	1	1	1	1	1
A2M.AS1	1	1	1	1	1	1	1	1	1	1
A2ML1	1	1	1	1	1	1	1	1	1	1
A2ML1.AS1	1	1	1	1	1	1	1	1	1	1
A2MP1	1	1	1	1	1	1	1	1	1	1
A3GALT2	1	1	1	1	1	1	1	1	1	1
A4GALT	1	1	1	1	1	1	1	1	1	1
A4GNT	1	1	1	1	1	1	1	1	1	1
AAAS	1	1	1	1	1	1	1	1	1	1
AACS	1	1	1	1	1	1	1	1	1	1
AACSP1	1	1	1	1	1	1	1	1	1	1
AADACL2	1	1	1	1	1	1	1	1	1	1
AADACL2.AS1	1	1	1	1	1	1	1	1	1	1
AADACL3	1	1	1	1	1	1	1	1	1	1
AADACL4	1	1	1	1	1	1	1	1	1	1
AADAT	1	1	1	1	1	1	1	1	1	1
AAGAB	1	1	1	1	1	1	1	1	1	1
AAK1	1	1	1	1	1	1	1	1	1	1
AAMDC	1	1	1	1	1	1	1	1	1	1
AAMP	1	1	1	1	1	1	1	1	1	1
AANAT	1	1	1	1	1	1	1	1	1	1
AAR2	1	1	1	1	1	1	1	1	1	1
AARD	1	1	1	1	1	1	1	1	1	1
AARS1	1	1	1	1	1	1	1	1	1	1
AARS2	1	1	1	1	1	1	1	1	1	1
AARSD1	1	1	1	1	1	1	1	1	1	1
AARSD1P1	1	1	1	1	1	1	1	1	1	1
AASDH	1	1	1	1	1	1	1	1	1	1
AASDHPPT	1	1	1	1	1	1	1	1	1	1
AASS	1	1	1	1	1	1	1	1	1	1
AATBC	1	1	1	1	1	1	1	1	1	1
AATF	1	1	1	1	1	1	1	1	1	0.97378699896544
AATK	1	1	1	1	1	1	1	1	1	0.97378699896544
ABALON	1	1	1	1	1	1	1	1	1	1
ABAT	1	1	1	1	1	1	1	1	1	0.99274341722437
ABCA1	1	1	1	1	1	1	1	1	1	1
ABCA10	1	1	1	1	1	1	1	1	1	1
ABCA11P	1	1	1	1	1	1	1	1	1	1
ABCA12	1	1	1	1	1	1	1	1	1	1
ABCA13	1	1	1	1	1	1	1	1	1	1
ABCA17P	1	1	1	1	1	1	1	1	1	1
ABCA2	1	1	1	1	1	1	1	1	1	1
ABCA3	1	1	1	1	1	1	1	1	1	1
ABCA4	1	1	1	1	1	1	1	1	1	1
ABCA5	1	1	1	1	1	1	1	1	1	1
ABCA6	1	1	1	1	1	1	1	1	1	1
ABCA7	1	1	1	1	1	1	1	1	1	0.980835281327851
ABCA9	1	1	1	1	1	1	1	1	1	1
ABCA9.AS1	1	1	1	1	1	1	1	1	1	1
ABCB1	1	1	1	1	1	1	1	1	1	1
ABCB10	1	1	1	1	1	1	1	1	1	1
ABCB10P1	1	1	1	1	1	1	1	1	1	1
ABCB10P3	1	1	1	1	1	1	1	1	1	1
ABCB11	1	1	1	1	1	1	1	1	1	1
ABCB4	1	1	1	1	1	1	1	1	1	1
ABCB5	1	1	1	1	1	1	1	1	1	1
ABCB6	1	1	1	1	1	1	1	1	1	1
ABCB7	1	1	1	1	1	1	1	1	1	1
ABCB8	1	1	1	1	1	1	1	1	1	1
ABCB9	1	1	1	1	1	1	1	1	1	1
ABCC1	1	1	1	1	1	1	1	1	1	1
ABCC10	1	1	1	1	1	1	1	1	1	1
ABCC11	1	1	1	1	1	1	1	1	1	1
ABCC13	1	1	1	1	1	1	1	1	1	1
ABCC2	1	1	1	1	1	1	1	1	1	0.97378699896544
ABCC3	1	1	1	1	1	1	1	1	1	1
ABCC4	1	1	1	1	1	1	1	1	1	1
ABCC5	1	1	1	1	1	1	1	1	1	0.97378699896544
ABCC6	1	1	1	1	1	1	1	1	1	1
ABCC6P1	1	1	1	1	1	1	1	1	1	1
ABCC9	1	1	1	1	1	1	1	1	1	1
ABCD1	1	1	1	1	1	1	1	1	1	0.97378699896544
ABCD2	1	1	1	1	1	1	1	1	1	1
ABCD3	1	1	1	1	1	1	1	1	1	0.97378699896544
ABCD4	1	1	1	1	1	1	1	1	1	1
ABCE1	1	1	1	1	1	1	1	1	1	1
ABCF1	1	1	1	1	1	1	1	1	1	1
ABCF2	1	1	1	1	1	1	1	1	1	1
ABCF2.H2BE1	1	1	1	1	1	1	1	1	1	1
ABCF2P1	1	1	1	1	1	1	1	1	1	1
ABCF3	1	1	1	1	1	1	1	1	1	1
ABCG1	1	1	1	1	1	1	1	1	1	1
ABCG2	1	1	1	1	1	1	1	1	1	1
ABCG4	1	1	1	1	1	1	1	1	1	1
ABCG5	1	1	1	1	1	1	1	1	1	1
ABHD1	1	1	1	1	1	1	1	1	1	1
ABHD10	1	1	1	1	1	1	1	1	1	1
ABHD11	1	1	1	1	1	1	1	1	1	1
ABHD11.AS1	1	1	1	1	1	1	1	1	1	1
ABHD12	1	1	1	1	1	1	1	1	1	1
ABHD12B	1	1	1	1	1	1	1	1	1	1
