Mixture	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
LW001974	0.137492317303563	0	0.031476712034306	0.280672111379053	0.0919444697775449	0.174186153695496	0.00980971091972786	0.000968592726552943	0.000968592726552943	0.27829289579652
LW001975	0.0939261026455701	0.0299902887000966	0.071448748743618	0.290921812727133	0.117546325307913	0.184218722481292	0.000706109077785223	0.0100534879075038	0.000706109077785223	0.204718947798014
LW001976	0.066755377606785	0.00657458128488285	0.0543806840504203	0.287018850202291	0.0729102625315951	0.165630741186743	0.00148902132366997	0.00520717735593247	0.00148902132366997	0.347478411076032
LW001977	0.0273689711517721	0	0.0413686696534238	0.244034899126569	0.108438769002421	0.265214450545918	0.00181509255136049	0.0285828963360154	0.00181509255136049	0.292251714389321
LW001978	0.099033597733143	0	0.0146980553311016	0.316134258647669	0.104048264747864	0.141933393569957	0.00418493125279235	0.0135124328291999	0.000330409581768214	0.308107113797114
LW001979	0.0804024449883114	0	0.0231381669125281	0.314058925149214	0.0841808036627975	0.187223405205081	0.00114215571117096	0.0143022721395886	0.00114215571117096	0.301262604787163
LW001980	0.0338060337111294	0.00558948382790767	0.0219259432307153	0.250610029411508	0.0795110221159454	0.146523260657153	0.000157193420050424	0.0338080979909312	0.000157193420050424	0.428854902734912
LW001981	0.0415251423996936	0.00478016143384676	0.0262454541792228	0.216135783156537	0.0414181585842354	0.126515219699623	0.00206540724349232	0.00206540724349232	0.00206540724349232	0.549576302277318
LW001982	0.0453093081316088	0.00261466376432854	0.00478182122043083	0.214117899772159	0.0967635799796686	0.134425473563929	0.0071771275013179	0.0004405468764913	0.0004405468764913	0.496572313572522
LW001983	0.0216181577091832	0.00407658573733634	3.95327959410511e-06	0.104455901920037	0.0354586335996317	0.290941623861289	3.95327959410511e-06	3.95327959410511e-06	3.95327959410511e-06	0.543457003731711
LW001984	0.0278467724234912	0.00337803133876988	0.0167455146308213	0.204710857014742	0.0789511301331406	0.253713125349183	0.000537116047465204	0.0360742291011382	0.000537116047465204	0.380728804198575
LW001985	0	0.000381894421027411	0.0106882320111072	0.334894071677222	0.0822347005190506	0.192847833247263	0.000687231288780897	0.0151208351890245	1.26045309065822e-05	0.363208224301058
LW001986	0.036100042019496	0.00407995447347975	0.0230183402612817	0.264918282323346	0.0903562160604868	0.138272685461259	0.00146826665034379	0.0301655489498754	0.000176254372177401	0.412501935661318
LW001987	0.0365923279144464	0	0.112343203148281	0.237667022245392	0.152174475801175	0.274436284666298	0.00158368026637119	0.00995035241608123	0.00158368026637119	0.18317105487381
LW001988	0.0198792852190599	0	0.0407937576024482	0.291021211208576	0.0556234019483505	0.168235916656029	0.00336638474031577	0.0142631675918232	0.000467791789447757	0.409155833980637
LW001989	0.037183408416494	0.00174195153843626	0.0606238875222259	0.260920479870072	0.0954903803732122	0.207773245554076	0.00119461174518081	0.0305705447850598	0.00119461174518081	0.310474548921147
LW001990	0.109723738070457	0	0.0352420087436502	0.260634595320101	0.0708154648623092	0.170590331872821	0.00144504433579928	0.00857155770112825	0.000774581932133212	0.3468501687544
LW001991	0.0184085095733364	0.00745753745230701	0.0682646810720609	0.19882400396045	0.0824388308691946	0.216240194897957	0.00907178524250754	8.71044537352376e-05	8.71044537352376e-05	0.399642874747127
LW001992	0.0511302430758701	0.0031390756649276	0.0697937021879038	0.273439206027088	0.0858061669478035	0.171509966987112	0.0063138669697006	0.00301865388758187	0.000469110765083208	0.338194672077428
LW001993	0.106147536928018	0	0.0201069223143858	0.262726269529159	0.0787738955347868	0.227638098842946	0.00121997896780791	0.0100165272958977	0.00121997896780791	0.299470665426039
LW001994	0.0567029313842324	0.00471092783708715	0.056053873255611	0.23075778759364	0.146838471492007	0.177148885888316	0.000266032836954316	0.00928203456907908	0.000266032836954316	0.319569219327844
LW001995	0.0242412274199971	0.00436530075878313	0.0257400906572662	0.194290024859609	0.0604923915549889	0.206235846662881	0.0032955265414883	0.029215454750937	0.000320720407905195	0.453727738833575
LW001996	0.0612305471155843	0.00140310659578433	0.0150257994882059	0.303542827788779	0.0850171050968756	0.163429842383573	0.000747053715102164	0.0286724193473505	0.000747053715102164	0.344666567044256
LW001997	0.119018907598748	0	0.0743205378345335	0.341186453802024	0.0959165163844177	0.204082173775922	0.00165466656399773	0.00787094191331785	0.000217981211802357	0.15703970818605
LW001998	0.0252793756458548	0	0.150042806817255	0.337613409302558	0.166972460597806	0.162646760569735	0.000513716908811104	0.0105650079994325	0.000513716908811104	0.148935046702603
LW001999	0.0689778231808074	0	0.0268209029234671	0.237464429177056	0.119225065717777	0.15733241914024	0.000601813121611908	0.0318372941453671	0.000601813121611908	0.360749318201733
LW002000	0.108455919340666	0	0.0525096028283236	0.316337880035269	0.0877189739383266	0.207169037147797	0.00154982186331112	0.00947626144280508	0.00154982186331112	0.224531612720058
LW002001	0.0763794766367202	0.00335950479663538	0.0934583186650383	0.258618052835039	0.0940169339424695	0.240638991265844	0.00170962282511647	0.0131923124017588	0.00170962282511647	0.22717490075696
LW002080	0.056329448540005	0	0.0447473366436456	0.271979016657448	0.0560733073231688	0.172631641137306	0.00341929569619692	0.03393724058669	0.0007701488026301	0.364733457428691
