GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
A1BG	0	352.559091216653	221.131932900296	26.6158798630463	318.820209854877	92.5241116092356	1127.32541564524	694.473084703129	4300.12714360596	46.2465113571368
A1BG.AS1	101.155728848959	1204.08916037685	651.095667304824	297.022972563366	929.017109687979	234.118625238675	2472.56811923033	1429.92038045838	16924.7174940343	136.583702965532
A2M	91.4733272661357	162.991608220985	0	0	6.742630318011	1.56387608966387	681.789122966	268.29312449536	4407.47608342525	4.61437302612679
A2M.AS1	2721.26822695294	47071.5454048162	2889.63974289248	0	3128.03146589173	909.873282722747	4608.06450513612	5669.37286096397	89617.6810993242	414.459955085562
A2ML1	0.335294659863493	64.7643777060266	1.87542924571125	0.25326563248605	0.543488972219858	0.0219593534495357	14.0072362346069	1.26297676751796	265.263308670346	0.570057546967042
A2ML1.AS1	0.464742955999306	0	0	0	0	0	0	0	0	0
A2MP1	0.348100297548196	186.262469728243	0.123888140161432	0	0	0.437679272787581	0	40.8269989488553	0	0.213658128910669
A3GALT2	0	0	0	0	0	0	228.104464188666	0	442.91168205283	4.08388762149889
A4GALT	0	287.093269085939	0.970639036931186	0.484786728541482	0	16.9858755068088	192.466826440036	160.8503414731	2681.56111140942	6.78528625490091
A4GNT	0.774965557834655	0	0	0	0	0	10.862476257248	0.219064898126213	0	0
AAAS	556.356815175777	1005.00104259173	646.807265295798	117.202437724427	808.095263556103	399.324060833877	4263.87179930886	1701.96003338668	2554.27995020844	174.27593681784
AACS	392.171319378684	928.358262069207	749.532558587994	269.855626639547	855.728254764128	140.595700882874	2369.35133747995	2047.59359626644	2819.57932875614	108.964591694899
AACSP1	0	10.192006846831	0.343630482594838	0	0.234529087557714	0.152359316331283	0	5.75923253228334	0	0
AADACL2	0	0	0	0.0924912020522874	0	0	0	0	0	0.00133960194037347
AADACL2.AS1	5.92394584388232	2.22921821658365	0	0	0.31557597715569	0	0	0	121.822073123598	0
AADACL3	0.272633648860884	9.18085902437764	0	0	0	0.0220527846845766	3.97004440590335	3.3640711900914	24.7124879384171	0.0345621325453442
AADACL4	0	0	0.0364087061091901	0.0466011972734936	0	0	3.49827400463195	0.111756145317009	0	0.0514024859647155
AADAT	0.0591609643866777	2.68068125510447	0	0.0669817905725788	0	0	17.0170994163418	3.43870157265067	0	0.169975390530016
AAGAB	482.080753930767	1653.770400702	1368.75239745587	197.37089405902	1152.60818816433	35.9367835393818	8822.44928514867	2190.51137653104	6762.51350101562	129.837357992798
AAK1	9283.12289017815	96542.8342254157	11975.9937832947	3961.01648706886	14096.550584871	2667.6582371661	44712.0846469143	21759.4043693499	212554.215473247	2887.15607500836
AAMDC	22.1449788745005	362.012062043329	62.5970079527201	8.94428513792249	53.5428828852814	24.5911968297544	466.140705414711	92.2384701437322	969.949096529373	13.1750042716052
AAMP	1419.32225776836	3731.43961717941	612.042799751756	411.577344162513	1751.04630745035	884.119796830472	12337.1375618148	3530.48665547246	66711.2936734593	337.544229221634
AANAT	0.0708030502473444	79.10897973545	0.433304174919277	0	0.890712213981761	0.514130801948436	43.5285433924526	11.3599476613735	129.343568866549	1.04962378787879
AAR2	599.671024951201	4159.12423870916	1067.32013913839	303.428078286048	1087.22837281701	383.908599857374	6674.62963020469	2210.41618450107	15233.3642810606	183.952255406375
AARD	0	29.9044221412093	8.95802434260684	0	1.95247763604592	2.6570638174824	0	0	155.576447231781	0.110163995771702
AARS1	1115.93111168646	5687.64580553334	1202.03032473515	457.702746430517	1733.76835434823	683.988249493445	16764.2216231141	3532.77200462543	51847.9886659007	383.617088225671
AARS2	512.329306493193	6625.66542775078	637.84271184965	501.97573622039	1158.17253612889	215.254389736995	6717.49492281057	2551.919781225	12105.3633653535	239.571612842577
AARSD1	286.475500552203	158.238757315606	264.636791355469	108.12252414271	386.987680960296	180.654465238592	1230.69379564444	362.247255281582	5784.71817698015	48.5726469303938
AARSD1P1	13.7582087447723	89.1695351696594	5.40339775475406	3.85113773907047	0.135720452790429	2.99333407685354	174.887427698961	13.5496811352382	324.926075901053	4.83446330487432
AASDH	339.358182825683	498.309459784926	443.325055010101	167.623963924784	519.912849975238	308.838291362281	2225.45384541998	1116.23604138385	6622.90467463477	91.2913432174582
AASDHPPT	967.328188213026	5471.48097521238	814.766769212219	17.4005983159586	903.335029960884	323.738280915792	9730.14379577998	2465.50972107111	19164.283919649	288.094297608709
AASS	218.099019505755	2556.27225155528	482.24305175896	130.288553848176	221.788286735899	28.4468793959987	2434.07381749798	905.945252803588	0	49.3240288263731
AATBC	71.4427693237838	6540.88821044534	102.921263528556	273.383433323804	1274.98915885989	1147.834777723	32899.8900579268	6452.07674447542	26879.8510425966	592.395644914477
AATF	1760.89613014015	13615.4927212439	1673.81963722789	438.523475832319	2165.79214344974	317.532955355381	11824.1592635234	4760.96780228754	6002.97215366618	363.123504423077
AATK	0	129243.695247077	0	0	0	485.374576743338	0	5743.19863788413	43412.2319948115	1477.63704730958
ABALON	105.928959858136	481.57657231314	13.9333119389657	3.02583386977193	91.0542156907797	60.1498262817462	1518.37042402528	254.4962983608	0	23.358007243012
ABAT	1117.34878628011	5971.58722955916	753.384224919882	576.65281108133	841.441743380866	1121.09472213403	7678.81074809161	5283.8305502559	4675.93118372522	306.937148609599
ABCA1	267.458041412666	99442.1568590158	744.717171747452	0	0	1707.83331190771	113242.107667279	15047.6568017638	60838.3653151983	1621.72849637044
ABCA10	37.1048015395969	556.654572126418	66.1573534346297	0	84.8608004104944	0	0	271.407674116564	0	6.98497171515172
ABCA11P	168.468104779442	315.760930369259	160.812129400299	64.8288232886778	146.850708830018	30.2227824590468	2352.49688877746	359.164805004331	1169.57624479028	26.4951974343925
ABCA12	1.70526954717672	0.0281796294670159	1.22891296407254	0	0	0.463528377214665	1.47766177096858	0.488790858793942	149.152644647707	0
ABCA13	0	30086.4647928608	233.061220128838	0	154.397300953361	13.4026387162526	429.713780997224	4037.68260236845	66110.4846825577	254.760594781376
ABCA17P	19.3465605902813	95.0071983932463	29.3062470680715	6.03630080112778	25.3230142871807	0	176.351415726312	67.0463064391	306.913016824594	1.61737570132561
ABCA2	2687.07836677433	29727.6650711947	5922.55719944188	25.0719359071922	5829.55189243963	2941.24535653803	26003.0973717831	11532.0219200997	136354.563244662	1560.09770506249
ABCA3	312.976727834461	1441.6570999851	548.535554375409	55.8743131773365	706.497600603868	75.813345841945	5077.30198582018	1431.23500596618	9674.95435453543	97.3188564978927
ABCA4	6.59634548870519	21.2317669370588	1.4675753138327	0	0.1705430787913	0.106131659322039	0.502749087679611	4.32200500149139	120.675703013795	0.468502983698583
ABCA5	1329.75894075329	13524.5583937847	1124.44586929014	531.937891728394	1164.91656938855	0	10689.5881762986	2778.18071184891	7567.76967882599	324.023628916668
ABCA6	68.1140890335764	1028.9002765597	50.264309815648	8.48317109815912	35.2686490015639	54.5262682147302	556.5354979359	7.08758210159345	3620.16918477665	13.0450664559036
ABCA7	7716.05309331916	19521.7764195818	31.0278110434096	0	6679.42695528876	5183.95487727957	0	14776.6404261479	501162.635294278	2485.53873886168
ABCA9	0	7.74944475948574	1.45461847013227	1.08833612481531	0	14.0622029426849	96.2643477749841	84.5162429464478	1973.29227658449	8.75177296473653
ABCA9.AS1	0.130170599659351	0.08428438831384	0.347378912776842	0	0.670545900275701	0	1.41840295617232	1.10686249700682	53.7079819202487	0
ABCB1	725.1575719177	3182.30476229973	1086.12060139833	12.527141379661	1006.22432546164	0	9049.95218587825	2299.8235921515	19207.1966328035	134.898697547352
ABCB10	566.250781218522	25024.2634438975	569.721627438848	0	1841.48966115809	1036.50428392968	24499.7751354711	8280.06075685101	249.517070927349	441.204543109441
ABCB10P1	0	4.50269689039227	1.27205537149001	0	0.62572401896819	0	18.6525987587057	0.652585217290926	47.4439384975652	0.0786115202476857
ABCB10P3	0.321653102223278	8.9031102446783	2.52156089911304	0	0	0.0451186556682407	6.79168198435666	2.89277966885578	0	0
ABCB11	12.7297133643597	1016.20329634656	0	0	12.2027628011453	3.6912716682413	0	23.4050129415542	0	9.37594559695762
ABCB4	344.583694779536	1462.69123902968	40.4428185296548	28.1877743232867	102.447139018356	0	2341.46160788271	679.233761472431	804.830101504695	46.8860398885778
