Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
LW001974,0.123259587385814,0,0,0.0308742637771363,0.135527165866191,0.147877145463869,0.00759271627657757,0,0,0,0.085007082773554,0,0.148444270707311,0.00366678101945743,0,0,0,0.00105810266716506,0.0189383870247759,0,0,0.297754497038149,0,0.859270993216637,0.603174448941283
LW001975,0.0738223557168885,0,0.0106059716854964,0.0535701451623714,0.106465555253605,0.20184008555387,0,0,0,0,0.123064831947138,0,0.188280448028074,0,0,0,0,0,0.0189452319497947,0,0,0.223405374702762,0,0.825795079855892,0.645122045138159
LW001976,0.0665671863636427,0,0.00478441318489666,0.0372639374408692,0.180365851846446,0.124643852085985,0.00328686317450577,0,0,0,0.0916877768854948,0,0.143494660502124,0.0110108449580506,0,0,0,0.00212750538674192,0.00724326727597469,0,0,0.327523840895269,0,0.877845899720805,0.572147779965122
LW001977,0.0428805165511785,0,0,0.034978770361172,0.0895761194808072,0.141765416948496,0,0,0,0,0.133505008159301,0,0.257447388982851,0,0,0,0,0,0.0161538161973961,0,0,0.283692963318798,0,0.874009358905096,0.577810830501549
LW001978,0.108455445216333,0,0,0.0379170153789191,0.0879967474747013,0.195397992971637,0,0,0,0,0.114554251251913,0,0.139697149650232,7.9210566752343e-05,0,0,0,0,0.00524100002021584,0,0,0.310661187469296,0,0.847541741794818,0.606526146392791
LW001979,0.0652106768263888,0,0,0.0287810264002696,0.17402916305861,0.130697902622352,0,0,0,0,0.0884986555223522,0,0.171197353587666,0.0147178930676781,0,0,0,0,0.0210992376680163,0,0,0.305768091246667,0,0.874675429127388,0.581987299904584
LW001980,0.0472162621940876,0,0.00250426187986308,0.0274028784952453,0.0744033066669134,0.187793763196838,0,0,0,0,0.0972308417501097,0,0.164167043358914,0.00923734023250086,0,0,0,0,0.0134207753358897,0,0,0.376623526889639,0,0.863873731915746,0.56768475741603
LW001981,0.0333884765475328,0,0.00282398473023,0,0.0881331236956852,0.128601195036252,0,0,0,0,0.071766383759347,0,0.14129141535475,0.00292864919922599,0,0,0,0.000287307924507132,0.0161743262937477,0,0,0.514605137458722,0,0.888977649446129,0.491311989082251
LW001982,0.0364147813861113,0,0.0027671242310872,0,0.105283360070825,0.117247591251529,0,0,0,0,0.0983843786514438,0,0.178966157036742,0,0,0,0,0.00349022523912454,0.0076611913306388,0,0,0.449785190802498,0,0.906510848847181,0.486056214037309
LW001983,0.0136907033021415,0,0.0086963048298559,0.000112436218384185,0.0595804780130747,0.0313857483345882,0,0,0.00202951270108326,0,0.0538406044917415,0,0.225565986750177,0.0328127455767892,0,0,0,0,0.028509039915068,0,0,0.543776439867097,0,0.918235977995722,0.421738762960012
LW001984,0.0312177602982344,0.000431018676224198,0.00205538022854778,0.028289127005885,0.0736718631361711,0.124512515390419,0.00124243336163318,0,0,0,0.102354512299643,0,0.224253346282306,0.00627616740795445,0,0,0,0,0.0184517545714117,0,0,0.38724412134157,0,0.884971384145709,0.532753784590708
LW001985,0.00295982480836672,0.00202173283284686,0,0.0122766933126146,0.194157155264221,0.111403847577658,0,0,0,0,0.102295900025865,0,0.175983256049605,0,0,0,0,0.000519523628131337,0.0258804852636944,0,0,0.372501581236997,0,0.864312749739298,0.564113654508129
LW001986,0.0470127836760305,0,0,0.0439801738995642,0.101228076906968,0.137367260860779,0,0,0,0,0.110353086697375,0,0.141034863600368,0.00633118555621412,0,0,0,0.00108543291105559,0.0193770064895586,0,0,0.392230129402087,0,0.890672615989215,0.534783285260905
LW001987,0.0356414036139352,0.00523651789962407,0.00236177384518003,0.0887435794639104,0.0975575514667811,0.17802253190208,0,0,0,0,0.145734107161189,0,0.232883352047997,0.0013810094474442,0,0,0,0,0.0114177861997431,0,0,0.201020386952115,0,0.85894719804921,0.6129359693005
LW001988,0.0297038754481378,0,0,0.0400568953663338,0.158885583576471,0.110050832857722,0.00372527734204868,0,0,0,0.0799918997548593,0,0.169308494690574,0,0,0,0,0.00134650299741452,0.021424721630526,0,0,0.385505916335914,0,0.867756691657199,0.558714408865048
LW001989,0.0266316979263819,0.000675703915312293,0.000582134500914819,0.0609846462234942,0.126109879061755,0.12666528857848,0,0,0,0,0.109889304416555,0,0.212318014905825,0.00308655922499974,0,0,0,0,0.0194261507954958,0,0,0.313630620450786,0,0.863798728828987,0.581958385084084
LW001990,0.0966715192802552,0,0,0.0270006335404369,0.113056562407654,0.159616017497965,0,0,0,0,0.0981962447468692,0,0.150612635461178,0.0182719299594794,0,0,0,0.000148893662444925,0.00867421850709876,0,0,0.327751344936618,0,0.877042575544408,0.574653940275157
LW001991,0.0181498684317693,0,0.00713500714075748,0.0451239644638316,0.102356699529488,0.112885450498761,0.00527997802592687,0,0,0,0.0846480445693646,0,0.228587958673532,0,0,0,0,0.00472630102091166,0.0201391577195127,0,0,0.370967569926145,0,0.875953269300177,0.549209001924667
LW001992,0.0347833285053975,0.0143917480155644,0.0060509583959633,0.049421039685415,0.18189952473789,0.111427719938342,0.00454945682820255,0,0,0,0.0972739748494497,0,0.159999478770885,0,0,0,0,0.00466924774589432,0.00880621679398932,0,0,0.326727305733007,0,0.859526415584852,0.588009765504932
LW001993,0.0910439368845185,0,0.000917763186385591,0.0220147377503423,0.137713409751408,0.104384834001841,0.00254399238616164,0,0.00222388611160878,0,0.0914979390951851,0,0.213585139792484,0.037475997216403,0,0,0,0,0.0154511568927438,0,0,0.281147206930918,0,0.869670707977485,0.594541337188748
LW001994,0.048151048758503,0.000939880971305821,0.00299925714806283,0.0257150953989011,0.123168163851379,0.107200718634616,0,0,0,0,0.155538631107051,0,0.191793480332052,0.0243124125344522,0,0,0,0,0.0120137644260113,0,0,0.308167546837665,0,0.839260241912938,0.610365106205949
LW001995,0.0163654675784328,0.0308246324173173,0,0.0387603526594787,0.0392419376771123,0.141583560485624,0,0,0,0,0.0870756876637954,0,0.183425272695529,0.00119970884666459,0,0,0,0.00144398876614235,0.0181000174657539,0,0,0.44197937374415,0,0.897435979746404,0.501992505654841
LW001996,0.065921487099126,0,0.00244248392491478,0.0280792021021629,0.10404953990276,0.171892089549723,0,0,0,0,0.0992403368968529,0,0.177885761495042,0.0041895186941301,0,0,0,0,0.01295413745044,0,0,0.333345442884848,0,0.905500000859797,0.5393947491022
LW001997,0.110120678817212,0,0,0.0588050143196799,0.179496026675301,0.149184779942422,0.000164718290098729,0,0,0,0.103287278574452,0,0.207209541211306,0.000122688011754935,0,0,0,0.00143548067920458,0.00815495321239186,0,0,0.182018840266178,0,0.846586813015188,0.634369378000468
LW001998,0.0322605403953181,0.00127045526649836,0,0.15502406784361,0.120057976419986,0.154203678379108,0,0,0,0,0.175056020154683,0,0.182295811367743,0.00159409461373521,0,0,0,0,0.00578491736415891,0,0,0.17245243819516,0,0.868837956251095,0.598426394670961
LW001999,0.0759509397081852,0,0,0.0338420434706774,0.0572426815011617,0.164471613716658,0,0,0,0,0.132410068043206,0,0.178574241578164,0.00618280581391712,0,0,0,0,0.011641587851102,0,0,0.339684018316929,0,0.864624844927273,0.578363222511518
LW002000,0.0982038209630889,0,0,0.0376566506806176,0.149561194656026,0.189795729332894,0,0,0,0,0.0886601820022027,0,0.185088229406953,0,0,0.000678929638149188,0,0,0.0131122813396432,0,0,0.237242981980426,0,0.87681678850165,0.598862698925682
LW002001,0.0671713182954859,0.00482511480255719,0.00242827705843327,0.0599360682906685,0.0986320836798918,0.214501784875789,0,0,0,0,0.118216876495655,0,0.168977631157396,0.000586334559264423,0,0,0,0.00127633800662118,0.00631908442679654,0,0,0.257129088351441,0,0.86649771025995,0.600060856146698
LW002080,0.0495534797455582,0,0,0.0425979124315238,0.152121101487549,0.125800098720735,0.00317906306043642,0,0,0,0.0749242194486801,0,0.173845159708216,0.00492669107254256,0,0,0,0,0.0197346640227395,0,0,0.353317610302019,0,0.886976507239903,0.550400301679977
