"gene_name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC25A20","ENSG00000178537.10",541.465763224379,-0.618454384819821,0.173698547052589,-3.56050407625217,0.000370143564970717,0.119429743423841
"IFNG","ENSG00000111537.5",9.85925173685418,-1.92785088686055,0.705096408216094,-2.73416636986997,0.00625384366879545,0.43763853434747
"TNF","ENSG00000232810.4",388.310100022028,-0.383364410497698,0.158238188022866,-2.4227047546974,0.0154054414362316,0.553208896161522
"FCRL1","ENSG00000163534.15",1622.66337795821,0.88158633867539,0.390931508276835,2.25509154419731,0.0241275832944158,0.64380478514218
"OXTR","ENSG00000180914.11",20.4007879641069,-1.30033999919141,0.627235172207432,-2.0731299149171,0.0381601906466937,0.70520642199104
"IL6","ENSG00000136244.12",14.8916735506845,0.98185563941768,0.558059726146828,1.75940959975196,0.0785079625658921,0.824849154041628
"ADRB2","ENSG00000169252.6",1284.50417786145,-0.29215109433296,0.175852506053226,-1.66134166006445,0.0966448475248882,0.863048035771872
"UCP2","ENSG00000175567.11",8743.72723286174,0.20075372107215,0.150911332885029,1.33027597884311,0.183427358635442,0.949977178710935
"GMPPB","ENSG00000173540.14",872.319531783173,-0.117820049479152,0.0940717973635195,-1.25244815961008,0.210406606983692,0.966097620098899
"SLC7A9","ENSG00000021488.13",8.07191622088341,-0.124471734769946,0.612002748626293,-0.203384274089188,0.838834690402331,0.999755084243879
"SLC12A3","ENSG00000070915.10",31.9961542693451,-0.0577051977941377,0.544692172545588,-0.105940934536393,0.915629215735835,0.999755084243879
"P2RX7","ENSG00000089041.17",1019.08060016962,-0.181004492650746,0.191930120618495,-0.943074969512126,0.345642557685988,0.999755084243879
"COMT","ENSG00000093010.15",1269.00909735245,-0.160178355594123,0.16961051879631,-0.944389279219679,0.344970757907287,0.999755084243879
"FKBP5","ENSG00000096060.15",5543.0933501319,0.155031191854209,0.267244765408493,0.580109367595052,0.561840867017314,0.999755084243879
"MAPK1","ENSG00000100030.15",10537.9208214746,0.000573098264112,0.172082710707069,0.00333036515845899,0.99734275797029,0.999755084243879
"MYH9","ENSG00000100345.23",74785.4493615255,0.0836300014232525,0.14460157397216,0.578347794743601,0.563029332259621,0.999755084243879
"NR3C1","ENSG00000113580.15",6875.4960879714,0.0603739159881286,0.123214111375558,0.489991895523301,0.624139633774393,0.999755084243879
"KLHL7","ENSG00000122550.18",426.197783020616,-0.06748762024318,0.115744114909964,-0.583076040588999,0.55984211201314,0.999755084243879
"IDO1","ENSG00000131203.13",140.028956866019,-0.215292139240278,0.574744314582764,-0.374587679734717,0.707967137135865,0.999755084243879
"PTPN22","ENSG00000134242.16",1018.26337999966,-0.0615501597464614,0.134058634072554,-0.459128650476552,0.646141783550628,0.999755084243879
"GPNMB","ENSG00000136235.17",20.3073054677951,0.644352419167864,0.661390890250124,0.974238424911149,0.329938169977038,0.999755084243879
"NUP42","ENSG00000136243.18",459.377079387644,0.00684041553825444,0.123186202639373,0.0555290721825374,0.955716969422486,0.999755084243879
"IL10","ENSG00000136634.7",11.7589475022615,-0.283368360268938,0.445261683877908,-0.636408589665752,0.524510143709335,0.999755084243879
"POLG","ENSG00000140521.17",3485.7457867387,-0.0254522704292965,0.0764265733851674,-0.333029067010824,0.739112342019905,0.999755084243879
"CCR5","ENSG00000160791.14",820.992685880656,-0.117207441595515,0.216920718815968,-0.540323866873001,0.588973701709053,0.999755084243879
"NLRP3","ENSG00000162711.18",1652.54068449156,0.119379629346847,0.189907069738939,0.628621301518451,0.52959701128121,0.999755084243879
"COL6A3","ENSG00000163359.17",154.066912033605,-0.028126678530269,0.412506638911485,-0.0681847899575367,0.945638534646849,0.999755084243879
"ATP1A1","ENSG00000163399.16",6361.59417317216,0.015276996636521,0.0845685295917756,0.180646355213521,0.856645168209387,0.999755084243879
"GABRB3","ENSG00000166206.15",2.81190657081906,-0.458689297980665,1.06105152126691,-0.432296913756822,0.665525629963426,0.999755084243879
"CHRFAM7A","ENSG00000166664.15",50.1356785469789,-0.176274467971998,0.536737752774493,-0.328418239747072,0.742595453792332,0.999755084243879
"TOMM7","ENSG00000196683.12",517.140927861234,-0.352170028198665,0.371114668858268,-0.94895205646846,0.342644996750931,0.999755084243879
"HSPA1A","ENSG00000204389.10",10284.9050438881,0.0618307525355314,0.223065600419847,0.277186408030442,0.781636975716028,0.999755084243879
