"category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"COMPARTMENTS","GOCC:0005739",22,1149,9606,"9606.ENSP00000215832,9606.ENSP00000216780,9606.ENSP00000231509,9606.ENSP00000258975,9606.ENSP00000262430,9606.ENSP00000265594,9606.ENSP00000265641,9606.ENSP00000268124,9606.ENSP00000281317,9606.ENSP00000312029,9606.ENSP00000326305,9606.ENSP00000341044,9606.ENSP00000343657,9606.ENSP00000346173,9606.ENSP00000351214,9606.ENSP00000359871,9606.ENSP00000361042,9606.ENSP00000364802,9606.ENSP00000370023,9606.ENSP00000379011,9606.ENSP00000385689,9606.ENSP00000438689","MAPK1,PCK2,NR3C1,TACO1,MLYCD,MCCC1,CPT1A,POLG,MMAA,UCP2,SLC25A20,ACACB,MCCC2,ETFB,TOMM7,ACADM,SURF1,HSPA1A,HADHA,CPT1B,GRAMD4,ACADVL",4.18e-06,0.0054,"Mitochondrion"
"COMPARTMENTS","GOCC:0005886",43,3531,9606,"9606.ENSP00000023064,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000262178,9606.ENSP00000262418,9606.ENSP00000289753,9606.ENSP00000292303,9606.ENSP00000300215,9606.ENSP00000304501,9606.ENSP00000305372,9606.ENSP00000308725,9606.ENSP00000310933,9606.ENSP00000311837,9606.ENSP00000321345,9606.ENSP00000324105,9606.ENSP00000324270,9606.ENSP00000330696,9606.ENSP00000336630,9606.ENSP00000343952,9606.ENSP00000345055,9606.ENSP00000347409,9606.ENSP00000349967,9606.ENSP00000352833,9606.ENSP00000354003,9606.ENSP00000354511,9606.ENSP00000357129,9606.ENSP00000359609,9606.ENSP00000360217,9606.ENSP00000367064,9606.ENSP00000371420,9606.ENSP00000377192,9606.ENSP00000383715,9606.ENSP00000385675,9606.ENSP00000393066,9606.ENSP00000398698,9606.ENSP00000402152,9606.ENSP00000408236,9606.ENSP00000411004,9606.ENSP00000427690,9606.ENSP00000445306,9606.ENSP00000451752,9606.ENSP00000467494,9606.ENSP00000480484","SLC7A9,MAPK1,MYH9,VIPR2,SLC4A1,HTR6,CCR5,EPB42,ADORA2B,ADRB2,GABRB3,MADD,SNTG2,IL23R,ENO3,OXTR,P2RX7,ADORA2A,GPR29,KCNQ5,KEL,CCRL2,PTPN22,GYPA,COMT,SPTA1,LMBRD1,RHAG,CUBN,GPNMB,G6PD,ENSP00000383715,IL6,SLC4A10,TNF,SLC12A3,CYTH2,XG,GYPB,ATP1A1,SPTB,GIPR,TCHH",1.02e-05,0.0054,"Plasma membrane"
"COMPARTMENTS","GOCC:0016020",61,5657,9606,"9606.ENSP00000023064,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000262178,9606.ENSP00000262418,9606.ENSP00000262741,9606.ENSP00000265641,9606.ENSP00000289753,9606.ENSP00000292303,9606.ENSP00000300215,9606.ENSP00000304501,9606.ENSP00000305372,9606.ENSP00000308725,9606.ENSP00000310933,9606.ENSP00000311837,9606.ENSP00000312029,9606.ENSP00000317790,9606.ENSP00000321345,9606.ENSP00000324105,9606.ENSP00000324270,9606.ENSP00000326305,9606.ENSP00000330696,9606.ENSP00000336630,9606.ENSP00000337383,9606.ENSP00000341044,9606.ENSP00000343952,9606.ENSP00000345055,9606.ENSP00000347409,9606.ENSP00000349967,9606.ENSP00000351214,9606.ENSP00000351430,9606.ENSP00000352833,9606.ENSP00000354003,9606.ENSP00000354511,9606.ENSP00000357129,9606.ENSP00000358831,9606.ENSP00000359609,9606.ENSP00000359871,9606.ENSP00000360217,9606.ENSP00000361042,9606.ENSP00000362727,9606.ENSP00000367064,9606.ENSP00000370023,9606.ENSP00000371420,9606.ENSP00000377192,9606.ENSP00000379011,9606.ENSP00000383715,9606.ENSP00000385675,9606.ENSP00000386377,9606.ENSP00000393066,9606.ENSP00000398698,9606.ENSP00000402152,9606.ENSP00000408236,9606.ENSP00000411004,9606.ENSP00000427690,9606.ENSP00000438689,9606.ENSP00000445306,9606.ENSP00000451752,9606.ENSP00000467494,9606.ENSP00000477344,9606.ENSP00000480484","SLC7A9,MAPK1,MYH9,VIPR2,SLC4A1,PIK3R3,CPT1A,HTR6,CCR5,EPB42,ADORA2B,ADRB2,GABRB3,MADD,SNTG2,UCP2,SPTBN5,IL23R,ENO3,OXTR,SLC25A20,P2RX7,ADORA2A,NLRP3,ACACB,GPR29,KCNQ5,KEL,CCRL2,TOMM7,GYPE,PTPN22,GYPA,COMT,SPTA1,ELOVL4,LMBRD1,ACADM,RHAG,SURF1,DENND1A,CUBN,HADHA,GPNMB,G6PD,CPT1B,ENSP00000383715,IL6,MGAT5,SLC4A10,TNF,SLC12A3,CYTH2,XG,GYPB,ACADVL,ATP1A1,SPTB,GIPR,SYT6,TCHH",2.35e-06,0.0054,"Membrane"
"COMPARTMENTS","GOCC:0030863",6,71,9606,"9606.ENSP00000216181,9606.ENSP00000262418,9606.ENSP00000317790,9606.ENSP00000357129,9606.ENSP00000430950,9606.ENSP00000451752","MYH9,SLC4A1,SPTBN5,SPTA1,IDO1,SPTB",9.51e-06,0.0054,"Cortical cytoskeleton"
"COMPARTMENTS","GOCC:0070743",4,14,9606,"9606.ENSP00000321345,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237","IL23R,IL6,TNF,IL10",4.42e-06,0.0054,"interleukin-23 complex"
"COMPARTMENTS","GOCC:0071944",45,3688,9606,"9606.ENSP00000023064,9606.ENSP00000215832,9606.ENSP00000216181,9606.ENSP00000262178,9606.ENSP00000262418,9606.ENSP00000289753,9606.ENSP00000292303,9606.ENSP00000300215,9606.ENSP00000304501,9606.ENSP00000305372,9606.ENSP00000308725,9606.ENSP00000310933,9606.ENSP00000311837,9606.ENSP00000317790,9606.ENSP00000321345,9606.ENSP00000324105,9606.ENSP00000324270,9606.ENSP00000330696,9606.ENSP00000336630,9606.ENSP00000343952,9606.ENSP00000345055,9606.ENSP00000347409,9606.ENSP00000349967,9606.ENSP00000352833,9606.ENSP00000354003,9606.ENSP00000354511,9606.ENSP00000357129,9606.ENSP00000359609,9606.ENSP00000360217,9606.ENSP00000367064,9606.ENSP00000371420,9606.ENSP00000377192,9606.ENSP00000383715,9606.ENSP00000385675,9606.ENSP00000393066,9606.ENSP00000398698,9606.ENSP00000402152,9606.ENSP00000408236,9606.ENSP00000411004,9606.ENSP00000427690,9606.ENSP00000430950,9606.ENSP00000445306,9606.ENSP00000451752,9606.ENSP00000467494,9606.ENSP00000480484","SLC7A9,MAPK1,MYH9,VIPR2,SLC4A1,HTR6,CCR5,EPB42,ADORA2B,ADRB2,GABRB3,MADD,SNTG2,SPTBN5,IL23R,ENO3,OXTR,P2RX7,ADORA2A,GPR29,KCNQ5,KEL,CCRL2,PTPN22,GYPA,COMT,SPTA1,LMBRD1,RHAG,CUBN,GPNMB,G6PD,ENSP00000383715,IL6,SLC4A10,TNF,SLC12A3,CYTH2,XG,GYPB,IDO1,ATP1A1,SPTB,GIPR,TCHH",5.34e-06,0.0054,"Cell periphery"
"COMPARTMENTS","GOCC:0031226",17,841,9606,"9606.ENSP00000262178,9606.ENSP00000262418,9606.ENSP00000292303,9606.ENSP00000304501,9606.ENSP00000305372,9606.ENSP00000321345,9606.ENSP00000336630,9606.ENSP00000343952,9606.ENSP00000345055,9606.ENSP00000349967,9606.ENSP00000357129,9606.ENSP00000383715,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000411004,9606.ENSP00000445306,9606.ENSP00000451752","VIPR2,SLC4A1,CCR5,ADORA2B,ADRB2,IL23R,ADORA2A,GPR29,KCNQ5,CCRL2,SPTA1,ENSP00000383715,IL6,TNF,XG,ATP1A1,SPTB",3.02e-05,0.0093,"Intrinsic component of plasma membrane"
"COMPARTMENTS","GOCC:0043514",4,24,9606,"9606.ENSP00000229135,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237","IFNG,IL6,TNF,IL10",2.82e-05,0.0093,"interleukin-12 complex"
"COMPARTMENTS","GOCC:0008091",3,9,9606,"9606.ENSP00000317790,9606.ENSP00000357129,9606.ENSP00000451752","SPTBN5,SPTA1,SPTB",5.27e-05,0.0123,"Spectrin"
"COMPARTMENTS","GOCC:0031224",24,1552,9606,"9606.ENSP00000262178,9606.ENSP00000262418,9606.ENSP00000265641,9606.ENSP00000292303,9606.ENSP00000304501,9606.ENSP00000305372,9606.ENSP00000308725,9606.ENSP00000310933,9606.ENSP00000321345,9606.ENSP00000336630,9606.ENSP00000343952,9606.ENSP00000345055,9606.ENSP00000349967,9606.ENSP00000357129,9606.ENSP00000358831,9606.ENSP00000359609,9606.ENSP00000371420,9606.ENSP00000383715,9606.ENSP00000385675,9606.ENSP00000393066,9606.ENSP00000398698,9606.ENSP00000411004,9606.ENSP00000445306,9606.ENSP00000451752","VIPR2,SLC4A1,CPT1A,CCR5,ADORA2B,ADRB2,GABRB3,MADD,IL23R,ADORA2A,GPR29,KCNQ5,CCRL2,SPTA1,ELOVL4,LMBRD1,GPNMB,ENSP00000383715,IL6,SLC4A10,TNF,XG,ATP1A1,SPTB",4.8e-05,0.0123,"Intrinsic component of membrane"
