CellType,Category,mean,sd,n
B cells memory,ENE,9.608326289771683e-4,0.0019300732137738311,6
B cells memory,IMM,0.0013091294749060175,0.002618258949812035,4
B cells memory,RBC,0.005250056055438265,0.012531847492947184,6
B cells memory,SOL,0.00287834960311288,0.00643618537556994,5
B cells memory,STR,0,NA,1
B cells memory,Unaffected,5.318866822242015e-4,8.06940025832794e-4,7
B cells naive,ENE,0.06629395090798856,0.028576569765163266,6
B cells naive,IMM,0.04473131227543655,0.016232280657387743,4
B cells naive,RBC,0.07329865491621973,0.04462472766960316,6
B cells naive,SOL,0.05254849310212712,0.03021993359678857,5
B cells naive,STR,0.0364147813861113,NA,1
B cells naive,Unaffected,0.03896894868290184,0.027804251353968922,7
Dendritic cells activated,ENE,2.6060765518805165e-4,5.107027415189066e-4,6
Dendritic cells activated,IMM,0.0011398603238030075,8.79467237582617e-4,4
Dendritic cells activated,RBC,6.562620187519983e-4,7.322855410067951e-4,6
Dendritic cells activated,SOL,0.00190888848585018,0.002546698299684765,5
Dendritic cells activated,STR,0.00349022523912454,NA,1
Dendritic cells activated,Unaffected,7.421766116161856e-5,1.9636147432249988e-4,7
Dendritic cells resting,ENE,0,0,6
Dendritic cells resting,IMM,0,0,4
Dendritic cells resting,RBC,0,0,6
Dendritic cells resting,SOL,0,0,5
Dendritic cells resting,STR,0,NA,1
Dendritic cells resting,Unaffected,0,0,7
Eosinophils,ENE,0,0,6
Eosinophils,IMM,0,0,4
Eosinophils,RBC,0,0,6
Eosinophils,SOL,0,0,5
Eosinophils,STR,0,NA,1
Eosinophils,Unaffected,0,0,7
Macrophages M0,ENE,0.011718215858106751,0.015523167246485475,6
Macrophages M0,IMM,0.004680759990427229,0.005019686178087081,4
Macrophages M0,RBC,0.003798938361759132,0.005557900050414977,6
Macrophages M0,SOL,0.006339757777222073,0.007677585924858263,5
Macrophages M0,STR,0,NA,1
Macrophages M0,Unaffected,0.006695116201770854,0.011853710447952668,7
Macrophages M1,ENE,0,0,6
Macrophages M1,IMM,0,0,4
Macrophages M1,RBC,0,0,6
Macrophages M1,SOL,0,0,5
Macrophages M1,STR,0,NA,1
Macrophages M1,Unaffected,0,0,7
Macrophages M2,ENE,0,0,6
Macrophages M2,IMM,0,0,4
