"","gene_name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"24085","XGY2","ENSG00000288686.2",2.13777629220431,-22.2614922164702,3.32597776131561,-6.69321739772084,2.18316428412899e-11,5.34089310469316e-07
"6978","ENSG00000142539","ENSG00000142539.9",7.66473038210948,22.9764127342745,3.74656513157668,6.13266069782835,8.64213396483222e-10,1.05710582657828e-05
"24093","F8A2","ENSG00000288709.1",32.3304399889466,22.5393844452998,3.74194686327895,6.02343787040023,1.70750673569344e-09,1.39241482606681e-05
"23411","ENSG00000285505","ENSG00000285505.1",13.4797081181154,21.9791016434083,3.74678884682972,5.86611697160505,4.46119131810775e-09,2.7284646101547e-05
"20827","ENSG00000267793","ENSG00000267793.1",1.35739466442252,-21.5231260307832,3.745138687462,-5.74695033399923,9.08674055204223e-09,4.44596041730322e-05
"21827","TBC1D3K","ENSG00000273513.1",8.82450990279625,21.6164498285045,3.8048146322646,5.68134112111489,1.33642625846374e-08,5.44905533117617e-05
"14447","RNVU1-18","ENSG00000206737.1",173.343654049837,-8.98695252086692,1.65319718250274,-5.4361044260079,5.44580462856945e-08,0.000190323092047604
"19820","TBC1D3G","ENSG00000260287.4",21.800466054395,20.1577387725908,3.8048098474354,5.29796220596358,1.17102196157903e-07,0.000358098515850867
"11423","ZNF683","ENSG00000176083.18",232.165490360261,-1.78736955693774,0.343035856509098,-5.21044527276795,1.88387946449906e-07,0.000512080302438946
"10930","SNTG2","ENSG00000172554.12",25.0478615198092,2.11590416505408,0.420902440620741,5.02706556401426,4.98042112224108e-07,0.00121841022334506
"11246","CD248","ENSG00000174807.4",166.102612598767,1.67797745502641,0.33808789147597,4.96313975546704,6.93626334028636e-07,0.00154262496687969
"18931","ENSG00000254732","ENSG00000254732.2",15.428789666196,-6.50759643634623,1.317588667229,-4.93901973977376,7.85162649768125e-07,0.00160068492199395
"14459","RNU1-3","ENSG00000207513.1",134.301908908849,-12.101090923308,2.52641121421868,-4.78983423411158,1.66919148227026e-06,0.00314116157094305
"859","MPPED2","ENSG00000066382.17",37.6500833124981,2.30988053774045,0.497109531048803,4.64662291400259,3.37413123862494e-06,0.00589605333012289
"15438","ENSG00000224610","ENSG00000224610.2",20.2587112311796,2.78521108790054,0.609966090647455,4.56617364572536,4.96707360126424e-06,0.0081009659054219
"4065","PIK3R3","ENSG00000117461.15",126.055628299234,-1.03652860103583,0.232904751438452,-4.45043991002368,8.56945696204532e-06,0.0117675581095755
"11011","LRRN3","ENSG00000173114.13",329.798325241815,1.645946360762,0.370023168747331,4.44822513772354,8.65827526047904e-06,0.0117675581095755
"24618","ENSG00000289694","ENSG00000289694.1",604.743863416332,-11.2412041218388,2.52235716140983,-4.45662664027948,8.32594242468465e-06,0.0117675581095755
"11671","ODF3","ENSG00000177947.15",3.40991181433834,5.40355435663714,1.23703926132848,4.36813488913373,1.25312092795866e-05,0.0161349212534635
"7230","SLC4A10","ENSG00000144290.17",242.563658143057,2.07189494245657,0.478912056398349,4.3262534629807,1.51666894566898e-05,0.018551894543423
"3594","POLR3G","ENSG00000113356.13",23.3106962234532,-1.57211166552111,0.366457294078325,-4.29002694427222,1.78651442119809e-05,0.0205612771432567
"20542","CBX3P2","ENSG00000266405.3",38.579914743063,-1.33477886534064,0.311690785043124,-4.28238154411901,1.84903571432165e-05,0.0205612771432567
"14409","DEFA1","ENSG00000206047.3",1075.9417137344,-12.5740820172913,2.98122430569092,-4.21775778269632,2.46743661345677e-05,0.0262449431789593
"9604","TMC1","ENSG00000165091.18",4.11607555594186,-5.24608431706857,1.25187025523756,-4.19059746417015,2.78220870729215e-05,0.0283599807563313
"2315","KLHL4","ENSG00000102271.14",3.21069995053287,-4.25836399299974,1.02559709024432,-4.15208275599272,3.29463071591422e-05,0.0322399383336502
"21714","ENSG00000273162","ENSG00000273162.1",3.00502372214909,-3.98098140539891,0.962968675450383,-4.13407155070438,3.56392439571079e-05,0.0335337870833341
"12731","KCNQ5","ENSG00000185760.18",219.259528661304,1.29950112829392,0.317270552716424,4.09587690117402,4.2057337704063e-05,0.0381070633182295
"15585","ENSG00000225544","ENSG00000225544.1",21.8158855902081,4.70966537320305,1.16226183984861,4.05215521299098,5.07479786653137e-05,0.0443392339310083
"12890","FSCN2","ENSG00000186765.12",35.2520732835992,1.44530863477962,0.358040028461728,4.03672360598674,5.42028632158309e-05,0.0457247877831754
"16925","MED14OS","ENSG00000234636.2",3.0626316880715,-3.97186674478015,0.988657079303582,-4.01743620505703,5.88347559425513e-05,0.0479777823126191
"1150","GRAMD4","ENSG00000075240.17",1527.87691190342,-0.627039160639073,0.156640134180757,-4.00305556375157,6.25296090610759e-05,0.0493459469700052
"15832","ENSG00000227080","ENSG00000227080.2",8.73781067465012,4.27278096205665,1.07359316711757,3.97988837198768,6.89476358357594e-05,0.052710467596438
"10717","TMEM37","ENSG00000171227.7",4.38583259824884,5.11671476456115,1.28847743401751,3.97113261705103,7.15317443030258e-05,0.0530288664433098
"8619","CACHD1","ENSG00000158966.16",89.9323866123466,1.62506408246484,0.41249006660727,3.93964416120609,8.1602554951012e-05,0.0539547271438259
"11741","SLC25A20","ENSG00000178537.10",563.261064547868,-0.581956100959172,0.147286611813667,-3.95118126347699,7.77663940518044e-05,0.0539547271438259
"14446","RNU1-1","ENSG00000206652.1",139.716132090311,-8.96915274123774,2.26622183022066,-3.95775586556962,7.56572261005778e-05,0.0539547271438259
"23094","ENSG00000281348","ENSG00000281348.1",9.21679179359027,-4.45386376178188,1.12982799711197,-3.94207239789306,8.07805831113769e-05,0.0539547271438259
"5710","BEX1","ENSG00000133169.6",6.23997127712193,-5.2394171093777,1.33326397268428,-3.92976726043915,8.5028122102871e-05,0.0547402099769641
"571","ADAMTS6","ENSG00000049192.15",77.4551802064599,1.1443170211128,0.293620300990524,3.89726806100416,9.72839189100516e-05,0.0610244562106539
"16084","ENSG00000228897","ENSG00000228897.1",5.20642031583651,-5.79184102726531,1.50298509484776,-3.85355852637513,0.000116413419967507,0.0711984476521273
"9785","GPT2","ENSG00000166123.14",69.6527754296831,-0.884546158261739,0.230971462174022,-3.82967726807432,0.000128311425388855,0.0734654927362189
"12147","OGFRP1","ENSG00000182057.5",161.070506526096,0.563663339547135,0.147029852571278,3.83366595075568,0.000126247560559021,0.0734654927362189
