"Patient","ELOVL4","CPT1A","CPT1C","MCCC1","CPT1B","SURF1","MMACHC","ENO3","ACADVL","HADHA","ACACB","PGM1","PCK2","MLYCD","ETFB","CUBN","MINPP1","ACADM","MCCC2","TACO1","MMAA","G6PD","LMBRD1","GLYCTK"
"1","Neutral","Upregulated","Neutral","Upregulated","Upregulated","Downregulated","Neutral","Neutral","Neutral","Downregulated","Upregulated","Downregulated","Neutral","Upregulated","Neutral","Upregulated","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral"
"10","Neutral","Downregulated","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"11","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Upregulated","Neutral","Neutral"
"12","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Downregulated","Neutral","Neutral"
"13","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"14","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"15","Neutral","Downregulated","Neutral","Neutral","Neutral","Downregulated","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Upregulated","Neutral","Neutral","Downregulated","Downregulated","Neutral"
"16","Neutral","Downregulated","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral"
"17","Upregulated","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Upregulated","Neutral","Upregulated","Downregulated","Neutral","Neutral"
"18","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Upregulated","Downregulated","Neutral","Neutral","Neutral","Upregulated","Downregulated","Upregulated","Neutral","Downregulated","Neutral","Neutral","Upregulated","Neutral","Downregulated"
"19","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Upregulated"
"2","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Downregulated","Neutral","Downregulated","Downregulated","Neutral","Neutral","Upregulated","Neutral","Neutral","Downregulated","Neutral","Neutral"
"20","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Downregulated","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral"
"21","Neutral","Neutral","Downregulated","Upregulated","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Neutral","Neutral","Downregulated","Downregulated","Upregulated","Neutral","Neutral","Neutral","Neutral"
"22","Downregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"23","Upregulated","Downregulated","Upregulated","Neutral","Upregulated","Neutral","Neutral","Neutral","Neutral","Neutral","Upregulated","Downregulated","Upregulated","Neutral","Neutral","Neutral","Downregulated","Neutral","Neutral","Upregulated","Neutral","Neutral","Downregulated","Neutral"
