"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000212907.2",3555.15671632556,-2.12552094395061,0.193152659422756,-11.0043576428242,3.64101446697636e-28,9.31626371665242e-24
"ENSG00000257764.2",50.3133871153779,3.86678467383513,0.369064778927901,10.4772519476602,1.09890512148297e-25,1.40588426716924e-21
"ENSG00000202058.1",133.11541270287,-1.3659623664358,0.143825275464307,-9.49737354596478,2.15250739078004e-21,1.8358735535963e-17
"ENSG00000275954.5",15.4692514486954,-21.2818894833831,2.32870921529185,-9.13892097116814,6.30785440877312e-20,4.03497676893195e-16
"ENSG00000200488.1",105.366951077463,-2.16235481884447,0.239920681997357,-9.0127903974043,2.00878959220375e-19,1.02797798591435e-15
"ENSG00000202198.1",9363.93362526626,2.5005489186352,0.287157878397726,8.70792378251183,3.09491291195001e-18,1.31982561130108e-14
"ENSG00000188452.15",12.6743342018349,4.24580287170486,0.505334321219743,8.40196814943544,4.39056937676178e-17,1.60487855204577e-13
"ENSG00000288825.1",3050.18414885448,-2.00121627891031,0.241633273518892,-8.28203934734115,1.21083568546244e-16,3.87270658549093e-13
"ENSG00000170142.12",570.83541422427,-0.817388628554923,0.099110128882811,-8.24727641633292,1.62045296481985e-16,4.60694777898282e-13
"ENSG00000167658.16",63677.8395753819,-1.0094632980773,0.124411559927788,-8.11390274877368,4.90193762158775e-16,1.25425877923566e-12
"ENSG00000131508.16",2360.95496824101,-0.649331210015272,0.0834668402086059,-7.77951110156345,7.28053569438392e-15,1.55239222343501e-11
"ENSG00000282798.1",6.83552101046648,6.55538357374005,0.842226144418367,7.78340071391055,7.06005634021899e-15,1.55239222343501e-11
"ENSG00000287510.1",11.7397460990177,2.3199091448309,0.302942148963478,7.65792793366161,1.88956861404092e-14,3.71910708672808e-11
"ENSG00000134255.15",1347.50235958293,-0.532730480327251,0.0705538543234884,-7.55069280672732,4.32948937528088e-14,7.91276033180798e-11
"ENSG00000197903.8",2081.88718448794,-0.864146788761467,0.11581792588264,-7.46125249762388,8.57038304261229e-14,1.4619359394088e-10
"ENSG00000163626.17",504.512013197059,0.900067677302172,0.121042012084102,7.43599401401881,1.03784537638071e-13,1.65970935284083e-10
"ENSG00000271533.1",963.403664370649,-0.628887642460698,0.0861330556115182,-7.30135066027542,2.84893174681738e-13,4.28797744740096e-10
"ENSG00000176108.9",957.092463691456,0.394249851405263,0.0553507761815006,7.12275199380183,1.0579308514672e-12,1.50384870536063e-09
"ENSG00000100650.16",8513.70202577187,0.259872715677717,0.0365902208095275,7.10224507882855,1.22746305674805e-12,1.65300511752697e-09
"ENSG00000237973.1",303.367680736688,-1.8583344492722,0.26284231751327,-7.07014938406326,1.54766998738675e-12,1.98001159836323e-09
"ENSG00000076053.12",689.626047341001,-0.679278910064739,0.0971945790652036,-6.98885592795295,2.77136827440301e-12,3.37671428748332e-09
"ENSG00000168175.15",2442.92421442667,-0.505892283371391,0.072717377603516,-6.95696544682505,3.47680187683202e-12,4.04367861920459e-09
"ENSG00000274611.4",12.1480797921279,23.5465642817556,3.38941442487273,6.94708918123511,3.7289999269528e-12,4.14843135351918e-09
"ENSG00000227615.1",23.7394370372644,-2.32716099101349,0.337199100867145,-6.90144482897177,5.14762637567418e-12,5.48801316976564e-09
"ENSG00000270641.1",77.341276706553,3.46942650931004,0.503513546959472,6.89043329670195,5.56227036101654e-12,5.69287246909321e-09
"ENSG00000104205.16",730.86789037406,0.738450434097487,0.108169923569298,6.826763019985,8.68519869788682e-12,8.54723765703193e-09
"ENSG00000145907.16",5780.95180080025,0.414107076656384,0.0609007398361974,6.79970518864292,1.0483345535552e-11,9.93471711919149e-09
"ENSG00000157837.16",1770.40617930848,-0.769383626328111,0.113651633668886,-6.76966622908073,1.29079830358957e-11,1.1795591497838e-08
"ENSG00000259626.2",99.1982731818112,-1.87392754807876,0.277100328113897,-6.76263200709208,1.35507114318827e-11,1.19559328761236e-08
"ENSG00000117118.10",638.500767508973,-0.435252554810567,0.0651659382019903,-6.67914199994245,2.40345197372419e-11,2.04990418838936e-08
"ENSG00000099849.15",522.39186235962,0.699248370973501,0.10538313790613,6.6352965461738,3.23850781708123e-11,2.6730225650212e-08
"ENSG00000288623.1",7.89764487831207,-22.3351267843884,3.37929996705193,-6.60939454980473,3.85894981413635e-11,3.08559215294709e-08
"ENSG00000116001.17",1846.4891955243,-0.47322231602704,0.071763782539428,-6.59416629505344,4.27652152362676e-11,3.3158592795466e-08
"ENSG00000234851.4",141.165841710714,-1.09320124737764,0.166701323638602,-6.55784383420754,5.45913331656425e-11,4.10831894620381e-08
"ENSG00000178458.5",11.9994862697051,-2.54179047381022,0.390246003660914,-6.51330301903308,7.3515993541697e-11,5.37443921928971e-08
"ENSG00000177200.18",3109.28024940003,-0.66639082504725,0.102452151489264,-6.50441025747594,7.79987630510155e-11,5.54376208385093e-08
"ENSG00000280063.1",541.839256369742,0.499110860742116,0.0774677917892079,6.44281770803808,1.17275524470073e-10,8.110077958421e-08
"ENSG00000273319.1",9.86652642231125,2.60378316630806,0.4054344527372,6.42220499202573,1.34314377659336e-10,9.04395258202484e-08
"ENSG00000010244.19",10301.1358299494,-0.325767270575503,0.0513017508352982,-6.35002247040969,2.15283479165538e-10,1.41242522600221e-07
"ENSG00000277027.1",54034.5935240517,-1.35425487621693,0.21354880403029,-6.34166453128361,2.27295835241676e-10,1.45395463408219e-07
"ENSG00000215580.12",4.59165959619758,-21.408686802521,3.38006684089558,-6.33380575303906,2.39186612278495e-10,1.49269947521216e-07
"ENSG00000096006.12",92.4991981417276,-2.22199641993731,0.35252207574958,-6.3031412010513,2.91672941228373e-10,1.77691322552628e-07
"ENSG00000089820.16",10035.4482207034,0.367336229133625,0.0584872493751881,6.280620700372,3.37223954182861e-10,2.0066393757388e-07
"ENSG00000083312.19",4075.00469504218,-0.511948772672552,0.0820724686675881,-6.23776500187974,4.43866772869374e-10,2.53381616419274e-07
"ENSG00000260287.4",17.564347694779,-21.0794573786071,3.37966347909062,-6.2371468369623,4.45623665879834e-10,2.53381616419274e-07
