"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"KYSE70","10/2395",0.0697187842568098,0.998312119572543,0,0,1.84119496855346,4.90362785504234,"VMO1;TMEM37;CBX3P2;F8A2;ODF3;MPPED2;B3GAT1;CACHD1;KCNQ5;FSCN2"
"SKNMC","10/2395",0.0697187842568098,0.998312119572543,0,0,1.84119496855346,4.90362785504234,"TMC1;VMO1;TMEM37;SNTG2;FGFBP2;B3GAT1;CACHD1;KCNQ5;CD248;KLHL4"
"HCC1599","9/2395",0.137647170539076,0.998312119572543,0,0,1.61588943634617,3.20440829603786,"TMC1;VMO1;SNTG2;TBC1D3K;FGFBP2;MPPED2;B3GAT1;PIK3R3;KCNQ5"
"KNS42","9/2395",0.137647170539076,0.998312119572543,0,0,1.61588943634617,3.20440829603786,"TMC1;VMO1;TBC1D3K;FGFBP2;BEX1;LRRN3;SLC4A10;CACHD1;GFAP"
"A673","8/2395",0.244753710614531,0.998312119572543,0,0,1.40148024018992,1.9725874138576,"VMO1;TMEM37;SNTG2;FGFBP2;BEX1;CACHD1;KCNQ5;CD248"
"BJ CELL","8/2395",0.244753710614531,0.998312119572543,0,0,1.40148024018992,1.9725874138576,"TMC1;SNTG2;TBC1D3K;LRRN3;CACHD1;KCNQ5;CD248;ADAMTS6"
"JURKAT","8/2395",0.244753710614531,0.998312119572543,0,0,1.40148024018992,1.9725874138576,"ZNF683;SNTG2;BEX1;MPPED2;B3GAT1;PIK3R3;POLR3G;GRAMD4"
"KYSE510","8/2395",0.244753710614531,0.998312119572543,0,0,1.40148024018992,1.9725874138576,"TMC1;VMO1;FGFBP2;CBX3P2;MPPED2;CACHD1;KCNQ5;FSCN2"
"DKMG","7/2395",0.391309227095324,0.998312119572543,0,0,1.19720696505785,1.12328801825354,"SNTG2;FGFBP2;BEX1;B3GAT1;KCNQ5;CD248;KLHL4"
"ES2","7/2395",0.391309227095324,0.998312119572543,0,0,1.19720696505785,1.12328801825354,"SNTG2;BEX1;LRRN3;MPPED2;B3GAT1;CACHD1;KLHL4"
