"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"CDK15 IDG kinase ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"CD248;KLHL4;ADAMTS6"
"KCNS2 IDG ionchannel ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"B3GAT1;SLC4A10;KCNQ5"
"KCNH4 IDG ionchannel ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"ODF3;KCNQ5;FSCN2"
"ADGRB3 IDG GPCR ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"MPPED2;B3GAT1;SLC4A10"
"CACNB4 IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;SLC4A10"
"CDKL2 IDG kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;SLC4A10"
"CDK14 IDG kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;SLC4A10"
"CDK18 IDG kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"GABRB1 IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;SLC4A10"
"GABRG1 IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;SLC4A10"
"GABRA5 IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;SLC4A10"
"GLRB IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;SLC4A10"
"GRID1 IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"GRIK3 IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"HCN3 IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;PIK3R3"
"LRRK1 IDG kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"CACHD1;POLR3G"
"KCNIP1 IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;B3GAT1"
"KCNK16 IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"TMEM37;BEX1"
"MAPK4 IDG kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"KCNG3 IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"CACHD1;POLR3G"
"NEK7 IDG kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"CD248;ADAMTS6"
"NRBP2 IDG kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"PAK3 IDG kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;SLC4A10"
"PAK6 IDG kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;B3GAT1"
"LRRC55 IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;PIK3R3"
"SCN3B IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;B3GAT1"
"TTYH2 IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"STK32C IDG kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"SNTG2;TBC1D3G"
"STK32A IDG kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"TMC1;BEX1"
"HTR1E IDG GPCR ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"TMEM37;SLC4A10"
"HTR5A IDG GPCR ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;SLC4A10"
"GPR149 IDG GPCR ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;LRRN3"
"GPR75 IDG GPCR ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"FSCN2;GFAP"
"GPR150 IDG GPCR ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"CBX3P2;GIMAP3P"
"GPR62 IDG GPCR ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"GPRC5C IDG GPCR ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"TMEM37;GPT2"
"GPR32 IDG GPCR ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"ZNF683;PIK3R3"
"GPRC5B IDG GPCR ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"GPR26 IDG GPCR ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;SLC4A10"
"GPR27 IDG GPCR ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;B3GAT1"
"GPR6 IDG GPCR ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;LRRN3"
"ASIC4 IDG ionchannel ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"CACNA2D4 IDG ionchannel ARCHS4 coexpression","1/299",0.529553716990789,0.529553716990789,0,0,1.34584303520066,0.85558023681605,"GRAMD4"
