"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"EPHB1 human kinase ARCHS4 coexpression","5/299",0.000882445631209085,0.139426409731035,0,0,7.42857142857143,52.2437565278552,"BEX1;LRRN3;MPPED2;B3GAT1;PIK3R3"
"EPHA4 human kinase ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"MPPED2;B3GAT1;PIK3R3"
"FGFR1 human kinase ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"CACHD1;POLR3G;CD248"
"CDK15 human kinase ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"CD248;KLHL4;ADAMTS6"
"MAPK10 human kinase ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"BEX1;B3GAT1;SLC4A10"
"AKT3 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;SLC4A10"
"CIT human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;KCNQ5"
"GRK1 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"ODF3;FSCN2"
"ACVR1C human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"TMEM37;SLC4A10"
"ACVR2B human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"CACHD1;POLR3G"
"PRKCA human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"PRKCE human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;SLC4A10"
"LRRK1 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"CACHD1;POLR3G"
"AATK human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"SGK2 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"GPT2;SLC25A20"
"CAMK4 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;SLC4A10"
"EPHA5 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"SLC4A10;PIK3R3"
"EPHA6 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"SLC4A10;KCNQ5"
"DCLK2 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"KALRN human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;SLC4A10"
"FGFR2 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;CACHD1"
"MARK1 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;MPPED2"
"FGFR4 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"TMEM37;GPT2"
"MERTK human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"VMO1;GRAMD4"
"NTRK2 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"NTRK3 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;SLC4A10"
"PTK7 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"CD248;TBC1D3G"
"ROR1 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"CACHD1;POLR3G"
"CDK14 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;SLC4A10"
"CDK18 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"CDK20 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;PIK3R3"
"CDKL2 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;SLC4A10"
"NRBP2 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"HIPK2 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"STK32A human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"TMC1;BEX1"
"MAPK4 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"STK32C human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"SNTG2;TBC1D3G"
"MAPK8 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;PIK3R3"
"NEK7 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"CD248;ADAMTS6"
"MYO3A human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"TMEM37;BEX1"
"PAK3 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;SLC4A10"
"PAK6 human kinase ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;B3GAT1"
"STK25 human kinase ARCHS4 coexpression","1/299",0.529553716990789,0.529553716990789,0,0,1.34584303520066,0.85558023681605,"GPT2"
"STK26 human kinase ARCHS4 coexpression","1/299",0.529553716990789,0.529553716990789,0,0,1.34584303520066,0.85558023681605,"POLR3G"
