"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"ETV1 human tf ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"B3GAT1;KLHL4;GFAP"
"SALL1 human tf ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"GPT2;B3GAT1;CACHD1"
"ZNF84 human tf ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"BEX1;PIK3R3;FSCN2"
"ZNF627 human tf ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"BEX1;MPPED2;PIK3R3"
"ZNF536 human tf ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"MPPED2;B3GAT1;PIK3R3"
"HEY2 human tf ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"F8A2;CACHD1;POLR3G"
"THAP2 human tf ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"FGFBP2;MPPED2;PIK3R3"
"SMARCA1 human tf ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"BEX1;CACHD1;KLHL4"
"HMGA2 human tf ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"CACHD1;POLR3G;ADAMTS6"
"SOX1 human tf ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"MPPED2;CACHD1;PIK3R3"
"FOXN4 human tf ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"ODF3;MPPED2;B3GAT1"
"ZNF704 human tf ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"MPPED2;B3GAT1;PIK3R3"
"ZNF606 human tf ARCHS4 coexpression","3/299",0.0387161435169752,0.529553716990789,0,0,4.23821161587119,13.7805392236034,"BEX1;MPPED2;PIK3R3"
"ARX human tf ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;MPPED2"
"SOX8 human tf ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"ZNF454 human tf ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;PIK3R3"
"NFIX human tf ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"B3GAT1;GFAP"
"ZNF721 human tf ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"MPPED2;POLR3G"
"ZFP1 human tf ARCHS4 coexpression","2/299",0.171668631723609,0.529553716990789,0,0,2.75715488215488,4.8586286115301,"BEX1;MPPED2"
