"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"FETAL BRAIN","11/2316",0.0256157128201507,0.997888653859233,0,0,2.15913009622337,7.91223875558767,"TBC1D3K;LRRN3;GPT2;MPPED2;B3GAT1;SLC4A10;CACHD1;PIK3R3;FSCN2;KLHL4;GFAP"
"CEREBRAL CORTEX","10/2316",0.057958164546365,0.997888653859233,0,0,1.91283607979185,5.44782186577087,"TMC1;BEX1;LRRN3;GPT2;B3GAT1;SLC4A10;POLR3G;KCNQ5;KLHL4;GFAP"
"CEREBELLUM","8/2316",0.217114658263216,0.997888653859233,0,0,1.45597094990509,2.22374765358583,"LRRN3;B3GAT1;SLC4A10;CACHD1;FSCN2;KLHL4;ADAMTS6;GFAP"
"DORSAL STRIATUM","8/2316",0.217114658263216,0.997888653859233,0,0,1.45597094990509,2.22374765358583,"ODF3;MPPED2;B3GAT1;SLC4A10;CACHD1;KCNQ5;KLHL4;GFAP"
"MOTOR NEURON","8/2316",0.217114658263216,0.997888653859233,0,0,1.45597094990509,2.22374765358583,"BEX1;LRRN3;MPPED2;B3GAT1;CACHD1;PIK3R3;FSCN2;KLHL4"
"OLIGODENDROCYTE","8/2316",0.217114658263216,0.997888653859233,0,0,1.45597094990509,2.22374765358583,"TBC1D3K;BEX1;LRRN3;B3GAT1;CACHD1;PIK3R3;KLHL4;GFAP"
"PREFRONTAL CORTEX","8/2316",0.217114658263216,0.997888653859233,0,0,1.45597094990509,2.22374765358583,"BEX1;LRRN3;MPPED2;B3GAT1;SLC4A10;PIK3R3;KLHL4;GFAP"
"SUBCUTANEOUS ADIPOSE TISSUE","8/2316",0.217114658263216,0.997888653859233,0,0,1.45597094990509,2.22374765358583,"VMO1;TMEM37;SNTG2;FGFBP2;GPT2;CACHD1;CD248;SLC25A20"
"ADIPOSE (BULK TISSUE)","7/2316",0.357594963412207,0.997888653859233,0,0,1.24373785087675,1.27900319214503,"VMO1;TMEM37;SNTG2;FGFBP2;GPT2;CACHD1;CD248"
"BETA CELL","7/2316",0.357594963412207,0.997888653859233,0,0,1.24373785087675,1.27900319214503,"TMEM37;SNTG2;BEX1;LRRN3;ODF3;SLC4A10;DEFA1"
"CARDIAC MUSCLE FIBER","7/2316",0.357594963412207,0.997888653859233,0,0,1.24373785087675,1.27900319214503,"ODF3;MPPED2;CACHD1;KCNQ5;FSCN2;KLHL4;ADAMTS6"
"CINGULATE GYRUS","7/2316",0.357594963412207,0.997888653859233,0,0,1.24373785087675,1.27900319214503,"BEX1;LRRN3;SLC4A10;CACHD1;KCNQ5;KLHL4;GFAP"
"DENTATE GRANULE CELL","7/2316",0.357594963412207,0.997888653859233,0,0,1.24373785087675,1.27900319214503,"BEX1;LRRN3;MPPED2;SLC4A10;KCNQ5;KLHL4;GFAP"
"NEURONAL EPITHELIUM","7/2316",0.357594963412207,0.997888653859233,0,0,1.24373785087675,1.27900319214503,"BEX1;LRRN3;MPPED2;B3GAT1;CACHD1;PIK3R3;ADAMTS6"
"SENSORY NEURON","7/2316",0.357594963412207,0.997888653859233,0,0,1.24373785087675,1.27900319214503,"MPPED2;B3GAT1;SLC4A10;CACHD1;PIK3R3;KCNQ5;FSCN2"
"SPINAL CORD","7/2316",0.357594963412207,0.997888653859233,0,0,1.24373785087675,1.27900319214503,"LRRN3;MPPED2;B3GAT1;SLC4A10;CACHD1;KLHL4;GFAP"
"SPINAL CORD (BULK)","7/2316",0.357594963412207,0.997888653859233,0,0,1.24373785087675,1.27900319214503,"LRRN3;MPPED2;B3GAT1;SLC4A10;CACHD1;KLHL4;GFAP"
"VALVE","7/2316",0.357594963412207,0.997888653859233,0,0,1.24373785087675,1.27900319214503,"VMO1;TMEM37;FGFBP2;ODF3;CD248;FSCN2;GFAP"
"ASTROCYTE","6/2316",0.528270853319324,0.997888653859233,0,0,1.04132231404959,0.664515822530827,"CACHD1;CD248;FSCN2;KLHL4;ADAMTS6;GFAP"
"BRAIN (BULK)","6/2316",0.528270853319324,0.997888653859233,0,0,1.04132231404959,0.664515822530827,"BEX1;B3GAT1;SLC4A10;KCNQ5;KLHL4;GFAP"
"CD4+ T CELL","6/2316",0.528270853319324,0.997888653859233,0,0,1.04132231404959,0.664515822530827,"ZNF683;FGFBP2;CBX3P2;SLC4A10;SLC25A20;GIMAP3P"
"FETAL LUNG","6/2316",0.528270853319324,0.997888653859233,0,0,1.04132231404959,0.664515822530827,"TBC1D3K;ODF3;PIK3R3;CD248;FSCN2;ADAMTS6"
"HEPATIC STELLATE CELL","6/2316",0.528270853319324,0.997888653859233,0,0,1.04132231404959,0.664515822530827,"TBC1D3K;POLR3G;KCNQ5;FSCN2;KLHL4;ADAMTS6"
"HUMAN EMBRYO","6/2316",0.528270853319324,0.997888653859233,0,0,1.04132231404959,0.664515822530827,"BEX1;GPT2;B3GAT1;CACHD1;POLR3G;KLHL4"
"PERICARDIUM","6/2316",0.528270853319324,0.997888653859233,0,0,1.04132231404959,0.664515822530827,"TMEM37;ODF3;CD248;FSCN2;KLHL4;ADAMTS6"
"PERIPHERAL BLOOD","6/2316",0.528270853319324,0.997888653859233,0,0,1.04132231404959,0.664515822530827,"ZNF683;FGFBP2;CBX3P2;ODF3;DEFA1;GIMAP3P"
"RENAL CORTEX","6/2316",0.528270853319324,0.997888653859233,0,0,1.04132231404959,0.664515822530827,"TMEM37;TBC1D3K;CACHD1;CD248;DEFA1;KLHL4"
"RETINA","6/2316",0.528270853319324,0.997888653859233,0,0,1.04132231404959,0.664515822530827,"ODF3;SLC4A10;CACHD1;FSCN2;KLHL4;ADAMTS6"
"SKELETAL MUSCLE SATELLITE CELL","6/2316",0.528270853319324,0.997888653859233,0,0,1.04132231404959,0.664515822530827,"ODF3;POLR3G;CD248;FSCN2;KLHL4;ADAMTS6"
"SUPERIOR FRONTAL GYRUS","6/2316",0.528270853319324,0.997888653859233,0,0,1.04132231404959,0.664515822530827,"BEX1;B3GAT1;SLC4A10;KCNQ5;KLHL4;GFAP"
"TESTIS (BULK TISSUE)","6/2316",0.528270853319324,0.997888653859233,0,0,1.04132231404959,0.664515822530827,"ZNF683;SNTG2;FGFBP2;ODF3;KLHL4;ADAMTS6"
"WHARTONS JELLY","6/2316",0.528270853319324,0.997888653859233,0,0,1.04132231404959,0.664515822530827,"SNTG2;KCNQ5;CD248;FSCN2;KLHL4;ADAMTS6"
"ATRIUM","5/2316",0.701974749870981,0.997888653859233,0,0,0.84806961873167,0.300096087226206,"ODF3;CD248;FSCN2;KLHL4;GRAMD4"
"BLOOD PBMC","5/2316",0.701974749870981,0.997888653859233,0,0,0.84806961873167,0.300096087226206,"ZNF683;FGFBP2;CBX3P2;SLC25A20;GIMAP3P"
"BREAST (BULK TISSUE)","5/2316",0.701974749870981,0.997888653859233,0,0,0.84806961873167,0.300096087226206,"TMEM37;ODF3;CACHD1;CD248;FSCN2"
"CD19+ B CELLS","5/2316",0.701974749870981,0.997888653859233,0,0,0.84806961873167,0.300096087226206,"CBX3P2;ODF3;KCNQ5;FSCN2;GRAMD4"
"CHONDROCYTE","5/2316",0.701974749870981,0.997888653859233,0,0,0.84806961873167,0.300096087226206,"FGFBP2;ODF3;CACHD1;KCNQ5;ADAMTS6"
"FETAL BRAIN CORTEX","5/2316",0.701974749870981,0.997888653859233,0,0,0.84806961873167,0.300096087226206,"BEX1;MPPED2;B3GAT1;SLC4A10;PIK3R3"
"GRANULOSA CELL","5/2316",0.701974749870981,0.997888653859233,0,0,0.84806961873167,0.300096087226206,"TMC1;TMEM37;LRRN3;FSCN2;KLHL4"
"HAIR FOLLICLE","5/2316",0.701974749870981,0.997888653859233,0,0,0.84806961873167,0.300096087226206,"ODF3;CACHD1;CD248;FSCN2;ADAMTS6"
"HEPATOCYTE","5/2316",0.701974749870981,0.997888653859233,0,0,0.84806961873167,0.300096087226206,"VMO1;TMEM37;GPT2;SLC25A20;GRAMD4"
"KUPFFER CELL","5/2316",0.701974749870981,0.997888653859233,0,0,0.84806961873167,0.300096087226206,"KCNQ5;CD248;FSCN2;KLHL4;ADAMTS6"
"LUNG (BULK TISSUE)","5/2316",0.701974749870981,0.997888653859233,0,0,0.84806961873167,0.300096087226206,"VMO1;TMEM37;CACHD1;CD248;FSCN2"
