"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"A549-lung","1/61",0.141801880592737,0.395762366645275,0,0,6.76530612244898,13.2148375405932,"POLR3G"
"HEYA8-ovary","1/64",0.14824219418026,0.395762366645275,0,0,6.4421768707483,12.2975222932606,"POLR3G"
"CAOV4-ovary","1/65",0.150378421491389,0.395762366645275,0,0,6.34119897959184,12.0140378181151,"CD248"
"786O-kidney","1/74",0.169369691826634,0.395762366645275,0,0,5.55689124965054,9.86721301833061,"POLR3G"
"COV434-ovary","1/74",0.169369691826634,0.395762366645275,0,0,5.55689124965054,9.86721301833061,"CD248"
"LN382-central nervous system","1/74",0.169369691826634,0.395762366645275,0,0,5.55689124965054,9.86721301833061,"POLR3G"
"SW480-large intestine","1/75",0.171453976440458,0.395762366645275,0,0,5.4815223386652,9.66633798573148,"POLR3G"
"HUTU80-small intestine","1/89",0.20010134077429,0.395762366645275,0,0,4.60621521335807,7.41108400124833,"CD248"
"NCIH716-large intestine","1/91",0.204113762093119,0.395762366645275,0,0,4.50340136054422,7.15625505110662,"POLR3G"
"CFPAC1-pancreas","1/100",0.221926911560385,0.395762366645275,0,0,4.09214594928881,6.16034588762116,"POLR3G"
"LN443-central nervous system","1/107",0.235510907008418,0.395762366645275,0,0,3.82056218713901,5.52452548143668,"ADAMTS6"
"CALU1-lung","1/109",0.239349173739861,0.395762366645275,0,0,3.74943310657596,5.36105874493243,"POLR3G"
"TE9-oesophagus","1/120",0.260124462166282,0.395762366645275,0,0,3.40096038415366,4.57971645890887,"POLR3G"
"COLO205-large intestine","1/122",0.263841577763516,0.395762366645275,0,0,3.34440883791533,4.45611187425848,"CD248"
"F36P-haematopoietic and lymphoid tissue","1/157",0.326005481520818,0.456407674129145,0,0,2.5894819466248,2.90239775017796,"ADAMTS6"
"L363-haematopoietic and lymphoid tissue","1/173",0.352680884785436,0.45768694086413,0,0,2.34670147128619,2.44571265499221,"POLR3G"
"MM1S-haematopoietic and lymphoid tissue","1/198",0.392303092169255,0.45768694086413,0,0,2.04630684761214,1.91477135590819,"CD248"
"MOLM13-haematopoietic and lymphoid tissue","1/198",0.392303092169255,0.45768694086413,0,0,2.04630684761214,1.91477135590819,"CD248"
"HCT116-large intestine","1/229",0.438145462697151,0.461544683815487,0,0,1.76530612244898,1.45673823329454,"POLR3G"
"697-haematopoietic and lymphoid tissue","1/230",0.439566365538559,0.461544683815487,0,0,1.75750824347206,1.44461302420391,"POLR3G"
"NCIH660-prostate","1/328",0.562998943528309,0.562998943528309,0,0,1.22467702677401,0.703549430141157,"DEFA1"
