"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"TOV21G-ovary","2/74",0.0147525184670076,0.475531241964652,0,0,11.5034722222222,48.502566947861,"CD248;ADAMTS6"
"TE10-oesophagus","1/25",0.0606955298241754,0.475531241964652,0,0,16.9438775510204,47.4748002047703,"POLR3G"
"HCC1187-breast","2/197",0.0869804918562357,0.475531241964652,0,0,4.22115384615385,10.3083591544887,"POLR3G;SLC25A20"
"JHOC5-ovary","1/57",0.133140512285209,0.475531241964652,0,0,7.25,14.6185391319657,"POLR3G"
"OE33-oesophagus","1/61",0.141801880592737,0.475531241964652,0,0,6.76530612244898,13.2148375405932,"ADAMTS6"
"HCC827GR5-lung","1/64",0.14824219418026,0.475531241964652,0,0,6.4421768707483,12.2975222932606,"ADAMTS6"
"KYSE30-oesophagus","1/66",0.152509397975627,0.475531241964652,0,0,6.24332810047096,11.7407599163322,"POLR3G"
"EFE184-endometrium","1/68",0.156755649080656,0.475531241964652,0,0,6.05635089856838,11.2228243619718,"POLR3G"
"LK2-lung","1/78",0.177676125437979,0.475531241964652,0,0,5.26716141001855,9.10056411919043,"ADAMTS6"
"NCIH1650-lung","1/97",0.216033047281136,0.475531241964652,0,0,4.22066326530612,6.46742313757927,"POLR3G"
"C2BBE1-large intestine","1/99",0.2199671313012,0.475531241964652,0,0,4.13411078717201,6.26018948804807,"POLR3G"
"LN428-central nervous system","1/99",0.2199671313012,0.475531241964652,0,0,4.13411078717201,6.26018948804807,"CD248"
"CH157MN-central nervous system","1/101",0.223881866241205,0.475531241964652,0,0,4.05102040816327,6.06290601418737,"CD248"
"NCIH838-lung","1/110",0.241261218690496,0.475531241964652,0,0,3.71484740685265,5.28204879592619,"POLR3G"
"JHESOAD1-oesophagus","1/110",0.241261218690496,0.475531241964652,0,0,3.71484740685265,5.28204879592619,"POLR3G"
"SF172-central nervous system","1/114",0.248862407858827,0.475531241964652,0,0,3.58262597074228,4.98291365340615,"POLR3G"
"L33-pancreas","1/121",0.261985313392121,0.475531241964652,0,0,3.37244897959184,4.51728355262187,"POLR3G"
"SNUC1-large intestine","1/122",0.263841577763516,0.475531241964652,0,0,3.34440883791533,4.45611187425848,"POLR3G"
"LN215-central nervous system","1/124",0.267540390273413,0.475531241964652,0,0,3.28969636635142,4.33741443316037,"CD248"
"TE15-oesophagus","1/136",0.289353816496661,0.475531241964652,0,0,2.99546485260771,3.71469112422295,"POLR3G"
"NCIH508-large intestine","1/145",0.305294838614257,0.475531241964652,0,0,2.80697278911565,3.33040945482965,"POLR3G"
"BT474-breast","1/153",0.319170076285828,0.475531241964652,0,0,2.65816326530612,3.0357052873752,"POLR3G"
"SLR21-kidney","1/156",0.324302961975654,0.475531241964652,0,0,2.60631994733377,2.93491729206467,"SLC25A20"
"OAW42-ovary","1/162",0.33445521951201,0.475531241964652,0,0,2.50842945874002,2.74736308712605,"ADAMTS6"
"KALS1-central nervous system","1/162",0.33445521951201,0.475531241964652,0,0,2.50842945874002,2.74736308712605,"CD248"
"MONOMAC1-haematopoietic and lymphoid tissue","1/174",0.354313300273642,0.475531241964652,0,0,2.3330187566356,2.42067896936234,"POLR3G"
"COLO783-skin","1/178",0.360802714392248,0.475531241964652,0,0,2.2798339674853,2.32411738851616,"DEFA1"
"EFM19-breast","1/187",0.375171092385506,0.475531241964652,0,0,2.16853192890059,2.1259703927866,"POLR3G"
"SNU840-ovary","1/193",0.384573659590848,0.475531241964652,0,0,2.10012755102041,2.0069237558479,"POLR3G"
"ZR7530-breast","1/199",0.393837522527261,0.475531241964652,0,0,2.03586889301175,1.89705690654597,"POLR3G"
"NCIH2052-pleura","1/202",0.398418067592006,0.475531241964652,0,0,2.00517819067926,1.84527205543563,"CD248"
"JHOM1-ovary","1/248",0.464548611566443,0.531416773603754,0,0,1.62794348508634,1.24812648094044,"CD248"
"EFO21-ovary","1/255",0.473966311592538,0.531416773603754,0,0,1.58251647115539,1.18153691645493,"KLHL4"
"OV7-ovary","1/267",0.489734664628703,0.532946546801823,0,0,1.51020408163265,1.07812191045261,"POLR3G"
"IGR39-skin","1/306",0.5378493420767,0.558528278979301,0,0,1.31448645031783,0.815213989033383,"POLR3G"
"VCAP-prostate","1/313",0.546001560576731,0.558528278979301,0,0,1.28453689167975,0.777316234545935,"SLC25A20"
"NOMO1-haematopoietic and lymphoid tissue","1/324",0.558528278979301,0.558528278979301,0,0,1.24009603841537,0.722293972237136,"POLR3G"
