"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Human CD4+Tlyphocytes 72 years vs 81 years GSE62373 aging:186","5/328",0.00133189197750118,0.155831361367638,0,0,6.7516339869281,44.7036138352468,"ZNF683;FGFBP2;LRRN3;SLC25A20;DEFA1"
"Human CD4+Tlyphocytes 61 years vs 81 years GSE62373 aging:185","4/349",0.0111692905456524,0.287266710470534,0,0,4.9413988657845,22.2095480042127,"ZNF683;FGFBP2;LRRN3;DEFA1"
"Human CD4+Tlyphocytes 29 years vs 61 years GSE62373 aging:174","4/363",0.0127529498395798,0.287266710470534,0,0,4.74530701223205,20.6989944240449,"LRRN3;CD248;SLC25A20;DEFA1"
"Human CD4+Tlyphocytes 52 years vs 81 years GSE62373 aging:183","4/365",0.012990330581735,0.287266710470534,0,0,4.71853546910755,20.4951947353468,"ZNF683;FGFBP2;LRRN3;DEFA1"
"Human CD4+Tlyphocytes 29 years vs 81 years GSE62373 aging:176","4/377",0.0144742600523182,0.287266710470534,0,0,4.56393519058165,19.3300152346031,"LRRN3;CD248;SLC25A20;DEFA1"
"Human CD4+Tlymphocytes 25 years vs 64 years GSE62374 aging:129","4/379",0.0147316261779761,0.287266710470534,0,0,4.53913043478261,19.1449566799893,"RNU1-3;RNU1-1;FGFBP2;RNVU1-18"
"Human CD4+Tlyphocytes 29 years vs 40 years GSE62373 aging:172","3/309",0.0420180828041023,0.634398521417981,0,0,4.09762202753442,12.9880490098283,"FGFBP2;CD248;DEFA1"
"Human CD4+Tlyphocytes 29 years vs 52 years GSE62373 aging:173","3/313",0.0433776766781525,0.634398521417981,0,0,4.04392587508579,12.6890723945464,"LRRN3;CD248;DEFA1"
"Human CD4+Tlymphocytes 25 years vs 64 years GSE62374 aging:130","3/359",0.0605691367791507,0.660763213987636,0,0,3.51314845804447,9.85076221340196,"RNU1-3;RNU1-1;RNVU1-18"
"Human CD4+Tlyphocytes 29 years vs 72 years GSE62373 aging:175","3/370",0.0650919729835681,0.660763213987636,0,0,3.40593657603339,9.30486218967455,"LRRN3;CD248;DEFA1"
