"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Human CD4+Tlyphocytes 40 years vs 72 years GSE62373 aging:179","3/193",0.0124354733598914,0.665009792433186,0,0,6.63829787234043,29.1235546030305,"ZNF683;FGFBP2;DEFA1"
"Human CD4+lyphocytes 40 years vs 72 years GSE62373 aging:163","3/227",0.0191201861591873,0.665009792433186,0,0,5.62101063829787,22.2423988754576,"ZNF683;FGFBP2;DEFA1"
"Human CD4+lyphocytes 52 years vs 72 years GSE62373 aging:167","3/232",0.0202416542865995,0.665009792433186,0,0,5.49688748490198,21.4379310256389,"ZNF683;FGFBP2;DEFA1"
"Human CD4+Tlyphocytes 40 years vs 61 years GSE62373 aging:178","3/252",0.0250854565641033,0.665009792433186,0,0,5.05024352730069,18.6125059655105,"ZNF683;FGFBP2;DEFA1"
"Human CD4+Tlyphocytes 52 years vs 72 years GSE62373 aging:182","3/270",0.0299346348770652,0.665009792433186,0,0,4.70547453980397,16.5102825577232,"ZNF683;FGFBP2;DEFA1"
"Mouse muscle 70 days vs 720 days GDS4904 aging:84","3/290",0.0358638179195304,0.665009792433186,0,0,4.37311883757135,14.5538547192371,"TMEM37;SLC4A10;KCNQ5"
"Human CD4+lyphocytes 52 years vs 61 years GSE62373 aging:166","3/307",0.0413465811083513,0.665009792433186,0,0,4.125,13.1412828636865,"ZNF683;FGFBP2;DEFA1"
"Mouse kidney 6 months vs 14 months GSE15129 aging:318","3/352",0.0577720103691849,0.665009792433186,0,0,3.5848930073767,10.2214293070669,"TMEM37;BEX1;SLC25A20"
"Mouse brain 6 months vs 14 months GSE15129 aging:312","3/389",0.0732625328850608,0.665009792433186,0,0,3.23514496747878,8.4557176451557,"BEX1;SLC4A10;GFAP"
"Human CD4+lyphocytes 29 years vs 72 years GSE62373 aging:155","2/187",0.0795760320960784,0.665009792433186,0,0,4.45157657657658,11.2671287763417,"ZNF683;FGFBP2"
"Human skeletal muscle 19 years vs 65 years GDS4858 aging:11","2/225",0.108732282094746,0.665009792433186,0,0,3.68591180866966,8.17854640211763,"VMO1;KCNQ5"
"Human CD4+Tlyphocytes 29 years vs 72 years GSE62373 aging:175","2/230",0.112758612412141,0.665009792433186,0,0,3.60416666666667,7.86611508121161,"ZNF683;FGFBP2"
