"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Mouse 309 L5 NP CTX up","1/6",0.0149082847993736,0.302927753769701,0,0,81.4081632653061,342.389562344484,"LRRN3"
"Mouse 101 Sst down","2/78",0.0162985561731684,0.302927753769701,0,0,10.8958333333333,44.8546455842035,"SLC4A10;KCNQ5"
"Mouse 337 L6b/CT ENT down","1/7",0.017371741450284,0.302927753769701,0,0,67.8367346938775,274.936210768444,"KCNQ5"
"Mouse 60 Sst Chodl down","2/83",0.0183241429417303,0.302927753769701,0,0,10.2206790123457,40.8779716326206,"SLC4A10;KCNQ5"
"Mouse 335 L6b/CT ENT down","1/9",0.0222805591236868,0.302927753769701,0,0,50.8724489795918,193.520869933163,"KCNQ5"
"Mouse 348 L6b CTX down","1/10",0.0247259488172581,0.302927753769701,0,0,45.2176870748299,167.301012082339,"KCNQ5"
"Mouse 334 L6b/CT ENT down","1/11",0.0271653448579924,0.302927753769701,0,0,40.6938775510204,146.734521000359,"KCNQ5"
"Mouse 312 NP SUB down","1/14",0.0344477141698712,0.302927753769701,0,0,31.298273155416,105.422368949113,"KCNQ5"
"Mouse 313 NP SUB down","1/15",0.0368632785936063,0.302927753769701,0,0,29.0612244897959,95.9177159613371,"KCNQ5"
"Mouse 346 L6b CTX down","1/17",0.0416766547912335,0.302927753769701,0,0,25.4260204081633,80.799167280865,"KCNQ5"
"Mouse 79 Sst down","1/17",0.0416766547912335,0.302927753769701,0,0,25.4260204081633,80.799167280865,"KCNQ5"
"Mouse 80 Sst down","1/18",0.0440744949316927,0.302927753769701,0,0,23.9291716686675,74.7038591145848,"KCNQ5"
"Human Exc L5 FEZF2 NREP-AS1 down","1/20",0.0488525499820278,0.302927753769701,0,0,21.4081632653061,64.6301466936404,"KCNQ5"
"Mouse 332 L6 CT ENTm down","1/21",0.0512327930672156,0.302927753769701,0,0,20.3367346938776,60.4280744540867,"KCNQ5"
"Human Inh L2-5 VIP SOX11 down","1/22",0.0536071985992548,0.302927753769701,0,0,19.3673469387755,56.6702499978695,"KCNQ5"
"Mouse 83 Sst down","1/22",0.0536071985992548,0.302927753769701,0,0,19.3673469387755,56.6702499978695,"KCNQ5"
"Human Inh L5-6 SST BEAN1 down","1/23",0.0559757805878795,0.302927753769701,0,0,18.4860853432282,53.2923554931915,"KCNQ5"
"Human Exc L5 FEZF2 RNF144A-AS1 down","1/28",0.0677318256109869,0.337442187882635,0,0,15.0589569160998,40.5417104352724,"KCNQ5"
"Mouse 314 NP SUB down","1/30",0.0723939657090184,0.337442187882635,0,0,14.0190007037298,36.8087414767415,"KCNQ5"
"Mouse 75 Sst down","1/32",0.0770332554327669,0.337442187882635,0,0,13.1132323897301,33.6160080774025,"KCNQ5"
"Mouse 359 OPC up","1/34",0.0816498044624026,0.337442187882635,0,0,12.317254174397,30.8586121657323,"GPT2"
"Human Inh L3-6 VIP ZIM2-AS1 down","1/37",0.0885322278902677,0.337442187882635,0,0,11.2891156462585,27.3692036867235,"KCNQ5"
"Human Inh L1-6 LAMP5 CA1 down","1/38",0.0908151166313485,0.337442187882635,0,0,10.9834528405957,26.3485293003408,"KCNQ5"
"Mouse 60 Sst Chodl up","1/38",0.0908151166313485,0.337442187882635,0,0,10.9834528405957,26.3485293003408,"ADAMTS6"
"Mouse 354 NP PPP down","1/39",0.0930924017046572,0.337442187882635,0,0,10.6938775510204,25.3890053323137,"KCNQ5"
"Human Inh L5-6 LAMP5 CRABP1 down","1/40",0.0953640965755272,0.337442187882635,0,0,10.4191522762951,24.4855612889518,"KCNQ5"
"Mouse 353 NP PPP down","1/43",0.102145774279416,0.348052267915047,0,0,9.6734693877551,22.0686112387857,"KCNQ5"
"Human Inh L1-5 VIP CD27-AS1 down","1/45",0.106639187352935,0.349530335237799,0,0,9.23283858998145,20.665901611884,"KCNQ5"
"Mouse 286 CA1 up","1/48",0.113338014836913,0.349530335237799,0,0,8.64220581849761,18.8173716664144,"GPT2"
"Mouse 303 L5 NP CTX up","1/49",0.115559999022241,0.349530335237799,0,0,8.46173469387755,18.2601307935979,"LRRN3"
"Mouse 290 CA1 up","1/50",0.117776526004041,0.349530335237799,0,0,8.28862973760933,17.7290996615035,"GPT2"
"Mouse 49 Vip down","1/66",0.152509397975627,0.438464519179927,0,0,6.24332810047096,11.7407599163322,"SLC4A10"
"Mouse 17 Pax6 down","1/82",0.185901138460253,0.487782897341475,0,0,5.00604686318972,8.42287539189952,"SLC4A10"
"Human Inh L1-5 VIP PHLDB3 down","1/85",0.192016936645131,0.487782897341475,0,0,4.8265306122449,7.96460422141435,"KCNQ5"
"Mouse 46 Vip down","1/85",0.192016936645131,0.487782897341475,0,0,4.8265306122449,7.96460422141435,"SLC4A10"
"Mouse 42 Vip down","1/92",0.206112569436316,0.487782897341475,0,0,4.45368916797488,7.03385741012878,"SLC4A10"
"Mouse 4 Lamp5 Lhx6 down","1/93",0.208106457039028,0.487782897341475,0,0,4.40505767524401,6.91464333784472,"SLC4A10"
"Mouse 50 Vip down","1/94",0.210095436800202,0.487782897341475,0,0,4.35747202106649,6.79849904676328,"SLC4A10"
"Mouse 360 OPC up","1/95",0.21207952058325,0.487782897341475,0,0,4.31089882761615,6.68531593969729,"GPT2"
"Mouse 219 L6 IT CTX up","1/95",0.21207952058325,0.487782897341475,0,0,4.31089882761615,6.68531593969729,"GRAMD4"
"Human Astro L1 FGFR3 SERPINI2 up","1/101",0.223881866241205,0.491489445647942,0,0,4.05102040816327,6.06290601418737,"CACHD1"
"Human Oligo L2-6 OPALIN MAP6D1 up","1/102",0.225832006978328,0.491489445647942,0,0,4.01070923418872,5.96779050603106,"KLHL4"
"Mouse 55 Vip down","1/104",0.229717893074581,0.491489445647942,0,0,3.93243510996632,5.78423168094792,"SLC4A10"
"Human Inh L2-5 VIP SOX11 up","1/119",0.258259013032378,0.539996118158609,0,0,3.4299550328606,4.64344661396654,"B3GAT1"
"Mouse 267 SUB-ProS up","1/124",0.267540390273413,0.546635072445596,0,0,3.28969636635142,4.33741443316037,"SNTG2"
"Mouse 53 Vip down","1/128",0.274883458910421,0.546635072445596,0,0,3.18544110557609,4.1137043085801,"SLC4A10"
"Mouse 51 Vip down","1/132",0.282154369399051,0.546635072445596,0,0,3.08755257828322,3.90668320615816,"SLC4A10"
"Mouse 43 Vip down","1/137",0.291142592932981,0.546635072445596,0,0,2.97328931572629,3.6688669268162,"SLC4A10"
"Human Inh L1-2 VIP PTGER3 up","1/137",0.291142592932981,0.546635072445596,0,0,2.97328931572629,3.6688669268162,"B3GAT1"
"Mouse 264 SUB up","1/141",0.298253677795296,0.548786767143344,0,0,2.88775510204082,3.49363756094843,"LRRN3"
"Human Inh L1-6 SST NPY up","1/178",0.360802714392248,0.628367927721577,0,0,2.2798339674853,2.32411738851616,"MPPED2"
"Mouse 54 Vip down","1/179",0.362415054719606,0.628367927721577,0,0,2.26691125888558,2.3008359575471,"SLC4A10"
"Human Exc L3 LAMP5 CARM1P1 up","1/180",0.364023409135543,0.628367927721577,0,0,2.25413293809144,2.27788496813712,"GPT2"
"Mouse 362 Oligo up","1/183",0.368824653227882,0.628367927721577,0,0,2.21664050235479,2.21095247511773,"PIK3R3"
"Human Exc L6 THEMIS SNTG2 up","1/190",0.379889840431448,0.631799583613536,0,0,2.13378684807256,2.06523673047369,"SNTG2"
"Mouse 56 Vip down","1/193",0.384573659590848,0.631799583613536,0,0,2.10012755102041,2.0069237558479,"SLC4A10"
"Mouse 298 CA3 up","2/558",0.408527033126441,0.655805989838563,0,0,1.45338729016787,1.30106821858696,"LRRN3;CACHD1"
"Mouse 363 Oligo up","1/212",0.413442906637355,0.655805989838563,0,0,1.90917883741174,1.68625518845188,"PIK3R3"
"Mouse 57 Vip down","1/220",0.425197438825499,0.663019735117727,0,0,1.83869164103998,1.57245213627394,"SLC4A10"
"Mouse 124 DG down","1/235",0.446618224879924,0.684814611482551,0,0,1.71951857666143,1.38601989581132,"KCNQ5"
"Mouse 299 CA3 up","3/1028",0.477977169197048,0.720883599444728,0,0,1.17851582771147,0.869971322193293,"LRRN3;GPT2;CACHD1"
"Human Inh L6 SST TH up","1/279",0.505039520072624,0.741178592719702,0,0,1.44413448832771,0.986515122945121,"BEX1"
"Mouse 229 L6 IT CTX up","1/281",0.50754621023197,0.741178592719702,0,0,1.43367346938776,0.972270777736565,"GRAMD4"
"Mouse 364 Oligo up","1/318",0.551738121051659,0.79312354901176,0,0,1.26395416210648,0.751650490309061,"PIK3R3"
"Human Inh L2 PAX6 FREM2 up","1/328",0.562998943528309,0.795650061776304,0,0,1.22467702677401,0.703549430141157,"CACHD1"
"Human Exc L3-5 FEZF2 ASGR2 up","2/759",0.570792435622131,0.795650061776304,0,0,1.05641787758697,0.592364822216824,"B3GAT1;POLR3G"
"Mouse 121 DG down","1/372",0.609340324127961,0.825748002468555,0,0,1.07701193685021,0.533528388500344,"KCNQ5"
"Mouse 122 DG down","1/373",0.610335480085453,0.825748002468555,0,0,1.07406188281764,0.530314301480394,"KCNQ5"
"Mouse 359 OPC down","2/841",0.627453440740626,0.830022766214483,0,0,0.949096146205801,0.442360244887656,"SLC4A10;KCNQ5"
"Mouse 63 Sst Chodl up","1/402",0.638138533634292,0.830022766214483,0,0,0.99491068247748,0.446913761020612,"ADAMTS6"
"Mouse 125 DG down","1/425",0.658798168385351,0.830022766214483,0,0,0.939834424335772,0.392228676229874,"KCNQ5"
"Human Exc L5-6 FEZF2 OR1L8 up","2/892",0.659764853615096,0.830022766214483,0,0,0.892322097378277,0.371091587756456,"KLHL4;GRAMD4"
"Human Exc L5-6 THEMIS SMYD1 up","1/428",0.661406191948192,0.830022766214483,0,0,0.933087989294078,0.385726553425682,"CACHD1"
"Mouse 300 CA3 up","2/907",0.668844594236416,0.830022766214483,0,0,0.876841620626151,0.352668805106115,"GPT2;CACHD1"
"Mouse 282 CA1 up","1/446",0.67664899419659,0.830022766214483,0,0,0.894519605595047,0.349401695241356,"GPT2"
"Human Inh L5-6 SST C4orf26 up","1/519",0.731864541263285,0.885941286792398,0,0,0.765581908439051,0.238983922266499,"BEX1"
"Mouse 355 V3d down","1/576",0.768449619002868,0.9181475967307,0,0,0.687666370896185,0.181117758375817,"KCNQ5"
"Mouse 365 Oligo down","1/625",0.795953764720719,0.93003477839629,0,0,0.632064364207221,0.144246050171678,"KCNQ5"
"Human Exc L6 FEZF2 PROKR2 up","1/640",0.803713922737258,0.93003477839629,0,0,0.616748107693782,0.13476679504367,"KLHL4"
"Mouse 364 Oligo down","1/650",0.808725894257644,0.93003477839629,0,0,0.606930599666677,0.128848477188587,"KCNQ5"
"Mouse 270 ProS up","1/673",0.819782280032587,0.93111073781479,0,0,0.585459183673469,0.116340391754362,"LRRN3"
"Mouse 367 Oligo down","1/698",0.831090036161657,0.932442479596006,0,0,0.563727930196469,0.104299331204388,"KCNQ5"
"Human Exc L5 FEZF2 CSN1S1 up","3/1834",0.849177150991977,0.941256601099541,0,0,0.631639494753477,0.103265134121976,"B3GAT1;CACHD1;POLR3G"
"Mouse 294 CA3 up","2/1373",0.866542139035677,0.941762091185136,0,0,0.564642596644785,0.0808819688471721,"GPT2;CACHD1"
"Human Exc L5-6 FEZF2 LPO up","1/799",0.870106279899311,0.941762091185136,0,0,0.489795918367347,0.0681501619546411,"GRAMD4"
"Mouse 361 Oligo down","1/913",0.903591402669585,0.966632663320951,0,0,0.426020408163265,0.0431891007579538,"KCNQ5"
"Human Exc L6 FEZF2 PDYN up","1/1103",0.941574798725402,0.970234819029313,0,0,0.349049964813512,0.0210133271649981,"KLHL4"
"Human OPC L1-6 PDGFRA COL20A1 down","1/1117",0.943702853459491,0.970234819029313,0,0,0.34441518542901,0.0199567715535377,"SLC4A10"
"Mouse 96 Sst up","3/2354",0.9439515962863,0.970234819029313,0,0,0.477813877299836,0.0275604904420727,"GPT2;GRAMD4;ADAMTS6"
"Human Inh L3-5 PVALB ISG20 up","3/2402",0.949142757746067,0.970234819029313,0,0,0.466976488430463,0.0243743337552471,"GPT2;POLR3G;GRAMD4"
"Human Exc L3-5 FEZF2 LINC01107 up","1/1687",0.9878633843698,0.997882675355662,0,0,0.221076330888227,0.00269953339133709,"B3GAT1"
"Human Exc L5 THEMIS LINC01116 up","1/2315",0.997882675355662,0.997882675355662,0,0,0.155539484592454,0.00032967672351494,"GRAMD4"
