"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Fields of Forel","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"ODF3;MPPED2;POLR3G"
"Orbital area, ventrolateral part, layer 5","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"TMEM37;CACHD1;SLC25A20"
"Primary motor area, Layer 6a","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"TMEM37;CACHD1;GFAP"
"Primary motor area, Layer 6b","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"MPPED2;CACHD1;ADAMTS6"
"Primary somatosensory area, lower limb, layer 6b","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"TMC1;CACHD1;ADAMTS6"
"Primary somatosensory area, trunk, layer 4","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"CACHD1;PIK3R3;GFAP"
"Primary visual area, layer 4","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"CACHD1;PIK3R3;GFAP"
"Secondary motor area","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"CACHD1;CD248;GFAP"
"intermediate stratum of p2ZL","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"TMEM37;ODF3;MPPED2"
"intermediate stratum of r9Ve","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"SNTG2;BEX1;LRRN3"
"interstitial nucleus of the zona limitans","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"TMEM37;ODF3;MPPED2"
"layer 3 of OCx","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"CACHD1;PIK3R3;GFAP"
"layer 4 of OCx","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"CACHD1;PIK3R3;GFAP"
"layer 4 of PCx","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"CACHD1;PIK3R3;GFAP"
"p2 part of the zona limitans core population","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"TMEM37;ODF3;ADAMTS6"
"p3 part of the ZL core","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"TMC1;TMEM37;POLR3G"
"posterior intralaminar nucleus","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"MPPED2;FSCN2;GFAP"
"r9 part of spinal vestibular nucleus","3/300",0.0390400715124679,0.544697243025729,0,0,4.22372662798195,13.6982494892257,"SNTG2;BEX1;LRRN3"
"superficial stratum of THyB-V","2/300",0.172558756660956,0.544697243025729,0,0,2.74776286353468,4.82786738812527,"CD248;KLHL4"
"Agranular insular area","2/300",0.172558756660956,0.544697243025729,0,0,2.74776286353468,4.82786738812527,"CACHD1;GFAP"
"Agranular insular area, dorsal part","2/300",0.172558756660956,0.544697243025729,0,0,2.74776286353468,4.82786738812527,"CACHD1;GFAP"
"Agranular insular area, dorsal part, layer 2/3","2/300",0.172558756660956,0.544697243025729,0,0,2.74776286353468,4.82786738812527,"CACHD1;GFAP"
"superficial stratum of m1AL","2/300",0.172558756660956,0.544697243025729,0,0,2.74776286353468,4.82786738812527,"KCNQ5;ADAMTS6"
"Agranular insular area, dorsal part, layer 5","2/300",0.172558756660956,0.544697243025729,0,0,2.74776286353468,4.82786738812527,"CACHD1;GFAP"
"Anterior cingulate area, dorsal part, layer 6a","2/300",0.172558756660956,0.544697243025729,0,0,2.74776286353468,4.82786738812527,"MPPED2;CACHD1"
"Anterior cingulate area, dorsal part, layer 6b","2/300",0.172558756660956,0.544697243025729,0,0,2.74776286353468,4.82786738812527,"MPPED2;CACHD1"
