"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Interpeduncular nucleus","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"SNTG2;MPPED2;GFAP"
"Midbrain reticular nucleus, retrorubral area","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"VMO1;SNTG2;CACHD1"
"Primary motor area","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"VMO1;KCNQ5;GRAMD4"
"Somatomotor areas","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"VMO1;KCNQ5;GRAMD4"
"accumbens nucleus, core domain","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"SNTG2;LRRN3;KCNQ5"
"accumbens nucleus, shell domain","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"SNTG2;LRRN3;KCNQ5"
"basal reticular formation of p1","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"VMO1;SNTG2;CACHD1"
"intermediate stratum of SePal","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"SNTG2;LRRN3;KCNQ5"
"intermediate stratum of SeStr","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"SNTG2;LRRN3;KCNQ5"
"island of Calleja major","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"SNTG2;LRRN3;KCNQ5"
"layer 2 of AOV cortex","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"SNTG2;LRRN3;B3GAT1"
"mantle zone of SeStr","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"SNTG2;LRRN3;KCNQ5"
"paraseptal subpallium","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"SNTG2;LRRN3;KCNQ5"
"periventricular stratum of SeStr","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"SNTG2;LRRN3;KCNQ5"
"r1 part of basomedial reticular formation","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"TMC1;GPT2;GFAP"
"septopallidal shell area","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"SNTG2;LRRN3;KCNQ5"
"septostriatal transition area (accumbens)","3/301",0.0393653955150989,0.547919662316002,0,0,4.20933885477652,13.6166561308037,"SNTG2;LRRN3;KCNQ5"
"Peripeduncular nucleus","3/532",0.14750002632823,0.547919662316002,0,0,2.34336162168684,4.48502290206871,"MPPED2;KCNQ5;SLC25A20"
"superficial stratum of m1B","2/301",0.173449682508572,0.547919662316002,0,0,2.73843366778149,4.79737358981002,"VMO1;GFAP"
"superficial stratum of m2B","2/301",0.173449682508572,0.547919662316002,0,0,2.73843366778149,4.79737358981002,"VMO1;GFAP"
"superficial stratum of p1B","2/301",0.173449682508572,0.547919662316002,0,0,2.73843366778149,4.79737358981002,"VMO1;GFAP"
"superficial stratum of r1BM","2/301",0.173449682508572,0.547919662316002,0,0,2.73843366778149,4.79737358981002,"MPPED2;GFAP"
"Anterior olfactory nucleus, posteroventral part","2/301",0.173449682508572,0.547919662316002,0,0,2.73843366778149,4.79737358981002,"SNTG2;B3GAT1"
"superficial stratum of r6Tr","2/301",0.173449682508572,0.547919662316002,0,0,2.73843366778149,4.79737358981002,"FSCN2;SLC25A20"
"superficial stratum of r7BI","2/301",0.173449682508572,0.547919662316002,0,0,2.73843366778149,4.79737358981002,"TMC1;ADAMTS6"
"superficial stratum of r7BL","2/301",0.173449682508572,0.547919662316002,0,0,2.73843366778149,4.79737358981002,"TMC1;TMEM37"
"superficial stratum of r7BM","2/301",0.173449682508572,0.547919662316002,0,0,2.73843366778149,4.79737358981002,"TMC1;ADAMTS6"
