"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Bone Marrow-L2-CD8 Effector 2","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"FGFBP2"
"Tonsil-L1-Innate Lymphoid","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"SLC4A10"
"PBMC-L3-CD8+ Effector Memory T 4","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"FGFBP2"
"PBMC-L3-CD8+ Effector Memory T 5","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"ZNF683"
"PBMC-L3-CD8+ Effector Memory T 6","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"ZNF683"
"Kidney-L3-Connecting Tubule Intercalated Type A","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"MPPED2"
"Lung v1-L1-Neuroendocrine","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"BEX1"
"Tonsil-L1-Naive CD8 T","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"LRRN3"
"Tonsil-L2-Tfh-Mem","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"PIK3R3"
"Liver-L2-NK","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"FGFBP2"
"Fetal Development-L2-Placenta-IGFBP1 DKK1 Positive Cells","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"CD248"
"Bone Marrow-L2-Hematopoeitic Stem Cell","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"BEX1"
"PBMC-L2-CD4+ Cytotoxic T","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"FGFBP2"
"PBMC-L3-gamma-delta T 2","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"ZNF683"
"Bone Marrow-L2-Lymphoid Primed Multipotent Progenitor","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"BEX1"
"Kidney-L3-Descending Vasa Recta Endothelial","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"ADAMTS6"
"Kidney-L2-Afferent / Efferent Arteriole Endothelial","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"ADAMTS6"
"Tonsil-L2-MAIT","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"SLC4A10"
"PBMC-L3-Mucosal Associated Invariant T","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"SLC4A10"
"Bone Marrow-L2-Natural Killer","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"FGFBP2"
"Tonsil-L2-CD16+CD56- NK","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"FGFBP2"
"Bone Marrow-L2-Proliferating Natural Killer","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"FGFBP2"
"PBMC-L3-CD56-dim Natural Killer 2","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"FGFBP2"
"Heart-L1-Lymphatic Endothelial","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"SNTG2"
"Motor Cortex-cluster-FEZF2+ IFNG-AS1+ Layer 5-6 Glutamatergic Neuron","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"KCNQ5"
"Motor Cortex-cross-species cluster-Sst+ GABAergic Neuron 4","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"MPPED2"
"PBMC-L2-CD56-dim Natural Killer","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"FGFBP2"
"Kidney-L2-Descending Vasa Recta Endothelial","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"ADAMTS6"
"Fetal Development-L1-IGFBP1 DKK1 Positive Cells","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"CD248"
"Tonsil-L2-NBC CD229+","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"ADAMTS6"
"PBMC-L2-Mucosal Associated Invariant T","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"SLC4A10"
"Motor Cortex-cluster-THEMIS+ SNTG2+ Layer 6 Glutamatergic Neuron","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"SNTG2"
"Heart-L2-Lymphatic Endothelial","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"SNTG2"
"Adipose-L2-hAd5","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"GPT2"
"Mouse Motor Cortex-cluster-vascular Lepotomeningeal Cell 5","1/9",0.0222805591236868,0.0222805591236868,0,0,50.8724489795918,193.520869933163,"SLC4A10"
