"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"FGFR3+ AQP1+ Layer 1-6 Astrocyte CL0000127","1/9",0.0222805591236868,0.0278166924194153,0,0,50.8724489795918,193.520869933163,"GFAP"
"CD8+ Effector Memory T 5 CL0001050","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"ZNF683"
"CD8+ Effector Memory T 6 CL0001050","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"ZNF683"
"Neuroendocrine CL0000165","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"BEX1"
"FEZF2+ IFNG-AS1+ Layer 5-6 Glutamatergic Neuron CL0000679","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"KCNQ5"
"CD8+ Naive T 2 CL0000900","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"LRRN3"
"VIP+ HSPB6+ Layer 1-3 GABAergic Neuron CL0000617","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"KCNQ5"
"Astrocyte 1 CL0000127","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"GFAP"
"CD56-dim Natural Killer CL0000939","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"FGFBP2"
"FGFR3+ SERPINI2+ Layer 1 Astrocyte CL0000127","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"GFAP"
"THEMIS+ SNTG2+ Layer 6 Glutamatergic Neuron CL0000679","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"SNTG2"
"CD56-dim Natural Killer 1 CL0000939","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"FGFBP2"
"CD56-dim Natural Killer 2 CL0000939","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"FGFBP2"
"Gamma-Delta T 2 CL0000798","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"ZNF683"
"Sst+ GABAergic Neuron 4 CL0000617","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"MPPED2"
"CD8+ Effector Memory T 4 CL0001050","1/10",0.0247259488172581,0.0278166924194153,0,0,45.2176870748299,167.301012082339,"FGFBP2"
"CD4+ Cytotoxic T CL0000934","1/13",0.032026213248763,0.0339101081457491,0,0,33.9081632653061,116.684789992962,"FGFBP2"
"Mucosal Associated Invariant T CL0000940","1/14",0.0344477141698712,0.0344477141698712,0,0,31.298273155416,105.422368949113,"SLC4A10"
