"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Import of palmitoyl-CoA into the mitochondrial matrix","1/8",0.0198291614511851,0.351621104244812,0,0,58.1428571428571,227.954980151296,"SLC25A20"
"Alpha defensins","1/9",0.0222805591236868,0.351621104244812,0,0,50.8724489795918,193.520869933163,"DEFA1"
"Bicarbonate transporters","1/9",0.0222805591236868,0.351621104244812,0,0,50.8724489795918,193.520869933163,"SLC4A10"
"Amino acid biosynthesis and interconversion (transamination)","1/16",0.0392729207344652,0.351621104244812,0,0,27.1224489795918,87.8013353011642,"GPT2"
"Ion channel function in vascular endothelium","1/17",0.0416766547912335,0.351621104244812,0,0,25.4260204081633,80.799167280865,"KCNQ5"
"Activated AMPK stimulation of fatty-acid oxidation in muscle","1/18",0.0440744949316927,0.351621104244812,0,0,23.9291716686675,74.7038591145848,"SLC25A20"
"CBL signaling regulation","1/18",0.0440744949316927,0.351621104244812,0,0,23.9291716686675,74.7038591145848,"PIK3R3"
"Prion pathway","1/21",0.0512327930672156,0.351621104244812,0,0,20.3367346938776,60.4280744540867,"GFAP"
"CD28-dependent PI3K/Akt signaling","1/21",0.0512327930672156,0.351621104244812,0,0,20.3367346938776,60.4280744540867,"PIK3R3"
"Glycosaminoglycan biosynthesis: chondroitin sulfate","1/22",0.0536071985992548,0.351621104244812,0,0,19.3673469387755,56.6702499978695,"B3GAT1"
"Mitochondrial fatty acid beta-oxidation","1/23",0.0559757805878795,0.351621104244812,0,0,18.4860853432282,53.2923554931915,"SLC25A20"
"RNA polymerase III transcription termination","1/23",0.0559757805878795,0.351621104244812,0,0,18.4860853432282,53.2923554931915,"POLR3G"
"Blood clotting cascade","1/23",0.0559757805878795,0.351621104244812,0,0,18.4860853432282,53.2923554931915,"F8A2"
"Glycosaminoglycan biosynthesis: heparan sulfate","1/26",0.0630467249540435,0.351621104244812,0,0,16.265306122449,44.9553406480956,"B3GAT1"
"Tetrasaccharide linker sequence formation in glycosaminoglycan biosynthesis","1/26",0.0630467249540435,0.351621104244812,0,0,16.265306122449,44.9553406480956,"B3GAT1"
"RNA polymerase III transcription initiation from type 2 promoter","1/27",0.0653921522588676,0.351621104244812,0,0,15.6389324960754,42.6528898315632,"POLR3G"
"TRAIL signaling pathway","1/28",0.0677318256109869,0.351621104244812,0,0,15.0589569160998,40.5417104352724,"PIK3R3"
"RNA polymerase III transcription initiation From type 3 promoter","1/28",0.0677318256109869,0.351621104244812,0,0,15.0589569160998,40.5417104352724,"POLR3G"
"Interleukin receptor SHC signaling","1/28",0.0677318256109869,0.351621104244812,0,0,15.0589569160998,40.5417104352724,"PIK3R3"
"RNA polymerase","1/29",0.0700657588372089,0.351621104244812,0,0,14.5204081632653,38.5999069065122,"POLR3G"
"CD28 co-stimulation","1/31",0.0747164600026276,0.351621104244812,0,0,13.5510204081633,35.1520903887112,"PIK3R3"
"Alanine, aspartate and glutamate metabolism","1/32",0.0770332554327669,0.351621104244812,0,0,13.1132323897301,33.6160080774025,"GPT2"
