"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"C12orf59","2/26",0.00191576500585328,0.0828816496586865,0,0,34.59375,216.475173392812,"CACHD1;PIK3R3"
"POLR3E","2/26",0.00191576500585328,0.0828816496586865,0,0,34.59375,216.475173392812,"POLR3G;SLC25A20"
"SUSD1","1/10",0.0247259488172581,0.0828816496586865,0,0,45.2176870748299,167.301012082339,"DEFA1"
"PPP3CB","1/10",0.0247259488172581,0.0828816496586865,0,0,45.2176870748299,167.301012082339,"DEFA1"
"PLAT","1/10",0.0247259488172581,0.0828816496586865,0,0,45.2176870748299,167.301012082339,"DEFA1"
"TJP1","1/10",0.0247259488172581,0.0828816496586865,0,0,45.2176870748299,167.301012082339,"DEFA1"
"LAMA3","1/10",0.0247259488172581,0.0828816496586865,0,0,45.2176870748299,167.301012082339,"DEFA1"
"TGFB1","1/10",0.0247259488172581,0.0828816496586865,0,0,45.2176870748299,167.301012082339,"DEFA1"
"TEKT2","1/11",0.0271653448579924,0.0828816496586865,0,0,40.6938775510204,146.734521000359,"GFAP"
"DTNA","1/11",0.0271653448579924,0.0828816496586865,0,0,40.6938775510204,146.734521000359,"SNTG2"
"LAMB1","1/11",0.0271653448579924,0.0828816496586865,0,0,40.6938775510204,146.734521000359,"DEFA1"
"MOXD1","1/11",0.0271653448579924,0.0828816496586865,0,0,40.6938775510204,146.734521000359,"DEFA1"
"QRICH1","1/11",0.0271653448579924,0.0828816496586865,0,0,40.6938775510204,146.734521000359,"FSCN2"
"LAMA5","1/11",0.0271653448579924,0.0828816496586865,0,0,40.6938775510204,146.734521000359,"DEFA1"
"COCH","1/11",0.0271653448579924,0.0828816496586865,0,0,40.6938775510204,146.734521000359,"DEFA1"
"NPC2","1/12",0.0295987615689071,0.0828816496586865,0,0,36.9925788497217,130.214719406514,"DEFA1"
"MANBA","1/12",0.0295987615689071,0.0828816496586865,0,0,36.9925788497217,130.214719406514,"DEFA1"
"TMEM131","1/12",0.0295987615689071,0.0828816496586865,0,0,36.9925788497217,130.214719406514,"DEFA1"
"USP10","1/12",0.0295987615689071,0.0828816496586865,0,0,36.9925788497217,130.214719406514,"GFAP"
"NES","1/12",0.0295987615689071,0.0828816496586865,0,0,36.9925788497217,130.214719406514,"GFAP"
"CACNA2D2","1/12",0.0295987615689071,0.0828816496586865,0,0,36.9925788497217,130.214719406514,"DEFA1"
"UTRN","1/13",0.032026213248763,0.0828816496586865,0,0,33.9081632653061,116.684789992962,"SNTG2"
"PIK3R1","1/13",0.032026213248763,0.0828816496586865,0,0,33.9081632653061,116.684789992962,"PIK3R3"
"COL18A1","1/13",0.032026213248763,0.0828816496586865,0,0,33.9081632653061,116.684789992962,"DEFA1"
"NID2","1/13",0.032026213248763,0.0828816496586865,0,0,33.9081632653061,116.684789992962,"DEFA1"
"ARL15","1/13",0.032026213248763,0.0828816496586865,0,0,33.9081632653061,116.684789992962,"SLC25A20"
"LRFN3","1/13",0.032026213248763,0.0828816496586865,0,0,33.9081632653061,116.684789992962,"DEFA1"
"GPHA2","1/13",0.032026213248763,0.0828816496586865,0,0,33.9081632653061,116.684789992962,"GPT2"
"SNTB2","1/13",0.032026213248763,0.0828816496586865,0,0,33.9081632653061,116.684789992962,"SNTG2"
"PPP3CA","1/14",0.0344477141698712,0.0828816496586865,0,0,31.298273155416,105.422368949113,"DEFA1"
"NRP2","1/14",0.0344477141698712,0.0828816496586865,0,0,31.298273155416,105.422368949113,"DEFA1"
"THEM4","1/14",0.0344477141698712,0.0828816496586865,0,0,31.298273155416,105.422368949113,"GPT2"
"PIK3CA","1/14",0.0344477141698712,0.0828816496586865,0,0,31.298273155416,105.422368949113,"PIK3R3"
"SCARB1","1/14",0.0344477141698712,0.0828816496586865,0,0,31.298273155416,105.422368949113,"DEFA1"
"MMP26","1/14",0.0344477141698712,0.0828816496586865,0,0,31.298273155416,105.422368949113,"SLC25A20"
"ZNF507","1/14",0.0344477141698712,0.0828816496586865,0,0,31.298273155416,105.422368949113,"FSCN2"
"MCMBP","1/15",0.0368632785936063,0.0828816496586865,0,0,29.0612244897959,95.9177159613371,"DEFA1"
"FLRT1","1/15",0.0368632785936063,0.0828816496586865,0,0,29.0612244897959,95.9177159613371,"PIK3R3"
"VIM","1/15",0.0368632785936063,0.0828816496586865,0,0,29.0612244897959,95.9177159613371,"GFAP"
"UBE2CBP","1/15",0.0368632785936063,0.0828816496586865,0,0,29.0612244897959,95.9177159613371,"DEFA1"
