"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"SKNAS AUTONOMIC GANGLIA TenPx38","3/370",0.0650919729835681,0.960204345162936,0,0,3.40593657603339,9.30486218967455,"SLC4A10;PIK3R3;CD248"
"C32 SKIN TenPx25","4/690",0.0932698169652447,0.960204345162936,0,0,2.44188110026619,5.79277375446514,"MPPED2;PIK3R3;GRAMD4;GFAP"
"KYSE450 OESOPHAGUS TenPx09","2/209",0.0961284696354656,0.960204345162936,0,0,3.97403381642512,9.30746441383207,"GPT2;MPPED2"
"DAOY CENTRAL NERVOUS SYSTEM TenPx38","3/462",0.108576424456039,0.960204345162936,0,0,2.7104714226116,6.01806235883834,"MPPED2;SLC4A10;PIK3R3"
"HCC1187 BREAST TenPx20","3/606",0.19284055334445,0.960204345162936,0,0,2.04795173070816,3.37070650981966,"SLC4A10;PIK3R3;KLHL4"
"TCCPAN2 PANCREAS TenPx09","2/352",0.219742366195314,0.960204345162936,0,0,2.33333333333333,3.53569879041897,"SLC4A10;CD248"
"BICR22 UPPER AERODIGESTIVE TRACT TenPx14","3/652",0.222650575504062,0.960204345162936,0,0,1.89827230108514,2.85149289281078,"TMC1;PIK3R3;GRAMD4"
"MDAMB453 BREAST TenPx19","3/701",0.255380917733639,0.960204345162936,0,0,1.76053161007133,2.40312398121367,"GPT2;SLC4A10;GRAMD4"
"GB1 CENTRAL NERVOUS SYSTEM TenPx34","2/396",0.2604983217413,0.960204345162936,0,0,2.06810490693739,2.78192963951669,"CACHD1;KLHL4"
"SKLU1 LUNG TenPx42","2/405",0.268869638532431,0.960204345162936,0,0,2.02098842018197,2.6546261547792,"PIK3R3;KLHL4"
"HDMYZ HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx41","2/405",0.268869638532431,0.960204345162936,0,0,2.02098842018197,2.6546261547792,"POLR3G;GFAP"
"KYSE410 OESOPHAGUS TenPx38","2/419",0.281893118302133,0.960204345162936,0,0,1.95173860911271,2.47134469566164,"MPPED2;SLC4A10"
"VMRCRCW KIDNEY TenPx01","1/134",0.285762982719773,0.960204345162936,0,0,3.04081632653061,3.80890385676326,"KLHL4"
"T47D BREAST TenPx09","2/434",0.295833430871607,0.960204345162936,0,0,1.88252314814815,2.29283547747681,"CD248;SLC25A20"
"NCIH446 LUNG TenPx38","2/436",0.297690158475227,0.960204345162936,0,0,1.87365591397849,2.270312749507,"SLC4A10;GFAP"
"SW1271 LUNG TenPx34","2/472",0.33097252511274,0.960204345162936,0,0,1.72695035460993,1.90952339542621,"TMC1;SLC25A20"
"SUIT2 PANCREAS TenPx30","2/483",0.341070686424032,0.960204345162936,0,0,1.68650381150381,1.81411401897108,"PIK3R3;SLC25A20"
"NCIH838 LUNG TenPx16","2/492",0.34930092265738,0.960204345162936,0,0,1.6547619047619,1.74051412518946,"CACHD1;SLC25A20"
"OPM2 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx26","3/850",0.357842087169,0.960204345162936,0,0,1.4395990856339,1.47942341649341,"MPPED2;SLC25A20;GFAP"
"MSTO211H PLEURA TenPx39","2/514",0.369280462463705,0.960204345162936,0,0,1.58186848958333,1.57585559036568,"POLR3G;KCNQ5"
"TC71 BONE TenPx25","3/867",0.3695692259342,0.960204345162936,0,0,1.41001773049645,1.40355590948441,"MPPED2;CD248;GFAP"
"SKMEL3 SKIN TenPx04","2/517",0.371988175980051,0.960204345162936,0,0,1.57241100323625,1.55494656476612,"POLR3G;GRAMD4"
"IGR37 SKIN TenPx01","1/199",0.393837522527261,0.960204345162936,0,0,2.03586889301175,1.89705690654597,"GRAMD4"
"SEM HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx25","3/949",0.425557373531705,0.960204345162936,0,0,1.28226350591516,1.09550888147986,"MPPED2;KCNQ5;CD248"
"LOXIMVI SKIN TenPx19","2/579",0.426865774004167,0.960204345162936,0,0,1.39897458116696,1.19092700212143,"CACHD1;KCNQ5"
"NCIH716 LARGE INTESTINE TenPx36","3/956",0.430273595121911,0.960204345162936,0,0,1.27237614699382,1.07303807178562,"SLC4A10;POLR3G;CD248"
"A101D SKIN TenPx38","3/964",0.435648323226494,0.960204345162936,0,0,1.26125268448203,1.04800002914679,"MPPED2;PIK3R3;SLC25A20"
"NCIH1437 LUNG TenPx18","2/590",0.436359365597195,0.960204345162936,0,0,1.37202380952381,1.13780444794834,"TMC1;GPT2"
"HCT116 LARGE INTESTINE TenPx04","1/229",0.438145462697151,0.960204345162936,0,0,1.76530612244898,1.45673823329454,"CD248"
"HS695T SKIN TenPx05","1/235",0.446618224879924,0.960204345162936,0,0,1.71951857666143,1.38601989581132,"PIK3R3"
"KU1919 URINARY TRACT TenPx36","3/1003",0.461594076045489,0.960204345162936,0,0,1.20957446808511,0.935085005146005,"GPT2;PIK3R3;SLC25A20"
"NCIH1944 LUNG TenPx15","2/636",0.475152447555426,0.960204345162936,0,0,1.26945320715037,0.944624992687016,"SLC4A10;SLC25A20"
"A2780 OVARY TenPx14","2/640",0.478452929177735,0.960204345162936,0,0,1.26123301985371,0.92977775922115,"MPPED2;GFAP"
