"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"COVID-19 patients PBMC down","4/315",0.00786998375286818,0.354149268879068,0,0,5.49112260589962,26.6028377406494,"RNU1-3;RNU1-1;RNVU1-18;B3GAT1"
"SARS Perturbation Down Genes Mouse Lung from GSE68820:GPL7202:2","1/59",0.137481851045255,0.718454204869292,0,0,6.99929627023223,13.8884471557023,"BEX1"
"SARS-CoV perturbation Up Genes bronchial epithelial 2B4 from GSE17400:GPL570:1","2/272",0.147973094009255,0.718454204869292,0,0,3.03703703703704,5.80294204282787,"XGY2;VMO1"
"SARS-CoV perturbation Down Genes Vero E6 from GSE30589:GPL570:7","2/283",0.157543301545723,0.718454204869292,0,0,2.91651838671412,5.38988617732673,"BEX1;GRAMD4"
"SARS perturbation Up Genes airway epithelium (HAE) from GSE47961:GPL6480:3","2/286",0.160174195271258,0.718454204869292,0,0,2.88526995305164,5.28435269021686,"SNTG2;GFAP"
"SARS Perturbation Down Genes Mouse Lung from GSE68820:GPL7202:3","1/70",0.160981048285311,0.718454204869292,0,0,5.88021295474712,10.7400245197928,"BEX1"
"SARS Perturbation Down Genes Mouse Lung from GSE68820:GPL7202:1","1/76",0.173533135363907,0.718454204869292,0,0,5.40816326530612,9.4717853003048,"BEX1"
"Gr5vs Gr 4","1/99",0.2199671313012,0.718454204869292,0,0,4.13411078717201,6.26018948804807,"POLR3G"
"SARS perturbation Up Genes airway epithelium (HAE) from GSE47961:GPL6480:6","2/386",0.251203870070458,0.718454204869292,0,0,2.123046875,2.93296895761052,"SNTG2;ODF3"
"Coronavirus Perturbation Down Genes Calu-3 2B4 from GSE45042:GPL6480:1","1/143",0.301782956468689,0.718454204869292,0,0,2.84679505605059,3.41059486630523,"ODF3"
"SARS Perturbation Down Genes Mouse Lung from GSE68820:GPL7202:4","1/143",0.301782956468689,0.718454204869292,0,0,2.84679505605059,3.41059486630523,"BEX1"
"Down-regulated by SARS-CoV-2 in NHBE from GSE147507","2/500",0.356590155632191,0.718454204869292,0,0,1.62751004016064,1.67823656624831,"PIK3R3;KLHL4"
"Down-regulated by SARS-CoV-2 0.2 MOI in A549 transduced with ACE2 vector from GSE147507","2/500",0.356590155632191,0.718454204869292,0,0,1.62751004016064,1.67823656624831,"GPT2;KLHL4"
"ACE2 top 200 Geneshot AutoRIF ARCHS4 predictions","1/200",0.395368155751054,0.718454204869292,0,0,2.02553584247769,1.87957149282382,"TMEM37"
"SARS perturbation Up Genes airway epithelium (HAE) from GSE47961:GPL6480:1","1/201",0.396895001064828,0.718454204869292,0,0,2.01530612244898,1.86231116386419,"PIK3R3"
"SARS perturbation Up Genes airway epithelium (HAE) from GSE47961:GPL6480:2","1/236",0.448018125342039,0.718454204869292,0,0,1.71211463308728,1.37469380180475,"GFAP"
