"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 1 dose in Bronchoalveolar Lavage at 4 DPI from GSE156701","4/418",0.0203417771600966,0.717004927241321,0,0,4.10333963453056,15.9828300687101,"ZNF683;TMC1;VMO1;BEX1"
"Daniloski et al. Cell CRISPR screen to negative hits","2/133",0.0436918530405431,0.717004927241321,0,0,6.30375318066158,19.7344895117421,"GRAMD4;GFAP"
"Top 500 up genes for SARS-CoV-2 infection Day 14 in ferret nasal turbinates from GSE160824","3/373",0.0663521503284664,0.717004927241321,0,0,3.37780333525014,9.16323432508186,"ODF3;B3GAT1;GRAMD4"
"178 positive hits from CRISPR screen of Heaton et al. in A549-ACE2 cells","2/170",0.0674885332401351,0.717004927241321,0,0,4.90625,13.2262568447806,"LRRN3;ODF3"
"Top 500 up genes for SARS-CoV-2 infection Day 2 in ferret nasal turbinates from GSE160824","3/384",0.0710690821644848,0.717004927241321,0,0,3.27843859943039,8.66852896480249,"ODF3;B3GAT1;GRAMD4"
"Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 2 dose in Bronchoalveolar Lavage at 7 DPI from GSE156701","3/417",0.0860988143705088,0.717004927241321,0,0,3.01202590194265,7.38626954800663,"TMC1;VMO1;PIK3R3"
"500 top downregulated genes from SARS-CoV-2 infection at 24 HPI from GSE157852","3/420",0.0875282858129557,0.717004927241321,0,0,2.98989744374713,7.28277207572745,"TMEM37;SLC4A10;ADAMTS6"
"Top 500 downregulated genes for SARS-CoV-2 infection in Rhesus macaques at Group 3 dose in Bronchoalveolar Lavage at 1 DPI from GSE156701","3/428",0.0913898675643407,0.717004927241321,0,0,2.93241551939925,7.0161579695695,"ZNF683;VMO1;BEX1"
"Top 500 downregulated genes in human nasal epithelial cells with SARS-CoV-2 infection (WT, 8 hpi) from GEO GSE162131","3/437",0.0958190274323666,0.717004927241321,0,0,2.87028140013727,6.73165373894288,"GPT2;MPPED2;CACHD1"
"Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 3 dose in Bronchoalveolar Lavage at 2 DPI from GSE156701","3/438",0.0963166173821347,0.717004927241321,0,0,2.86353631694791,6.70100261768807,"ZNF683;BEX1;SLC4A10"
"Top 500 down genes for SARS-CoV-2 infection in Rhesus macaques at Group 1 dose in Bronchoalveolar Lavage at 10 DPI from GSE156701","3/440",0.0973150389384586,0.717004927241321,0,0,2.85013876040703,6.64025824084265,"ZNF683;TMC1;VMO1"
"500 genes down-regulated by SARS-CoV-2 in human Nasal Epithelial Cells cells at 24 hpi from GSE162131","3/440",0.0973150389384586,0.717004927241321,0,0,2.85013876040703,6.64025824084265,"GPT2;MPPED2;SLC25A20"
"Top 500 downregulated genes in human nasal epithelial cells with SARS-CoV-2 infection (Wild Type, 24 hpi) from GEO GSE162131","3/440",0.0973150389384586,0.717004927241321,0,0,2.85013876040703,6.64025824084265,"GPT2;MPPED2;SLC25A20"
