"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"ISTMES2 PLEURA","3/75",0.00087462672414596,0.249268616381598,0,0,17.6223404255319,124.091470072426,"TMEM37;B3GAT1;KLHL4"
"SJSA1 BONE","3/117",0.00313047997635459,0.36152623543164,0,0,11.1063829787234,64.0457231109485,"TMC1;SNTG2;CD248"
"SNU878 LIVER","4/256",0.00380553932033306,0.36152623543164,0,0,6.79710144927536,37.8686747045284,"ZNF683;TMC1;TMEM37;KLHL4"
"PK45H PANCREAS","2/48",0.00642032009254427,0.45744780659378,0,0,18.0289855072464,91.0154986379136,"KLHL4;ADAMTS6"
"SNU886 LIVER","2/82",0.0179108739546234,0.616111199768264,0,0,10.3489583333333,41.6271042692115,"TMEM37;KLHL4"
"SKHEP1 LIVER","2/85",0.0191627543313977,0.616111199768264,0,0,9.97339357429719,39.4426448850601,"POLR3G;ADAMTS6"
"SNU201 CENTRAL NERVOUS SYSTEM","2/86",0.0195880530452788,0.616111199768264,0,0,9.85416666666667,38.7548158697165,"FGFBP2;GFAP"
"L33 PANCREAS","2/88",0.0204505278871254,0.616111199768264,0,0,9.62403100775194,37.435041729737,"VMO1;MPPED2"
"HS618T LUNG","2/88",0.0204505278871254,0.616111199768264,0,0,9.62403100775194,37.435041729737,"LRRN3;CD248"
"KPNSI9S AUTONOMIC GANGLIA","2/97",0.0245233956963021,0.616111199768264,0,0,8.70833333333333,32.2916119732133,"LRRN3;CD248"
"MELJUSO SKIN","2/118",0.0351769550093682,0.616111199768264,0,0,7.1242816091954,23.8475644827565,"B3GAT1;POLR3G"
"JHUEM1 ENDOMETRIUM","2/122",0.0373773734873947,0.616111199768264,0,0,6.88541666666667,22.6302283456875,"MPPED2;PIK3R3"
"SNU449 LIVER","2/133",0.0436918530405431,0.616111199768264,0,0,6.30375318066158,19.7344895117421,"TMEM37;KLHL4"
"HUT102 HAEMATOPOIETIC AND LYMPHOID TISSUE","3/334",0.0508747009962188,0.616111199768264,0,0,3.78331297808061,11.2681796962723,"FGFBP2;LRRN3;KLHL4"
"HLE LIVER","2/147",0.0522559027547516,0.616111199768264,0,0,5.69109195402299,16.7978408017795,"TMC1;KLHL4"
"HS742T BREAST","2/147",0.0522559027547516,0.616111199768264,0,0,5.69109195402299,16.7978408017795,"CD248;ADAMTS6"
"HS863T BONE","2/152",0.0554491879134877,0.616111199768264,0,0,5.5,15.9075851587205,"LRRN3;CD248"
