"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Natural Killer Cell Blood Human","2/56",0.00865466854352143,0.0827247438720737,0,0,15.3518518518519,72.9160212099228,"ZNF683;FGFBP2"
"Activated Neural Stem Cell Brain Mouse","1/5",0.0124387771927725,0.0827247438720737,0,0,101.765306122449,446.437935140061,"GFAP"
"Astrocyte Cerebrospinal Fluid Human","1/5",0.0124387771927725,0.0827247438720737,0,0,101.765306122449,446.437935140061,"GFAP"
"Astrocyte Middle Temporal Gyrus Human","1/5",0.0124387771927725,0.0827247438720737,0,0,101.765306122449,446.437935140061,"GFAP"
"Astrocyte Striatum Mouse","1/5",0.0124387771927725,0.0827247438720737,0,0,101.765306122449,446.437935140061,"GFAP"
"Naive CD4+ T Cell Undefined Human","1/5",0.0124387771927725,0.0827247438720737,0,0,101.765306122449,446.437935140061,"LRRN3"
"Natural Killer T (NKT) Cell Peripheral Blood Human","1/5",0.0124387771927725,0.0827247438720737,0,0,101.765306122449,446.437935140061,"ZNF683"
"Astrocyte Spinal Cord Mouse","1/6",0.0149082847993736,0.0827247438720737,0,0,81.4081632653061,342.389562344484,"GFAP"
"Cytotoxic Lymphocyte Soft Tissue Human","1/6",0.0149082847993736,0.0827247438720737,0,0,81.4081632653061,342.389562344484,"FGFBP2"
"Natural Killer Cell Nasal Polyp Human","1/6",0.0149082847993736,0.0827247438720737,0,0,81.4081632653061,342.389562344484,"ZNF683"
"CD56dim Natural Killer Cell Peripheral Blood Human","1/6",0.0149082847993736,0.0827247438720737,0,0,81.4081632653061,342.389562344484,"B3GAT1"
"CD8+ T Cell Nasal Polyp Human","1/6",0.0149082847993736,0.0827247438720737,0,0,81.4081632653061,342.389562344484,"ZNF683"
"Mucosa-associated Invariant T (MAIT) Cell Peripheral Blood Human","1/7",0.017371741450284,0.0827247438720737,0,0,67.8367346938775,274.936210768444,"SLC4A10"
"Astrocyte Dermis Mouse","1/7",0.017371741450284,0.0827247438720737,0,0,67.8367346938775,274.936210768444,"GFAP"
"Astrocyte Intestine Mouse","1/7",0.017371741450284,0.0827247438720737,0,0,67.8367346938775,274.936210768444,"GFAP"
"Cytotoxic Lymphocyte Brain Human","1/7",0.017371741450284,0.0827247438720737,0,0,67.8367346938775,274.936210768444,"ZNF683"
"Cytotoxic CD8+ T Cell Blood Human","1/7",0.017371741450284,0.0827247438720737,0,0,67.8367346938775,274.936210768444,"FGFBP2"
"Radial Glial Cell Undefined Human","1/7",0.017371741450284,0.0827247438720737,0,0,67.8367346938775,274.936210768444,"GFAP"
"Cytotoxic CD4+ T Cell Liver Human","2/85",0.0191627543313977,0.0827247438720737,0,0,9.97339357429719,39.4426448850601,"ZNF683;FGFBP2"
"Astrocyte Heart Human","1/8",0.0198291614511851,0.0827247438720737,0,0,58.1428571428571,227.954980151296,"GFAP"
"Radial Glia Like Cell Brain Mouse","1/8",0.0198291614511851,0.0827247438720737,0,0,58.1428571428571,227.954980151296,"GFAP"
"Effector CD8 T Cell Blood Human","1/8",0.0198291614511851,0.0827247438720737,0,0,58.1428571428571,227.954980151296,"FGFBP2"
"Mucosa-associated Invariant T (MAIT) Cell Undefined Human","1/9",0.0222805591236868,0.0827247438720737,0,0,50.8724489795918,193.520869933163,"SLC4A10"
"Glial Cell Undefined Human","1/9",0.0222805591236868,0.0827247438720737,0,0,50.8724489795918,193.520869933163,"GFAP"
"CD8+ Mucosal-Associated Invariant T cell(CD8+ MAIT) Blood Human","1/9",0.0222805591236868,0.0827247438720737,0,0,50.8724489795918,193.520869933163,"SLC4A10"
"Sertoli Cell Testis Human","1/9",0.0222805591236868,0.0827247438720737,0,0,50.8724489795918,193.520869933163,"BEX1"
"Naive CD8+ T Cell Peripheral Blood Human","2/97",0.0245233956963021,0.0827247438720737,0,0,8.70833333333333,32.2916119732133,"LRRN3;CD248"
"T Helper Cell Liver Human","1/10",0.0247259488172581,0.0827247438720737,0,0,45.2176870748299,167.301012082339,"SLC4A10"
"Naive T(Th0) Cell Blood Human","1/10",0.0247259488172581,0.0827247438720737,0,0,45.2176870748299,167.301012082339,"LRRN3"
"Effector Memory CD8+ T Cell Blood Human","1/10",0.0247259488172581,0.0827247438720737,0,0,45.2176870748299,167.301012082339,"FGFBP2"
"Effector Memory CD8+ T Cell Liver Human","1/10",0.0247259488172581,0.0827247438720737,0,0,45.2176870748299,167.301012082339,"FGFBP2"
"Memory CD8+ T Cell Blood Human","1/10",0.0247259488172581,0.0827247438720737,0,0,45.2176870748299,167.301012082339,"FGFBP2"
"Gamma Delta T Cell Peripheral Blood Human","1/11",0.0271653448579924,0.0827247438720737,0,0,40.6938775510204,146.734521000359,"SLC4A10"
"Neural Tube Cell Germ Human","1/11",0.0271653448579924,0.0827247438720737,0,0,40.6938775510204,146.734521000359,"B3GAT1"
"Astrocyte Cortex Human","1/12",0.0295987615689071,0.0827247438720737,0,0,36.9925788497217,130.214719406514,"GFAP"
"Astrocyte Cortex Mouse","1/12",0.0295987615689071,0.0827247438720737,0,0,36.9925788497217,130.214719406514,"GFAP"
"Astrocyte Entorhinal Cortex Human","1/12",0.0295987615689071,0.0827247438720737,0,0,36.9925788497217,130.214719406514,"GFAP"
"Astrocyte Superior Frontal Gyrus Human","1/12",0.0295987615689071,0.0827247438720737,0,0,36.9925788497217,130.214719406514,"GFAP"
"Natural Killer T(NKT) Cell Brain Human","1/12",0.0295987615689071,0.0827247438720737,0,0,36.9925788497217,130.214719406514,"FGFBP2"
"Neural Stem Cell Brain Mouse","1/13",0.032026213248763,0.0831156486694088,0,0,33.9081632653061,116.684789992962,"GFAP"
"Endothelial Cell Embryo Mouse","1/13",0.032026213248763,0.0831156486694088,0,0,33.9081632653061,116.684789992962,"KLHL4"
"CD8+ Recently Activated Effector Memory Or Effector T Cell (CTL) Blood Human","1/13",0.032026213248763,0.0831156486694088,0,0,33.9081632653061,116.684789992962,"FGFBP2"
"Pericyte Brain Mouse","1/15",0.0368632785936063,0.0913203946977975,0,0,29.0612244897959,95.9177159613371,"CD248"
"Stem Cell Brain Mouse","1/15",0.0368632785936063,0.0913203946977975,0,0,29.0612244897959,95.9177159613371,"GFAP"
"Neural Progenitor Cell Brain Human","1/17",0.0416766547912335,0.100085832240719,0,0,25.4260204081633,80.799167280865,"GFAP"
"Pericyte Brain Human","1/18",0.0440744949316927,0.100085832240719,0,0,23.9291716686675,74.7038591145848,"CD248"
"CD8+ T Cell Peripheral Blood Human","1/18",0.0440744949316927,0.100085832240719,0,0,23.9291716686675,74.7038591145848,"FGFBP2"
"Cancer Cell Undefined Human","1/18",0.0440744949316927,0.100085832240719,0,0,23.9291716686675,74.7038591145848,"GFAP"
"Astrocyte Hippocampus Mouse","1/19",0.0464664552952436,0.101296872543631,0,0,22.5986394557823,69.3557808280063,"GFAP"
"Natural Killer Cell Lung Human","1/19",0.0464664552952436,0.101296872543631,0,0,22.5986394557823,69.3557808280063,"FGFBP2"
"Stem Cell Brain Human","1/22",0.0536071985992548,0.111611375915432,0,0,19.3673469387755,56.6702499978695,"GFAP"
"Mid Radical Glial Cell Brain Human","1/22",0.0536071985992548,0.111611375915432,0,0,19.3673469387755,56.6702499978695,"GFAP"
"Astrocyte Embryonic Prefrontal Cortex Human","3/343",0.0542697515919074,0.111611375915432,0,0,3.68147684605757,10.727044043622,"BEX1;LRRN3;GFAP"
"Cancer Stem Cell Liver Human","1/23",0.0559757805878795,0.112988149705164,0,0,18.4860853432282,53.2923554931915,"BEX1"
"T Helper 1(Th1) Cell Stomach Human","1/24",0.05833855301301,0.115616405062147,0,0,17.681455190772,50.2417155506286,"LRRN3"
"Type IA Spiral Ganglion Neuron Brain Mouse","2/170",0.0674885332401351,0.131361609342406,0,0,4.90625,13.2262568447806,"B3GAT1;CACHD1"
"CD8+ T Cell Lung Human","1/32",0.0770332554327669,0.146585353592324,0,0,13.1132323897301,33.6160080774025,"LRRN3"
"Natural Killer Cell Stomach Human","1/33",0.0793443657059371,0.146585353592324,0,0,12.702806122449,32.1883751655927,"B3GAT1"
"Smooth Muscle Cell Lung Mouse","1/33",0.0793443657059371,0.146585353592324,0,0,12.702806122449,32.1883751655927,"CD248"
"Natural Killer Cell Bone Marrow Human","1/34",0.0816498044624026,0.148330478106698,0,0,12.317254174397,30.8586121657323,"FGFBP2"
"Naive CD4+ T Cell Peripheral Blood Human","1/37",0.0885322278902677,0.155645368387729,0,0,11.2891156462585,27.3692036867235,"LRRN3"
"Enteroendocrine Cell Small Intestine Mouse","1/37",0.0885322278902677,0.155645368387729,0,0,11.2891156462585,27.3692036867235,"BEX1"
"Myofibroblast Lung Mouse","1/38",0.0908151166313485,0.157124566870111,0,0,10.9834528405957,26.3485293003408,"CD248"
"Cancer Cell Brain Human","1/39",0.0930924017046572,0.157495250405037,0,0,10.6938775510204,25.3890053323137,"GFAP"
