"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Natural Killer cell:Lymph Node","3/98",0.00189222365402463,0.145401368603067,0,0,13.3404255319149,83.6445028364656,"ZNF683;FGFBP2;B3GAT1"
"Lymphoid cell:Blood","3/101",0.00206243076032719,0.145401368603067,0,0,12.9300911854103,79.9580031218518,"FGFBP2;LRRN3;B3GAT1"
"T Helper cell:Tonsil","1/5",0.0124387771927725,0.255354241665129,0,0,101.765306122449,446.437935140061,"B3GAT1"
"Ito Cell (Hepatic Stellate cell):Liver","1/6",0.0149082847993736,0.255354241665129,0,0,81.4081632653061,342.389562344484,"GFAP"
"Astrocyte:Undefined","1/6",0.0149082847993736,0.255354241665129,0,0,81.4081632653061,342.389562344484,"GFAP"
"Schwann cell:Undefined","1/6",0.0149082847993736,0.255354241665129,0,0,81.4081632653061,342.389562344484,"GFAP"
"CD4-CD28+ T cell:Peripheral Blood","1/8",0.0198291614511851,0.255354241665129,0,0,58.1428571428571,227.954980151296,"B3GAT1"
"CD4-CD28- T cell:Peripheral Blood","1/8",0.0198291614511851,0.255354241665129,0,0,58.1428571428571,227.954980151296,"B3GAT1"
"CD4+ Cytotoxic T cell:Liver","2/89",0.0208876608034354,0.255354241665129,0,0,9.51293103448276,36.8016934792986,"ZNF683;FGFBP2"
"Naive CD8+ T cell:Peripheral Blood","2/92",0.022222383975627,0.255354241665129,0,0,9.19444444444444,35.0000798557161,"LRRN3;CD248"
"Cancer cell:Undefined","1/9",0.0222805591236868,0.255354241665129,0,0,50.8724489795918,193.520869933163,"GFAP"
"Neural Progenitor cell:Brain","1/10",0.0247259488172581,0.255354241665129,0,0,45.2176870748299,167.301012082339,"GFAP"
"Intermediate Progenitor cell:Undefined","2/98",0.0249948795228369,0.255354241665129,0,0,8.6171875,31.7895310662435,"B3GAT1;SLC4A10"
"Natural Killer T (NKT) cell:Peripheral Blood","1/11",0.0271653448579924,0.255354241665129,0,0,40.6938775510204,146.734521000359,"ZNF683"
"Radial Glial cell:Undefined","1/11",0.0271653448579924,0.255354241665129,0,0,40.6938775510204,146.734521000359,"GFAP"
"Pit cell:Stomach","1/13",0.032026213248763,0.258880593365401,0,0,33.9081632653061,116.684789992962,"ADAMTS6"
"T Helper cell:Liver","1/14",0.0344477141698712,0.258880593365401,0,0,31.298273155416,105.422368949113,"SLC4A10"
"Neural Tube cell:Germ","1/14",0.0344477141698712,0.258880593365401,0,0,31.298273155416,105.422368949113,"B3GAT1"
"Glial cell:Undefined","1/15",0.0368632785936063,0.258880593365401,0,0,29.0612244897959,95.9177159613371,"GFAP"
"PROCR+ Progenitor cell:Small Intestine","1/21",0.0512327930672156,0.258880593365401,0,0,20.3367346938776,60.4280744540867,"CD248"
"Astrocyte:Embryonic Prefrontal Cortex","3/342",0.0538872025405712,0.258880593365401,0,0,3.69252494822067,10.7853567614229,"BEX1;LRRN3;GFAP"
"Purkinje cell:Undefined","1/26",0.0630467249540435,0.258880593365401,0,0,16.265306122449,44.9553406480956,"GFAP"
"Naive CD4+ T cell:Peripheral Blood","1/32",0.0770332554327669,0.258880593365401,0,0,13.1132323897301,33.6160080774025,"LRRN3"
"Neuron:Brain","1/34",0.0816498044624026,0.258880593365401,0,0,12.317254174397,30.8586121657323,"GFAP"
"Multipotent Progenitor cell:Stomach","1/47",0.111110560303655,0.258880593365401,0,0,8.83052351375333,19.4026870705364,"GPT2"
"Monocyte:Peripheral Blood","1/48",0.113338014836913,0.258880593365401,0,0,8.64220581849761,18.8173716664144,"B3GAT1"
"Lymphoid cell:Undefined","1/50",0.117776526004041,0.258880593365401,0,0,8.28862973760933,17.7290996615035,"B3GAT1"
"Neural Stem cell:Undefined","1/58",0.135313851739813,0.258880593365401,0,0,7.12244897959184,14.246025949065,"GFAP"
"Mucosal-associated Invariant T cell:Liver","1/68",0.156755649080656,0.258880593365401,0,0,6.05635089856838,11.2228243619718,"SLC4A10"
"Secretory Progenitor cell:Esophagus","1/72",0.165185695910124,0.258880593365401,0,0,5.71399827536648,10.2891110310162,"GPT2"
"Secretory cell:Lung","1/74",0.169369691826634,0.258880593365401,0,0,5.55689124965054,9.86721301833061,"VMO1"
"Endothelial cell:Blood Vessel","1/77",0.17560718091187,0.258880593365401,0,0,5.33673469387755,9.28328044629381,"CD248"
"Natural Killer cell:Undefined","1/78",0.177676125437979,0.258880593365401,0,0,5.26716141001855,9.10056411919043,"B3GAT1"
"Effector CD8+ Memory T (Tem) cell:Peripheral Blood","1/82",0.185901138460253,0.258880593365401,0,0,5.00604686318972,8.42287539189952,"FGFBP2"
"Beta cell:Undefined","1/91",0.204113762093119,0.258880593365401,0,0,4.50340136054422,7.15625505110662,"ZNF683"
"Red Blood Cell (erythrocyte):Plasma","1/91",0.204113762093119,0.258880593365401,0,0,4.50340136054422,7.15625505110662,"DEFA1"
"Erythroblast:Fetal Liver","1/91",0.204113762093119,0.258880593365401,0,0,4.50340136054422,7.15625505110662,"DEFA1"
"Myeloid cell:Blood","1/92",0.206112569436316,0.258880593365401,0,0,4.45368916797488,7.03385741012878,"DEFA1"
"Granulocyte:Blood","1/93",0.208106457039028,0.258880593365401,0,0,4.40505767524401,6.91464333784472,"DEFA1"
