"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"DNAJC2-21179169-NT2-HUMAN","5/899",0.0729316321966128,0.99999576222828,0,0,2.36838180462342,6.20097497569875,"GPT2;B3GAT1;CD248;FSCN2;GRAMD4"
"BCL11B-21912641-STHDH STRIATAL CELLS-MOUSE","1/43",0.102145774279416,0.99999576222828,0,0,9.6734693877551,22.0686112387857,"ADAMTS6"
"VDR-23401126-LCL-AND-THP1-HUMAN","2/239",0.120103186865032,0.99999576222828,0,0,3.46571729957806,7.34525516010828,"GPT2;CD248"
"EGR1-19374776-THP-1-human","1/68",0.156755649080656,0.99999576222828,0,0,6.05635089856838,11.2228243619718,"PIK3R3"
"AR-20517297-VCAP-HUMAN","7/2047",0.247531983419662,0.99999576222828,0,0,1.42920656634747,1.99548033117204,"TMC1;TMEM37;MPPED2;B3GAT1;SLC25A20;DEFA1;GRAMD4"
"CDKN2AIP-20523734-CORTICAL NEURONS-MOUSE","1/123",0.265693266376988,0.99999576222828,0,0,3.31682837069254,4.39616667672928,"POLR3G"
"CLOCK-20551151-293T-HUMAN","2/407",0.270730282113749,0.99999576222828,0,0,2.0108024691358,2.62737929958599,"BEX1;GPT2"
"CHD7-19251738-MESC-mouse","1/141",0.298253677795296,0.99999576222828,0,0,2.88775510204082,3.49363756094843,"F8A2"
"IRF8-22096565-GC-B-MOUSE","3/772",0.30393370351676,0.99999576222828,0,0,1.59209252137343,1.89609571350846,"PIK3R3;KCNQ5;ADAMTS6"
"ESR1-17901129-mouse liver-mouse","2/444",0.305110722878613,0.99999576222828,0,0,1.83898944193062,2.18302858423375,"GPT2;ADAMTS6"
"TP63-19390658-HaCaT-human","1/179",0.362415054719606,0.99999576222828,0,0,2.26691125888558,2.3008359575471,"POLR3G"
"BCL3-23251550-MUSCLE-MOUSE","3/858",0.363363858395351,0.99999576222828,0,0,1.42553191489362,1.44313806373616,"LRRN3;SLC4A10;ADAMTS6"
"PPARD-23208498-MDA-MB-231-HUMAN","2/516",0.371086079024955,0.99999576222828,0,0,1.57555123216602,1.56187737649972,"FSCN2;SLC25A20"
"NFE2L2-22581777-LYMPHOBLASTOID-HUMAN","2/527",0.380982298668735,0.99999576222828,0,0,1.54166666666667,1.48771197956276,"TMC1;ADAMTS6"
"TP53-23651856-MEF-MOUSE","9/3193",0.404399778946525,0.99999576222828,0,0,1.15588613800711,1.04648306214843,"TMC1;SNTG2;ODF3;CACHD1;PIK3R3;KCNQ5;CD248;FSCN2;GRAMD4"
"POU3F2-20337985-501MEL-HUMAN","5/1702",0.423019261338435,0.99999576222828,0,0,1.19511556341256,1.02820281478781,"VMO1;LRRN3;MPPED2;SLC4A10;KCNQ5"
"EP300-20729851-FORBRAIN MIDBRAIN LIMB HEART-MOUSE","6/2093",0.426927129607422,0.99999576222828,0,0,1.16716034325042,0.99341911531353,"LRRN3;MPPED2;PIK3R3;CD248;FSCN2;ADAMTS6"
"VDR-20736230-LYMPHOBLASTOID-HUMAN","1/230",0.439566365538559,0.99999576222828,0,0,1.75750824347206,1.44461302420391,"SLC25A20"
"TCF3-18692474-MESC-mouse","4/1351",0.439666205358373,0.99999576222828,0,0,1.20092960201414,0.986851247648523,"GPT2;CACHD1;SLC25A20;ADAMTS6"
"POU5F1-16153702-HESC-human","2/622",0.46350679090378,0.99999576222828,0,0,1.29905913978495,0.998891055908082,"POLR3G;KLHL4"
"ERG-20517297-VCAP-HUMAN","3/1062",0.499907028069168,0.99999576222828,0,0,1.13862937737327,0.789449483459008,"MPPED2;CD248;SLC25A20"
"PAX3-FKHR-20663909-RHABDOMYOSARCOMA-HUMAN","3/1063",0.500545516643693,0.99999576222828,0,0,1.13749498193497,0.787211071258401,"TMC1;MPPED2;SLC4A10"
"SRY-25088423-EMBRYONIC GONADS-MOUSE","8/3083",0.514188965269811,0.99999576222828,0,0,1.04529616724739,0.695293844296615,"SNTG2;GPT2;ODF3;PIK3R3;CD248;FSCN2;GRAMD4;GFAP"
"FOXO3-23340844-DLD1-HUMAN","2/695",0.522571790032431,0.99999576222828,0,0,1.15782828282828,0.75142234353115,"TMC1;TMEM37"
"GATA2-21571218-MEGAKARYOCYTES-HUMAN","3/1111",0.530724035856231,0.99999576222828,0,0,1.08545203164606,0.687648080731134,"TMC1;SNTG2;CD248"
