"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"chrxq21","2/88",0.0204505278871254,0.511263197178136,0,0,9.62403100775194,37.435041729737,"BEX1;KLHL4"
"chr2q23","1/35",0.0839495853612938,0.523331640931049,0,0,11.9543817527011,29.6174450357809,"SLC4A10"
"chr11q25","1/39",0.0930924017046572,0.523331640931049,0,0,10.6938775510204,25.3890053323137,"B3GAT1"
"chr6q14","1/61",0.141801880592737,0.523331640931049,0,0,6.76530612244898,13.2148375405932,"KCNQ5"
"chr11p13","1/62",0.143953936469556,0.523331640931049,0,0,6.65406490465038,12.8973205926637,"MPPED2"
"chr16q12","1/72",0.165185695910124,0.523331640931049,0,0,5.71399827536648,10.2891110310162,"GPT2"
"chr5q14","1/75",0.171453976440458,0.523331640931049,0,0,5.4815223386652,9.66633798573148,"POLR3G"
"chr2q14","1/79",0.179739981193554,0.523331640931049,0,0,5.19937205651491,8.92339120694113,"TMEM37"
"chr2p25","1/100",0.221926911560385,0.523331640931049,0,0,4.09214594928881,6.16034588762116,"SNTG2"
"chr9q21","1/104",0.229717893074581,0.523331640931049,0,0,3.93243510996632,5.78423168094792,"TMC1"
"chr5q13","1/112",0.2450711886959,0.523331640931049,0,0,3.64754550468836,5.1292023601924,"ADAMTS6"
"chr7q31","1/118",0.25638895483414,0.523331640931049,0,0,3.45944531658817,4.70851137205702,"LRRN3"
"chr7q36","1/128",0.274883458910421,0.523331640931049,0,0,3.18544110557609,4.1137043085801,"GIMAP3P"
"chr1p31","1/142",0.3000204969827,0.523331640931049,0,0,2.86712983065567,3.45175045757094,"CACHD1"
"chr17q12","1/150",0.31399898455863,0.523331640931049,0,0,2.71209423366662,3.14159646617035,"TBC1D3G"
"chrxq28","1/195",0.387676925856526,0.596819873869709,0,0,2.07826635808963,1.96932976967533,"F8A2"
"chr1p34","1/207",0.405977038969123,0.596819873869709,0,0,1.95601347335051,1.76326531444381,"PIK3R3"
"chr17q25","1/234",0.445214845304906,0.596819873869709,0,0,1.72698607339932,1.39747422042903,"FSCN2"
"chr8p23","1/240",0.453583104140978,0.596819873869709,0,0,1.68311843565878,1.33063434586448,"DEFA1"
"chr3p21","1/282",0.508794885695565,0.635993607119457,0,0,1.42849880165589,0.96525138053763,"SLC25A20"
"chr17p13","1/328",0.562998943528309,0.653574893261736,0,0,1.22467702677401,0.703549430141157,"VMO1"
"chr17q21","1/354",0.59099565787923,0.653574893261736,0,0,1.13297103543967,0.595882273818865,"GFAP"
"chr11q13","1/364",0.601288901800798,0.653574893261736,0,0,1.10119750379491,0.560156879867711,"CD248"
"chr11p15","1/473",0.698260313698867,0.72735449343632,0,0,0.842182635766171,0.302481097598183,"ODF3"
"chr1p36","1/573",0.766652445301006,0.766652445301006,0,0,0.691380048522906,0.183714692564577,"ZNF683"
