"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Pyrogastrone BOSS","2/30",0.00254787716679663,0.32727711842618,0,0,29.6458333333333,177.059583946499,"SLC25A20;GFAP"
"IBMX BOSS","2/37",0.00385763159243922,0.32727711842618,0,0,23.7083333333333,131.763848285721,"SLC25A20;GFAP"
"Pilocarpine hydrochloride BOSS","2/38",0.0040654672914765,0.32727711842618,0,0,23.0486111111111,126.887826699285,"SLC25A20;GFAP"
"ACRYLAMIDE CTD 00007343","2/42",0.00494759245378356,0.32727711842618,0,0,20.7395833333333,110.103423954597,"KCNQ5;GFAP"
"Toluidine Blue O BOSS","2/45",0.00566179132667696,0.32727711842618,0,0,19.2897286821705,99.8053445449333,"SLC25A20;GFAP"
"LITHIUM CHLORIDE BOSS","2/45",0.00566179132667696,0.32727711842618,0,0,19.2897286821705,99.8053445449333,"SLC25A20;GFAP"
"Tarichatoxin BOSS","2/45",0.00566179132667696,0.32727711842618,0,0,19.2897286821705,99.8053445449333,"SLC25A20;GFAP"
"isoflurane BOSS","2/52",0.00749948183046907,0.32727711842618,0,0,16.5833333333333,81.1409457224491,"SLC25A20;GFAP"
"(+)-MK-801 hydrogen maleate BOSS","2/53",0.00778121248393933,0.32727711842618,0,0,16.2573529411765,78.9464066826998,"SLC25A20;GFAP"
"morphine BOSS","3/172",0.00911156113502346,0.32727711842618,0,0,7.47110663477276,35.1008369979217,"B3GAT1;SLC25A20;GFAP"
"MPTP BOSS","2/61",0.0102031878981959,0.32727711842618,0,0,14.0473163841808,64.407719185876,"SLC25A20;GFAP"
"taurine BOSS","2/61",0.0102031878981959,0.32727711842618,0,0,14.0473163841808,64.407719185876,"SLC25A20;GFAP"
"DL-Methamphetamine BOSS","2/62",0.0105265894654257,0.32727711842618,0,0,13.8125,62.9000654557375,"SLC25A20;GFAP"
"beta-carotene BOSS","2/63",0.0108545013893802,0.32727711842618,0,0,13.5853825136612,61.4490681271471,"SLC25A20;DEFA1"
"MINOCYCLINE HYDROCHLORIDE BOSS","2/64",0.0111869000374275,0.32727711842618,0,0,13.3655913978495,60.0517601954299,"SLC25A20;GFAP"
"Naloxone hydrochloride BOSS","2/65",0.0115237618661232,0.32727711842618,0,0,13.1527777777778,58.7053734368926,"SLC25A20;GFAP"
"formaldehyde BOSS","3/191",0.0120928119559139,0.32727711842618,0,0,6.70959710276143,29.6238377672791,"B3GAT1;SLC25A20;GFAP"
"creatine BOSS","2/67",0.0122107813021151,0.32727711842618,0,0,12.7467948717949,56.1551890663507,"SLC25A20;GFAP"
"cyclosporin A BOSS","3/192",0.0122634491357898,0.32727711842618,0,0,6.67375886524823,29.3720940731518,"B3GAT1;SLC25A20;GFAP"
"diazepam BOSS","3/193",0.0124354733598914,0.32727711842618,0,0,6.63829787234043,29.1235546030305,"B3GAT1;SLC25A20;GFAP"
"Capsaicin BOSS","3/202",0.014046391755272,0.32727711842618,0,0,6.33518657115364,27.0220397430238,"B3GAT1;SLC25A20;GFAP"
"N-methyl-D-aspartic acid BOSS","3/203",0.0142323787832345,0.32727711842618,0,0,6.3031914893617,26.8026559637133,"B3GAT1;SLC25A20;GFAP"
"kainic acid BOSS","2/76",0.0155171628224907,0.32727711842618,0,0,11.1914414414414,46.6214028774471,"SLC25A20;GFAP"
"haloperidol BOSS","2/80",0.0170965192165364,0.32727711842618,0,0,10.6153846153846,43.1927303021483,"SLC25A20;GFAP"
"MANGANESE BOSS","2/82",0.0179108739546234,0.32727711842618,0,0,10.3489583333333,41.6271042692115,"SLC25A20;GFAP"
"dextroamphetamine BOSS","2/90",0.0213286953840062,0.32727711842618,0,0,9.40435606060606,36.1851587936506,"SLC25A20;GFAP"
"33258 Hoechst BOSS","2/99",0.0254700751762328,0.32727711842618,0,0,8.52792096219931,31.2996107672048,"SLC25A20;GFAP"
"myo-inositol BOSS","2/101",0.0264315192050236,0.32727711842618,0,0,8.35479797979798,30.3546359095748,"SLC25A20;GFAP"
"ALUMINUM CHLORIDE CTD 00000571","1/11",0.0271653448579924,0.32727711842618,0,0,40.6938775510204,146.734521000359,"GFAP"
"ammonia CTD 00005384","1/12",0.0295987615689071,0.32727711842618,0,0,36.9925788497217,130.214719406514,"GFAP"
"CHOLINE HYDROXIDE BOSS","2/108",0.0299104769216571,0.32727711842618,0,0,7.80031446540881,27.3755660286593,"SLC25A20;GFAP"
"SODIUM BICARBONATE BOSS","2/108",0.0299104769216571,0.32727711842618,0,0,7.80031446540881,27.3755660286593,"SLC4A10;SLC25A20"
"thymidine BOSS","2/111",0.0314544847807964,0.32727711842618,0,0,7.58448012232416,26.2363375894409,"SLC25A20;GFAP"
"THALLIUM CTD 00006859","1/14",0.0344477141698712,0.32727711842618,0,0,31.298273155416,105.422368949113,"KCNQ5"
"Ethylene dimethacrylate BOSS","2/118",0.0351769550093682,0.32727711842618,0,0,7.1242816091954,23.8475644827565,"SLC25A20;GFAP"
"INDOMETHACIN SODIUM BOSS","2/119",0.0357221395623332,0.32727711842618,0,0,7.06303418803419,23.5339213317228,"SLC25A20;GFAP"
"FLUOXETINE HYDROCHLORIDE BOSS","2/126",0.0396295625933463,0.32727711842618,0,0,6.6619623655914,21.5060130637939,"SLC25A20;GFAP"
"caffeine BOSS","2/127",0.0402005574491777,0.32727711842618,0,0,6.60833333333333,21.2383534360897,"SLC25A20;GFAP"
"lorazepam BOSS","2/129",0.0413519534712599,0.32727711842618,0,0,6.50360892388451,20.7181282222583,"SLC25A20;DEFA1"
"Docosahexaenoic acid BOSS","2/131",0.0425157677463691,0.32727711842618,0,0,6.40213178294574,20.2171656180829,"SLC25A20;GFAP"
"abacavir CTD 00003464","1/18",0.0440744949316927,0.32727711842618,0,0,23.9291716686675,74.7038591145848,"GFAP"
"Adenosine triphosphate BOSS","2/134",0.0442844516217813,0.32727711842618,0,0,6.25568181818182,19.4997211854931,"SLC25A20;GFAP"
"methylprednisolone CTD 00006322","1/20",0.0488525499820278,0.32727711842618,0,0,21.4081632653061,64.6301466936404,"GFAP"
"AFLATOXIN G1 BOSS","1/20",0.0488525499820278,0.32727711842618,0,0,21.4081632653061,64.6301466936404,"SLC25A20"
"sulpiride BOSS","1/20",0.0488525499820278,0.32727711842618,0,0,21.4081632653061,64.6301466936404,"SLC25A20"
"Congo red BOSS","1/20",0.0488525499820278,0.32727711842618,0,0,21.4081632653061,64.6301466936404,"SLC25A20"
"nicardipine BOSS","1/20",0.0488525499820278,0.32727711842618,0,0,21.4081632653061,64.6301466936404,"SLC25A20"
"Deacetylchitin BOSS","2/143",0.0497512691479658,0.32727711842618,0,0,5.85372340425532,17.5653808263976,"SLC25A20;GFAP"
"Decitabine BOSS","2/144",0.0503731921946642,0.32727711842618,0,0,5.81220657276995,17.3685945029882,"SLC25A20;GFAP"
"ryanodine BOSS","1/21",0.0512327930672156,0.32727711842618,0,0,20.3367346938776,60.4280744540867,"SLC25A20"
"3-methylcholanthrene BOSS","1/21",0.0512327930672156,0.32727711842618,0,0,20.3367346938776,60.4280744540867,"SLC25A20"
"kynurenic acid BOSS","1/21",0.0512327930672156,0.32727711842618,0,0,20.3367346938776,60.4280744540867,"SLC25A20"
"Corynanthin BOSS","1/21",0.0512327930672156,0.32727711842618,0,0,20.3367346938776,60.4280744540867,"SLC25A20"
"pyrazole BOSS","1/22",0.0536071985992548,0.32727711842618,0,0,19.3673469387755,56.6702499978695,"SLC25A20"
"lamotrigine BOSS","1/22",0.0536071985992548,0.32727711842618,0,0,19.3673469387755,56.6702499978695,"SLC25A20"
"chenodeoxycholic acid BOSS","1/22",0.0536071985992548,0.32727711842618,0,0,19.3673469387755,56.6702499978695,"SLC25A20"
"lomustine MCF7 DOWN","1/22",0.0536071985992548,0.32727711842618,0,0,19.3673469387755,56.6702499978695,"MPPED2"
"4-aminopyridine BOSS","1/23",0.0559757805878795,0.32727711842618,0,0,18.4860853432282,53.2923554931915,"SLC25A20"
"Tetraethylammonium hydroxide BOSS","1/23",0.0559757805878795,0.32727711842618,0,0,18.4860853432282,53.2923554931915,"SLC25A20"
"flufenamic acid BOSS","1/23",0.0559757805878795,0.32727711842618,0,0,18.4860853432282,53.2923554931915,"SLC25A20"
"oseltamivir BOSS","1/23",0.0559757805878795,0.32727711842618,0,0,18.4860853432282,53.2923554931915,"SLC25A20"
"carisoprodol BOSS","2/156",0.058052477548913,0.32727711842618,0,0,5.35606060606061,15.2455331800914,"SLC25A20;GFAP"
"Adenylyl sulfate BOSS","1/24",0.05833855301301,0.32727711842618,0,0,17.681455190772,50.2417155506286,"DEFA1"
"amiodarone BOSS","1/24",0.05833855301301,0.32727711842618,0,0,17.681455190772,50.2417155506286,"SLC25A20"
"inositol 1-phosphate BOSS","1/24",0.05833855301301,0.32727711842618,0,0,17.681455190772,50.2417155506286,"SLC25A20"
"Nitro-L-arginine BOSS","1/24",0.05833855301301,0.32727711842618,0,0,17.681455190772,50.2417155506286,"SLC25A20"
"rolipram BOSS","1/24",0.05833855301301,0.32727711842618,0,0,17.681455190772,50.2417155506286,"SLC25A20"
"nimodipine BOSS","1/24",0.05833855301301,0.32727711842618,0,0,17.681455190772,50.2417155506286,"SLC25A20"
"papaverine HL60 UP","1/24",0.05833855301301,0.32727711842618,0,0,17.681455190772,50.2417155506286,"BEX1"
"putrescine BOSS","1/25",0.0606955298241754,0.32727711842618,0,0,16.9438775510204,47.4748002047703,"SLC25A20"
"ganciclovir BOSS","1/25",0.0606955298241754,0.32727711842618,0,0,16.9438775510204,47.4748002047703,"GFAP"
"cytochalasin D BOSS","1/25",0.0606955298241754,0.32727711842618,0,0,16.9438775510204,47.4748002047703,"SLC25A20"
"Spermine tetrahydrochloride BOSS","1/25",0.0606955298241754,0.32727711842618,0,0,16.9438775510204,47.4748002047703,"SLC25A20"
"CALCIUM CARBONATE BOSS","1/25",0.0606955298241754,0.32727711842618,0,0,16.9438775510204,47.4748002047703,"SLC25A20"
"Enkephalin BOSS","1/25",0.0606955298241754,0.32727711842618,0,0,16.9438775510204,47.4748002047703,"SLC25A20"
"nitroglycerin BOSS","2/162",0.0620359971863136,0.32727711842618,0,0,5.15364583333333,14.327343946786,"SLC25A20;GFAP"
"parthenolide MCF7 DOWN","2/162",0.0620359971863136,0.32727711842618,0,0,5.15364583333333,14.327343946786,"F8A2;MPPED2"
"ammonia BOSS","2/163",0.0627088733106241,0.32727711842618,0,0,5.1213768115942,14.1823846235064,"SLC25A20;GFAP"
"Wogonin CTD 00003053","1/26",0.0630467249540435,0.32727711842618,0,0,16.265306122449,44.9553406480956,"GFAP"
"Fluor BOSS","1/26",0.0630467249540435,0.32727711842618,0,0,16.265306122449,44.9553406480956,"SLC25A20"
"ACRYLIC ACID BOSS","1/26",0.0630467249540435,0.32727711842618,0,0,16.265306122449,44.9553406480956,"SLC25A20"
"Rhodamine 123 BOSS","1/26",0.0630467249540435,0.32727711842618,0,0,16.265306122449,44.9553406480956,"SLC25A20"
"DEXMEDETOMIDINE BOSS","1/27",0.0653921522588676,0.32727711842618,0,0,15.6389324960754,42.6528898315632,"SLC25A20"
"Tween 60 BOSS","1/27",0.0653921522588676,0.32727711842618,0,0,15.6389324960754,42.6528898315632,"SLC25A20"
"DL-METHIONINE BOSS","2/167",0.0654253696190186,0.32727711842618,0,0,4.99621212121212,13.6238969463534,"SLC25A20;GFAP"
"GLYCOGEN BOSS","2/167",0.0654253696190186,0.32727711842618,0,0,4.99621212121212,13.6238969463534,"SLC25A20;GFAP"
"Estrone sulfate BOSS","2/167",0.0654253696190186,0.32727711842618,0,0,4.99621212121212,13.6238969463534,"SLC25A20;GFAP"
"forskolin BOSS","2/168",0.0661106611264017,0.32727711842618,0,0,4.96586345381526,13.4893969101837,"SLC25A20;GFAP"
"MEMANTINE HYDROCHLORIDE BOSS","1/28",0.0677318256109869,0.32727711842618,0,0,15.0589569160998,40.5417104352724,"SLC25A20"
"L-aspartic acid BOSS","2/173",0.0695733267379958,0.32727711842618,0,0,4.81944444444444,12.8456220208568,"SLC25A20;GFAP"
"diazoxide BOSS","1/29",0.0700657588372089,0.32727711842618,0,0,14.5204081632653,38.5999069065122,"SLC25A20"
"dimethyl sulfoxide BOSS","2/177",0.0723859658020668,0.32727711842618,0,0,4.70833333333333,12.362872542539,"SLC25A20;GFAP"
"chlorophyllin CTD 00000324","1/30",0.0723939657090184,0.32727711842618,0,0,14.0190007037298,36.8087414767415,"BEX1"
"mephenesin BOSS","1/30",0.0723939657090184,0.32727711842618,0,0,14.0190007037298,36.8087414767415,"SLC25A20"
"imipramine BOSS","1/30",0.0723939657090184,0.32727711842618,0,0,14.0190007037298,36.8087414767415,"SLC25A20"
"dUTP BOSS","2/179",0.0738061123878065,0.32727711842618,0,0,4.65466101694915,12.131506903576,"SLC25A20;GFAP"
"4-aminobutyric acid BOSS","2/180",0.0745195887056104,0.32727711842618,0,0,4.62827715355805,12.0182160554013,"SLC25A20;GFAP"
"CORTICOSTERONE BOSS","2/180",0.0745195887056104,0.32727711842618,0,0,4.62827715355805,12.0182160554013,"SLC25A20;GFAP"
"AMPHETAMINE CTD 00005391","1/31",0.0747164600026276,0.32727711842618,0,0,13.5510204081633,35.1520903887112,"GFAP"
"cimetidine BOSS","1/31",0.0747164600026276,0.32727711842618,0,0,13.5510204081633,35.1520903887112,"SLC25A20"
"RHODAMINE B BOSS","1/31",0.0747164600026276,0.32727711842618,0,0,13.5510204081633,35.1520903887112,"SLC25A20"
"folic acid BOSS","2/181",0.0752353133817488,0.32727711842618,0,0,4.60218808193668,11.9064798632878,"SLC25A20;GFAP"
"maltotriose BOSS","2/182",0.0759532712589317,0.32727711842618,0,0,4.57638888888889,11.7962692332634,"B3GAT1;SLC25A20"
"PROPIDIUM BOSS","2/182",0.0759532712589317,0.32727711842618,0,0,4.57638888888889,11.7962692332634,"SLC25A20;GFAP"
"withaferin A MCF7 DOWN","1/32",0.0770332554327669,0.32727711842618,0,0,13.1132323897301,33.6160080774025,"MPPED2"
"Econazole nitrate BOSS","1/32",0.0770332554327669,0.32727711842618,0,0,13.1132323897301,33.6160080774025,"SLC25A20"
"Melatonin BOSS","2/184",0.0773958262599824,0.32727711842618,0,0,4.52564102564103,11.5803117399732,"SLC25A20;GFAP"
"sucrose BOSS","2/185",0.078120393358315,0.32727711842618,0,0,4.50068306010929,11.4745100841243,"SLC25A20;GFAP"
"IRON BOSS","2/185",0.078120393358315,0.32727711842618,0,0,4.50068306010929,11.4745100841243,"SLC25A20;GFAP"
"lactic acid BOSS","2/186",0.0788471335909125,0.32727711842618,0,0,4.47599637681159,11.37012436769,"SLC25A20;GFAP"
