"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"COG-N-305","1/259",0.47927476916415,0.731086414385602,0,0,1.55766492643569,1.14563329298746,"SLC25A20"
"YAMATO","1/263",0.484530717210336,0.731086414385602,0,0,1.53357220750896,1.11118723855502,"LRRN3"
"FaDu","1/280",0.5062944242283,0.731086414385602,0,0,1.43888523151196,0.979358401920689,"FSCN2"
"KE-97","1/294",0.523539103789389,0.731086414385602,0,0,1.36915790206868,0.886041711599059,"KCNQ5"
"RT-112","1/301",0.531938672165118,0.731086414385602,0,0,1.33673469387755,0.843783129758679,"FSCN2"
"KYSE-70","1/315",0.54830476678739,0.731086414385602,0,0,1.27622513973742,0.766914319511552,"GFAP"
"NCI-H2030","1/322",0.556276169304976,0.731086414385602,0,0,1.24794964714858,0.731910488568141,"FSCN2"
"BT-12","1/322",0.556276169304976,0.731086414385602,0,0,1.24794964714858,0.731910488568141,"FSCN2"
"T98G","1/322",0.556276169304976,0.731086414385602,0,0,1.24794964714858,0.731910488568141,"GPT2"
"LN-308","1/325",0.559650129228813,0.731086414385602,0,0,1.23620559334845,0.717547451549197,"FSCN2"
"RT-4","1/326",0.56076918556683,0.731086414385602,0,0,1.23233908948195,0.712841483922016,"FSCN2"
"GSS","1/332",0.567425231284358,0.731086414385602,0,0,1.20963068006659,0.685432736340371,"GPT2"
"127399","1/337",0.572896342969226,0.731086414385602,0,0,1.19132653061224,0.663629016851603,"ODF3"
"S-117","1/337",0.572896342969226,0.731086414385602,0,0,1.19132653061224,0.663629016851603,"FSCN2"
"SiMa","1/338",0.573982399068948,0.731086414385602,0,0,1.18773087870163,0.659376573118813,"VMO1"
"Caki-1","1/339",0.575065748627272,0.731086414385602,0,0,1.18415650283782,0.655159333216886,"SLC25A20"
"CHP-212","1/348",0.584695183442782,0.731086414385602,0,0,1.15291419161324,0.618728258252597,"FSCN2"
"IA-LM","1/348",0.584695183442782,0.731086414385602,0,0,1.15291419161324,0.618728258252597,"GFAP"
"EM-2","1/348",0.584695183442782,0.731086414385602,0,0,1.15291419161324,0.618728258252597,"FSCN2"
"EFE-184","1/353",0.589952122944251,0.731086414385602,0,0,1.13624768089054,0.599613687012169,"GFAP"
"TC71","1/355",0.592036590164234,0.731086414385602,0,0,1.12971290211,0.592180634341829,"VMO1"
"HCC2935","1/364",0.601288901800798,0.731086414385602,0,0,1.10119750379491,0.560156879867711,"VMO1"
"RCC10RGB","1/365",0.602304153957088,0.731086414385602,0,0,1.09811616954474,0.556736906014936,"VMO1"
"JR","1/374",0.611328151501036,0.731086414385602,0,0,1.07112764676916,0.527124827626644,"FSCN2"
"KLE","1/382",0.619180808395142,0.731086414385602,0,0,1.04820825968183,0.502466963981558,"FSCN2"
"NCI-H1573","1/383",0.620151391355709,0.731086414385602,0,0,1.04541083449086,0.499488568735223,"PIK3R3"
"AU565","1/385",0.622085290082628,0.731086414385602,0,0,1.03985969387755,0.493598596017106,"FSCN2"
"SNU-216","1/390",0.626877920962629,0.731086414385602,0,0,1.02623157232044,0.479253695768922,"FSCN2"
"IST-Mes1","1/395",0.631610973118096,0.731086414385602,0,0,1.01294934217342,0.465431607988598,"FSCN2"
"BICR 16","1/395",0.631610973118096,0.731086414385602,0,0,1.01294934217342,0.465431607988598,"CD248"
"MSTO-211H","1/396",0.632550498109552,0.731086414385602,0,0,1.01033324722294,0.462727800521696,"GPT2"
"NCI-H1437","1/403",0.639061740509424,0.731086414385602,0,0,0.992385013706975,0.444344566594207,"FSCN2"
"WM1799","1/406",0.641817533535822,0.731086414385602,0,0,0.984882842025699,0.436747509046946,"CD248"
"Fu97","1/429",0.662271183985793,0.731086414385602,0,0,0.930860194545108,0.38358902111077,"FSCN2"
"PE/CA-PJ15","1/437",0.669113600184839,0.731086414385602,0,0,0.913405729264183,0.367007725734126,"FSCN2"
"SR","1/441",0.672483674962659,0.731086414385602,0,0,0.904916512059369,0.359050459737472,"SLC25A20"
"HCC1143","1/444",0.674989133664981,0.731086414385602,0,0,0.898650205002994,0.353222269213374,"FSCN2"
"CCK-81","1/444",0.674989133664981,0.731086414385602,0,0,0.898650205002994,0.353222269213374,"FSCN2"
"NH-6","1/449",0.679123219490792,0.731086414385602,0,0,0.888392857142857,0.343766011074968,"POLR3G"
"KMS-20","1/452",0.681578888158884,0.731086414385602,0,0,0.882347617539255,0.338242027947724,"ZNF683"
"SK-BR-3","1/484",0.706653258759705,0.731086414385602,0,0,0.822537710736469,0.28559757404025,"FSCN2"
"NCI-H1703","1/494",0.714084404748727,0.731086414385602,0,0,0.805439417146169,0.271235033834702,"SLC25A20"
"EoL-1","1/625",0.795953764720719,0.795953764720719,0,0,0.632064364207221,0.144246050171678,"KCNQ5"
