"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"NCI-H358","1/86",0.194045512854838,0.841218856748263,0,0,4.76950780312125,7.82038330328814,"POLR3G"
"LCLC-97TM1","1/150",0.31399898455863,0.841218856748263,0,0,2.71209423366662,3.14159646617035,"PIK3R3"
"HCC1954","1/178",0.360802714392248,0.841218856748263,0,0,2.2798339674853,2.32411738851616,"POLR3G"
"SU.86.86","1/178",0.360802714392248,0.841218856748263,0,0,2.2798339674853,2.32411738851616,"POLR3G"
"MCF-7","1/184",0.370417160319637,0.841218856748263,0,0,2.20441619270659,2.18926181923924,"POLR3G"
"HuP-T4","1/194",0.386127214456092,0.841218856748263,0,0,2.08914031934017,1.98800167857261,"POLR3G"
"Hs 578T","1/212",0.413442906637355,0.841218856748263,0,0,1.90917883741174,1.68625518845188,"POLR3G"
"T-47D","1/239",0.452197036013547,0.841218856748263,0,0,1.69027611044418,1.34146612418044,"POLR3G"
"Panc 08.13","1/258",0.477952597537146,0.841218856748263,0,0,1.56380528865243,1.15446943324466,"POLR3G"
"OSC-19","1/276",0.50125602230015,0.841218856748263,0,0,1.46011131725417,1.00840877732729,"PIK3R3"
"LS411N","1/282",0.508794885695565,0.841218856748263,0,0,1.42849880165589,0.96525138053763,"POLR3G"
"C2BBe1","1/304",0.535493904063742,0.841218856748263,0,0,1.32329763588604,0.826486410593103,"POLR3G"
"TE-10","1/320",0.55401280174368,0.841218856748263,0,0,1.25590173373425,0.741694727873147,"PIK3R3"
"HCC1143","1/325",0.559650129228813,0.841218856748263,0,0,1.23620559334845,0.717547451549197,"POLR3G"
"BB30-HNC","1/361",0.59822788134879,0.841218856748263,0,0,1.11054421768707,0.570579322977747,"POLR3G"
"DiFi","1/367",0.604327063752277,0.841218856748263,0,0,1.09200401472064,0.549976608579642,"POLR3G"
"MDA-MB-436","1/393",0.629724855125968,0.841218856748263,0,0,1.01822157434402,0.470899266156558,"POLR3G"
"LoVo","1/403",0.639061740509424,0.841218856748263,0,0,0.992385013706975,0.444344566594207,"POLR3G"
"Capan-1","1/443",0.674156074968493,0.841218856748263,0,0,0.900729522578262,0.35515191278288,"POLR3G"
"SU-DHL-10","1/459",0.687237380911419,0.841218856748263,0,0,0.868550040103378,0.325771852570402,"KCNQ5"
"MDA-MB-361","1/507",0.723469625200406,0.841218856748263,0,0,0.784221989190933,0.253850083244541,"POLR3G"
"FaDu","1/513",0.727698785994957,0.841218856748263,0,0,0.774792729591837,0.246281871083158,"POLR3G"
"KP-1N","1/526",0.736645693377885,0.841218856748263,0,0,0.755102040816326,0.230795612870316,"POLR3G"
"A2780","1/527",0.73732185869132,0.841218856748263,0,0,0.753627686816171,0.229653543399674,"POLR3G"
"JHU-029","1/589",0.776081884283039,0.841218856748263,0,0,0.67201166180758,0.17035310378916,"POLR3G"
"Ca9-22","1/590",0.77665866186046,0.841218856748263,0,0,0.67083607636603,0.169556721519755,"POLR3G"
"HCT 15","1/594",0.778951247750902,0.841218856748263,0,0,0.666173383349967,0.166414653256203,"POLR3G"
"SU-DHL-8","1/605",0.785137599631712,0.841218856748263,0,0,0.653669414785782,0.158120206588218,"KCNQ5"
"SU-DHL-5","1/810",0.873779827167149,0.903910166034981,0,0,0.482858656441563,0.065150597054358,"KCNQ5"
"SJNB-7","1/995",0.922284549743067,0.922284549743067,0,0,0.389192296636965,0.0314862330977784,"POLR3G"
