"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"SLC26A4 PAEP positive cells in Adrenal","2/119",0.0357221395623332,0.397128097830055,0,0,7.06303418803419,23.5339213317228,"ZNF683;VMO1"
"Lymphatic endothelial cells in Muscle","2/122",0.0373773734873947,0.397128097830055,0,0,6.88541666666667,22.6302283456875,"SNTG2;KLHL4"
"SATB2 LRRC7 positive cells in Heart","2/129",0.0413519534712599,0.397128097830055,0,0,6.50360892388451,20.7181282222583,"B3GAT1;SLC4A10"
"Vascular endothelial cells in Heart","1/21",0.0512327930672156,0.397128097830055,0,0,20.3367346938776,60.4280744540867,"TMC1"
"Lymphoid cells in Placenta","2/153",0.0560960059757508,0.397128097830055,0,0,5.46330022075055,15.7380779389942,"ZNF683;KCNQ5"
"Schwann cells in Muscle","2/179",0.0738061123878065,0.397128097830055,0,0,4.65466101694915,12.131506903576,"BEX1;B3GAT1"
"Lymphoid cells in Muscle","2/193",0.0839939213384512,0.397128097830055,0,0,4.31042757417103,10.6769758597733,"KCNQ5;SLC25A20"
"Parietal and chief cells in Stomach","1/41",0.0976302146847682,0.397128097830055,0,0,10.1581632653061,23.6336602002892,"GPT2"
"Lymphatic endothelial cells in Stomach","1/42",0.0998907694703361,0.397128097830055,0,0,9.90990542558487,22.8292310643337,"KLHL4"
"SLC24A4 PEX5L positive cells in Cerebellum","1/47",0.111110560303655,0.397128097830055,0,0,8.83052351375333,19.4026870705364,"KCNQ5"
"Stromal cells in Stomach","1/51",0.119987608922091,0.397128097830055,0,0,8.12244897959184,17.2225711551973,"CD248"
"Vascular endothelial cells in Spleen","1/52",0.122193260870786,0.397128097830055,0,0,7.96278511404562,16.7389797330337,"KLHL4"
"Lymphoid cells in Kidney","2/260",0.137682173443293,0.405064872617753,0,0,3.18023255813953,6.30578846239396,"LRRN3;KCNQ5"
"Lymphatic endothelial cells in Lung","1/63",0.146100703414545,0.405064872617753,0,0,6.54641211323239,12.5917562502396,"KLHL4"
"Visceral neurons in Lung","2/281",0.155794181776059,0.405064872617753,0,0,2.93772401433692,5.46187374495145,"B3GAT1;GFAP"
"Vascular endothelial cells in Muscle","1/78",0.177676125437979,0.424816378110939,0,0,5.26716141001855,9.10056411919043,"TMC1"
"Astrocytes in Eye","1/85",0.192016936645131,0.424816378110939,0,0,4.8265306122449,7.96460422141435,"GFAP"
"ENS glia in Pancreas","1/87",0.196069097589664,0.424816378110939,0,0,4.71381110583768,7.6801565438185,"POLR3G"
"Vascular endothelial cells in Placenta","1/105",0.231653661546854,0.451707697037519,0,0,3.89442700156986,5.69564568108454,"CACHD1"
"Mesothelial cells in Pancreas","1/109",0.239349173739861,0.451707697037519,0,0,3.74943310657596,5.36105874493243,"VMO1"
"Ductal cells in Pancreas","1/120",0.260124462166282,0.451707697037519,0,0,3.40096038415366,4.57971645890887,"GFAP"
"IGFBP1 DKK1 positive cells in Placenta","1/123",0.265693266376988,0.451707697037519,0,0,3.31682837069254,4.39616667672928,"CD248"
"Lymphoid cells in Liver","1/124",0.267540390273413,0.451707697037519,0,0,3.28969636635142,4.33741443316037,"SLC4A10"
"Vascular endothelial cells in Liver","1/136",0.289353816496661,0.451707697037519,0,0,2.99546485260771,3.71469112422295,"KLHL4"
"Stromal cells in Adrenal","1/145",0.305294838614257,0.451707697037519,0,0,2.80697278911565,3.33040945482965,"CD248"
"Astrocytes in Cerebellum","1/149",0.312266749015163,0.451707697037519,0,0,2.73055708769994,3.17808854519388,"GFAP"
"Lymphoid cells in Lung","1/150",0.31399898455863,0.451707697037519,0,0,2.71209423366662,3.14159646617035,"ZNF683"
"Lymphoid cells in Intestine","1/156",0.324302961975654,0.451707697037519,0,0,2.60631994733377,2.93491729206467,"SLC4A10"
"Astrocytes in Cerebrum","1/190",0.379889840431448,0.49393482153067,0,0,2.13378684807256,2.06523673047369,"GFAP"
"Vascular endothelial cells in Cerebrum","2/536",0.389033499519454,0.49393482153067,0,0,1.51498127340824,1.43027840082858,"TMEM37;CD248"
"Myeloid cells in Intestine","1/220",0.425197438825499,0.49393482153067,0,0,1.83869164103998,1.57245213627394,"VMO1"
"Squamous epithelial cells in Lung","1/229",0.438145462697151,0.49393482153067,0,0,1.76530612244898,1.45673823329454,"TMC1"
"Vascular endothelial cells in Cerebellum","2/597",0.442358708842654,0.49393482153067,0,0,1.35539215686275,1.10550415359691,"TMEM37;CD248"
"Vascular endothelial cells in Thymus","1/234",0.445214845304906,0.49393482153067,0,0,1.72698607339932,1.39747422042903,"SNTG2"
"Skeletal muscle cells in Muscle","1/240",0.453583104140978,0.49393482153067,0,0,1.68311843565878,1.33063434586448,"VMO1"
"AFP ALB positive cells in Placenta","1/251",0.468604830682944,0.49393482153067,0,0,1.60816326530612,1.21898042864121,"BEX1"
"AFP ALB positive cells in Spleen","1/251",0.468604830682944,0.49393482153067,0,0,1.60816326530612,1.21898042864121,"BEX1"
"CSH1 CSH2 positive cells in Adrenal","1/272",0.496167240511591,0.508794885695565,0,0,1.4819640033135,1.0386229578079,"TMC1"
"Stromal cells in Thymus","1/282",0.508794885695565,0.508794885695565,0,0,1.42849880165589,0.96525138053763,"CD248"
