"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"GSE114192 Diabetes Romania Hs WholeBlood Up","5/189",0.000107260514148874,0.0244553972259434,0,0,11.9359903381643,109.097935341534,"LRRN3;SLC4A10;CACHD1;POLR3G;CD248"
"GSE114192 IntermedHyperglycemia SouthAfrica Hs Blood Dn","4/152",0.000562749382905727,0.0641534296512528,0,0,11.6345475910693,87.0575520636564,"ZNF683;SNTG2;TBC1D3K;ADAMTS6"
"GSE157585 Metformin NoResisTrain Hs Muscle Up","4/181",0.00107991303044152,0.0820733903135557,0,0,9.71407516580693,66.3556309490099,"ZNF683;VMO1;FGFBP2;BEX1"
"GSE131320 IL-1OE 24Hr Hs Islet Up","4/211",0.00189696333270754,0.10812690996433,0,0,8.29363579080025,51.9803699266812,"SNTG2;TBC1D3K;KCNQ5;FSCN2"
"GSE134846 mTUGUBX-Cter Mm Muscle Up","3/152",0.006496107775646,0.296222514569458,0,0,8.48250749678709,42.722590820514,"TMEM37;SLC4A10;FSCN2"
"GSE149294 DOXY tet-shRSPO3 Hs AbdomnAdipocyte Dn","3/166",0.00827158982204913,0.311705346442788,0,0,7.74846625766871,37.1533420679593,"TBC1D3K;BEX1;FSCN2"
"GSE114192 Healthy-vs-Diabetes Hs Blood Up","3/179",0.0101526469873867,0.311705346442788,0,0,7.17142166344294,32.9169747482087,"LRRN3;B3GAT1;CACHD1"
"GSE131320 BacteroidesDorei 6Hr Hs Islet Up","3/184",0.010937029699747,0.311705346442788,0,0,6.9715528388386,31.4807511595636,"TBC1D3K;CD248;KLHL4"
"GSE153222 FatDiet 24Wks Mm Islet Up","3/202",0.014046391755272,0.32877076719265,0,0,6.33518657115364,27.0220397430238,"LRRN3;B3GAT1;GFAP"
"GSE138252 NoAtrialFib-AtrialFib Hs LAtrium Up","3/204",0.0144197704909057,0.32877076719265,0,0,6.27151476659257,26.5859235772233,"TMEM37;TBC1D3K;CD248"
"GSE149468 Fasting-12Hrs Mm SubcutWAT Dn","3/227",0.0191201861591873,0.396309313117701,0,0,5.62101063829787,22.2423988754576,"BEX1;SLC4A10;GFAP"
"GSE140230 CtrlPBS-vs-Tacrolimus Hs Islet Dn","2/110",0.0309363405009925,0.42030766986149,0,0,7.65509259259259,26.607752397672,"TBC1D3K;TBC1D3G"
"GSE125856 NoCAD-vs-CAD Obese Hs Adipose Up","2/125",0.0390617280151274,0.42030766986149,0,0,6.71646341463415,21.7788856348453,"BEX1;DEFA1"
"GSE142025 EarlyDiabetNephropathy Hs Kidney Dn","2/132",0.0431022856735813,0.42030766986149,0,0,6.3525641025641,19.9736002445273,"TMC1;TBC1D3K"
"GSE120290 Aged24Months Mm Chip Muscle Dn","2/133",0.0436918530405431,0.42030766986149,0,0,6.30375318066158,19.7344895117421,"BEX1;SLC4A10"
"GSE149468 Fasting-2Hrs Mm OlfactoryBulb Up","2/133",0.0436918530405431,0.42030766986149,0,0,6.30375318066158,19.7344895117421,"VMO1;ODF3"
"GSE108971 Diabetic Hs SubcutaneousAdipose Up","2/133",0.0436918530405431,0.42030766986149,0,0,6.30375318066158,19.7344895117421,"VMO1;TBC1D3K"
"GSE157585 Metformin NoResTrain Hs Muscle Dn","2/138",0.0466847958252425,0.42030766986149,0,0,6.07046568627451,18.6019510223216,"TBC1D3K;DEFA1"
"GSE101657 ControlDiet-vs-FatDiet Mm Liver Up","2/138",0.0466847958252425,0.42030766986149,0,0,6.07046568627451,18.6019510223216,"MPPED2;GFAP"
"GSE149468 Fasting-18Hrs Mm OlfactoryBulb Up","2/149",0.0535249876216423,0.42030766986149,0,0,5.61309523809524,16.4329350907777,"VMO1;ADAMTS6"
"GSE149468 Fasting-12Hrs Mm Brainstem Dn","2/150",0.0541636617411515,0.42030766986149,0,0,5.57488738738739,16.2549502648754,"TMC1;VMO1"
"GSE107894 Metformin Visit2 Hs Muscle Up","2/155",0.0573976675935088,0.42030766986149,0,0,5.39133986928105,15.4071101954935,"VMO1;SNTG2"
"GSE127251 Ucp1-KO 20DegC Mm InguinalWAT Up","2/156",0.058052477548913,0.42030766986149,0,0,5.35606060606061,15.2455331800914,"SNTG2;B3GAT1"
"GSE101657 KetogenicDiet Mm Liver Up","2/157",0.058709917979055,0.42030766986149,0,0,5.32123655913978,15.0864857701522,"MPPED2;GFAP"
