"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Mixed Salivary Gland Tumor","3/105",0.00230378922188763,0.372730609512199,0,0,12.4205256570713,75.4323367172406,"B3GAT1;DEFA1;GFAP"
"Nodular Sclerosis Classical Hodgkin Lymphoma","2/46",0.00590974224361543,0.372730609512199,0,0,18.8503787878788,96.7241788394836,"TMC1;B3GAT1"
"Caries (morphologic abnormality)","2/56",0.00865466854352143,0.372730609512199,0,0,15.3518518518519,72.9160212099228,"MPPED2;GFAP"
"Aura","2/61",0.0102031878981959,0.372730609512199,0,0,14.0473163841808,64.407719185876,"SLC4A10;GFAP"
"Awakening Epilepsy","2/61",0.0102031878981959,0.372730609512199,0,0,14.0473163841808,64.407719185876,"SLC4A10;GFAP"
"Leukemia, Large Granular Lymphocytic","2/61",0.0102031878981959,0.372730609512199,0,0,14.0473163841808,64.407719185876,"B3GAT1;PIK3R3"
"Epilepsy, Cryptogenic","2/63",0.0108545013893802,0.372730609512199,0,0,13.5853825136612,61.4490681271471,"SLC4A10;GFAP"
"Respiratory Tract Infections","2/70",0.013274200561286,0.372730609512199,0,0,12.1825980392157,52.6523717000347,"CD248;DEFA1"
"Cortisone reductase deficiency","1/6",0.0149082847993736,0.372730609512199,0,0,81.4081632653061,342.389562344484,"RNU1-1"
"Dicarboxylic aciduria","1/6",0.0149082847993736,0.372730609512199,0,0,81.4081632653061,342.389562344484,"SLC25A20"
"Cerebrovascular Occlusion","1/6",0.0149082847993736,0.372730609512199,0,0,81.4081632653061,342.389562344484,"GFAP"
"Missed heartbeat","1/7",0.017371741450284,0.372730609512199,0,0,67.8367346938775,274.936210768444,"SLC25A20"
"Bulbar signs","1/7",0.017371741450284,0.372730609512199,0,0,67.8367346938775,274.936210768444,"GFAP"
"Intraspinal Neoplasm","1/7",0.017371741450284,0.372730609512199,0,0,67.8367346938775,274.936210768444,"GFAP"
"GIANT AXONAL NEUROPATHY 1","1/7",0.017371741450284,0.372730609512199,0,0,67.8367346938775,274.936210768444,"GFAP"
"Spinal Neoplasms","1/7",0.017371741450284,0.372730609512199,0,0,67.8367346938775,274.936210768444,"GFAP"
"Lymphomatoid Granulomatosis","1/8",0.0198291614511851,0.372730609512199,0,0,58.1428571428571,227.954980151296,"B3GAT1"
"Felty Syndrome","1/8",0.0198291614511851,0.372730609512199,0,0,58.1428571428571,227.954980151296,"B3GAT1"
"Epilepsy, Frontal Lobe","1/8",0.0198291614511851,0.372730609512199,0,0,58.1428571428571,227.954980151296,"SLC4A10"
"Carnitine palmitoyl transferase 2 deficiency","1/8",0.0198291614511851,0.372730609512199,0,0,58.1428571428571,227.954980151296,"SLC25A20"
"Postoperative Nausea and Vomiting","1/8",0.0198291614511851,0.372730609512199,0,0,58.1428571428571,227.954980151296,"B3GAT1"
"Alzheimer Disease 12","1/8",0.0198291614511851,0.372730609512199,0,0,58.1428571428571,227.954980151296,"RNU1-1"
"Supratentorial Neoplasms","1/8",0.0198291614511851,0.372730609512199,0,0,58.1428571428571,227.954980151296,"GFAP"
"Lown-Ganong-Levine Syndrome","1/8",0.0198291614511851,0.372730609512199,0,0,58.1428571428571,227.954980151296,"B3GAT1"
"Encephalopathies","3/234",0.020700251677503,0.372730609512199,0,0,5.44874274661509,21.1280962038901,"GPT2;SLC25A20;GFAP"
"Undifferentiated Neuroblastoma","1/9",0.0222805591236868,0.372730609512199,0,0,50.8724489795918,193.520869933163,"B3GAT1"
"Fatal Familial Insomnia","1/9",0.0222805591236868,0.372730609512199,0,0,50.8724489795918,193.520869933163,"GFAP"
"Fetal Diseases","1/9",0.0222805591236868,0.372730609512199,0,0,50.8724489795918,193.520869933163,"DEFA1"
"Peroxisome Biogenesis Disorder, Complementation Group C","1/9",0.0222805591236868,0.372730609512199,0,0,50.8724489795918,193.520869933163,"SLC25A20"
"Toxoplasmosis, Cerebral","1/10",0.0247259488172581,0.372730609512199,0,0,45.2176870748299,167.301012082339,"GFAP"
"Infections specific to perinatal period","1/10",0.0247259488172581,0.372730609512199,0,0,45.2176870748299,167.301012082339,"GFAP"
"WAGR Syndrome","1/10",0.0247259488172581,0.372730609512199,0,0,45.2176870748299,167.301012082339,"MPPED2"
"Carnitine deficiency","1/10",0.0247259488172581,0.372730609512199,0,0,45.2176870748299,167.301012082339,"SLC25A20"
"Premature ventricular contractions","1/10",0.0247259488172581,0.372730609512199,0,0,45.2176870748299,167.301012082339,"SLC25A20"
"Hereditary nephritis","1/10",0.0247259488172581,0.372730609512199,0,0,45.2176870748299,167.301012082339,"B3GAT1"
"Depressive episode, unspecified","1/11",0.0271653448579924,0.372730609512199,0,0,40.6938775510204,146.734521000359,"GFAP"
"SCHIZOPHRENIA 10","1/11",0.0271653448579924,0.372730609512199,0,0,40.6938775510204,146.734521000359,"GRAMD4"
"Severe sensorineural hearing impairment","1/11",0.0271653448579924,0.372730609512199,0,0,40.6938775510204,146.734521000359,"TMC1"
"Adenolymphoma","1/11",0.0271653448579924,0.372730609512199,0,0,40.6938775510204,146.734521000359,"DEFA1"
"Atrioventricular nodal disease","1/12",0.0295987615689071,0.372730609512199,0,0,36.9925788497217,130.214719406514,"SLC25A20"
"Abdominal Neoplasms","1/12",0.0295987615689071,0.372730609512199,0,0,36.9925788497217,130.214719406514,"CD248"
"Trigeminal Neuralgia, Idiopathic","1/13",0.032026213248763,0.372730609512199,0,0,33.9081632653061,116.684789992962,"GFAP"
"Cerebral Amyloid Angiopathy, Hereditary","1/13",0.032026213248763,0.372730609512199,0,0,33.9081632653061,116.684789992962,"GFAP"
"Ceroid lipofuscinosis, neuronal 1, infantile","1/13",0.032026213248763,0.372730609512199,0,0,33.9081632653061,116.684789992962,"GFAP"
"Secondary Trigeminal Neuralgia","1/13",0.032026213248763,0.372730609512199,0,0,33.9081632653061,116.684789992962,"GFAP"
"Spinal Cord Neoplasms","1/13",0.032026213248763,0.372730609512199,0,0,33.9081632653061,116.684789992962,"GFAP"
"MYOPATHY, MYOFIBRILLAR, DESMIN-RELATED","1/13",0.032026213248763,0.372730609512199,0,0,33.9081632653061,116.684789992962,"GFAP"
"Cardiopulmonary Arrest","1/14",0.0344477141698712,0.387280360002452,0,0,31.298273155416,105.422368949113,"SLC25A20"
"Hypoketotic hypoglycemia","1/15",0.0368632785936063,0.387280360002452,0,0,29.0612244897959,95.9177159613371,"SLC25A20"
"Phobic anxiety disorder","1/15",0.0368632785936063,0.387280360002452,0,0,29.0612244897959,95.9177159613371,"SLC25A20"
"Diffuse Intrinsic Pontine Glioma","1/15",0.0368632785936063,0.387280360002452,0,0,29.0612244897959,95.9177159613371,"GFAP"
"Pseudotumor Cerebri","1/15",0.0368632785936063,0.387280360002452,0,0,29.0612244897959,95.9177159613371,"RNU1-1"
"Pleomorphic Xanthoastrocytoma","1/16",0.0392729207344652,0.387280360002452,0,0,27.1224489795918,87.8013353011642,"GFAP"
"Ependymoma","2/128",0.0407746939326369,0.387280360002452,0,0,6.55555555555556,20.9757693964965,"BEX1;GFAP"
"Myoepithelioma","1/17",0.0416766547912335,0.387280360002452,0,0,25.4260204081633,80.799167280865,"GFAP"
"Osteofibrous Dysplasia","1/18",0.0440744949316927,0.387280360002452,0,0,23.9291716686675,74.7038591145848,"B3GAT1"
"Alexander Disease","1/18",0.0440744949316927,0.387280360002452,0,0,23.9291716686675,74.7038591145848,"GFAP"
"Chorioretinal atrophy","1/18",0.0440744949316927,0.387280360002452,0,0,23.9291716686675,74.7038591145848,"FSCN2"
"Filariasis","1/19",0.0464664552952436,0.387280360002452,0,0,22.5986394557823,69.3557808280063,"GPT2"
"CADASIL Syndrome","1/19",0.0464664552952436,0.387280360002452,0,0,22.5986394557823,69.3557808280063,"GFAP"
"Amyloid angiopathy","1/19",0.0464664552952436,0.387280360002452,0,0,22.5986394557823,69.3557808280063,"GFAP"
"Pseudolymphoma","1/19",0.0464664552952436,0.387280360002452,0,0,22.5986394557823,69.3557808280063,"B3GAT1"
"Anti-Glomerular Basement Membrane Disease","1/19",0.0464664552952436,0.387280360002452,0,0,22.5986394557823,69.3557808280063,"B3GAT1"
"Autoimmune liver disease","1/20",0.0488525499820278,0.387280360002452,0,0,21.4081632653061,64.6301466936404,"B3GAT1"
"Bone spicule pigmentation of the retina","1/20",0.0488525499820278,0.387280360002452,0,0,21.4081632653061,64.6301466936404,"FSCN2"
"Filarial Elephantiases","1/20",0.0488525499820278,0.387280360002452,0,0,21.4081632653061,64.6301466936404,"GPT2"
"Infantile neuronal ceroid lipofuscinosis","1/20",0.0488525499820278,0.387280360002452,0,0,21.4081632653061,64.6301466936404,"GFAP"
"Infantile Refsum Disease (disorder)","1/20",0.0488525499820278,0.387280360002452,0,0,21.4081632653061,64.6301466936404,"SLC25A20"
