"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"asthma DOID-2841 human GSE43696 sample 828","4/369",0.0134735676296637,0.652705468981266,0,0,4.66587254318046,20.0960318654859,"VMO1;FGFBP2;BEX1;B3GAT1"
"non-systemic juvenile idiopathic arthritis (sJIA) (subgroup-psoriatic) DOID-848 human GSE21521 sample 580","3/262",0.0277222522618539,0.652705468981266,0,0,4.85278895917194,17.39977117753,"ZNF683;MPPED2;SLC25A20"
"Septic Shock C0036983 human GSE9692 sample 307","2/106",0.0288986461861609,0.652705468981266,0,0,7.95112179487179,28.1784618081057,"FGFBP2;LRRN3"
"ulcerative colitis DOID-8577 human GSE11223 sample 590","3/271",0.0302176031237121,0.652705468981266,0,0,4.68767862813592,16.4037374516666,"ZNF683;ADAMTS6;GFAP"
"Diabetes and Obesity DOID-9970 mouse GSE54917 sample 807","3/282",0.0334241265314082,0.652705468981266,0,0,4.50034317089911,15.2943140568908,"TMEM37;MPPED2;CD248"
"asthma DOID-2841 human GSE31773 sample 712","3/286",0.0346326750027729,0.652705468981266,0,0,4.43583189233892,14.917514922024,"TMC1;FGFBP2;LRRN3"
"asthma DOID-2841 human GSE31773 sample 713","3/294",0.0371174880671299,0.652705468981266,0,0,4.31212985303795,14.2027199862239,"TMC1;FGFBP2;LRRN3"
"type 2 diabetes mellitus DOID-9352 mouse GSE54917 sample 614","3/304",0.0403497304039582,0.652705468981266,0,0,4.16674913409203,13.3759754250305,"TMEM37;MPPED2;CD248"
"Leber congenital amaurosis C0339527 mouse GSE3249 sample 213","3/309",0.0420180828041023,0.652705468981266,0,0,4.09762202753442,12.9880490098283,"SNTG2;FSCN2;KLHL4"
"bipolar disorder DOID-3312 human GSE46449 sample 570","3/312",0.0430357081323282,0.652705468981266,0,0,4.05721958273084,12.7628974216826,"LRRN3;CD248;SLC25A20"
"Asthma DOID-2841 human GSE43696 sample 635","3/314",0.0437210227299662,0.652705468981266,0,0,4.03071765752206,12.6158488946812,"BEX1;B3GAT1;KLHL4"
"asthma DOID-2841 human GSE43696 sample 829","3/324",0.0472298957024214,0.652705468981266,0,0,3.90316166235832,11.9152916889838,"BEX1;B3GAT1;KLHL4"
"asthma DOID-2841 human GSE31773 sample 714","3/328",0.0486716039595096,0.652705468981266,0,0,3.85433715220949,11.6503488088084,"VMO1;FGFBP2;LRRN3"
"hepatocellular carcinoma DOID-684 human GSE58208 sample 735","2/145",0.0509979504142339,0.652705468981266,0,0,5.7712703962704,17.1751266090537,"ZNF683;LRRN3"
"Bipolar Disorder C0005586 human GSE5388 sample 107","3/341",0.053505979160736,0.652705468981266,0,0,3.70363842376936,10.8441120899194,"BEX1;LRRN3;B3GAT1"
"Papillary Carcinoma of the Thyroid C0238463 human GSE3467 sample 397","2/200",0.0892414542606553,0.652705468981266,0,0,4.15656565656566,10.0439652116179,"BEX1;MPPED2"
"Non-syndromic cleft lip and palate DOID-9296 human GSE42589 sample 618","3/426",0.0904177516806518,0.652705468981266,0,0,2.94658216387506,7.08156411932924,"RNU1-3;CACHD1;KCNQ5"
"non-systemic juvenile idiopathic arthritis (sJIA) (subgroup-RF+ polyarthritis) DOID-848 human GSE21521 sample 579","2/241",0.121751562386738,0.652705468981266,0,0,3.43636680613668,7.23620735379199,"ZNF683;FGFBP2"
"Pompe disease, infantile-onset form UMLS CUI-C0342751 human GSE38680 sample 870","2/242",0.122577893374113,0.652705468981266,0,0,3.421875,7.18254500793885,"GPT2;KCNQ5"
"low-grade serous ovarian carcinomas DOID-0050933 human GSE56443 sample 755","2/259",0.136832182691782,0.652705468981266,0,0,3.1927691309987,6.35041795438335,"BEX1;MPPED2"
"schizophrenia DOID-5419 human GSE25673 sample 891","2/274",0.149703834495543,0.652705468981266,0,0,3.01439950980392,5.72463517690242,"ADAMTS6;GFAP"
"Hypoxia C0242184 human GSE4483 sample 440","2/275",0.150570795520196,0.652705468981266,0,0,3.00320512820513,5.68603404924373,"BEX1;LRRN3"
"bipolar disorder DOID-3312 human GSE12679 sample 544","2/276",0.151438803238562,0.652705468981266,0,0,2.99209245742092,5.64779495476884,"BEX1;LRRN3"
"systemic juvenile idiopathic arthritis (sJIA) (enthesitis-related) DOID-848 human GSE21521 sample 575","2/278",0.153177917407265,0.652705468981266,0,0,2.97010869565217,5.57238479762689,"MPPED2;SLC25A20"
"facioscapulohumeral muscular dystrophy DOID-11727 human GSE36398 sample 672","2/286",0.160174195271258,0.652705468981266,0,0,2.88526995305164,5.28435269021686,"GPT2;KCNQ5"
"prostate cancer DOID-10283 human GSE26910 sample 603","2/290",0.163695102832776,0.652705468981266,0,0,2.84461805555556,5.14804670267197,"TMEM37;LRRN3"
"asthma DOID-2841 human GSE31773 sample 715","2/292",0.165460972435914,0.652705468981266,0,0,2.82471264367816,5.0817143370517,"VMO1;FGFBP2"
"Down syndrome DOID-14250 human GSE42956 sample 1061","2/294",0.167230349089253,0.652705468981266,0,0,2.8050799086758,5.01655744984145,"MPPED2;KLHL4"
"schizophrenia DOID-5419 human GSE12679 sample 543","2/305",0.177021209847455,0.652705468981266,0,0,2.70173267326733,4.67801155366643,"BEX1;LRRN3"
"Williams-Beuren syndrome DOID-1928 human GSE16715 sample 903","2/310",0.181502535739734,0.652705468981266,0,0,2.65719696969697,4.53446850958879,"GPT2;ADAMTS6"
"schizophrenia DOID-5419 human GSE62105 sample 547","2/311",0.1824009659887,0.652705468981266,0,0,2.64846278317152,4.50648630114333,"ZNF683;B3GAT1"
"idiopathic pulmonary fibrosis DOID-0050156 human GSE44723 sample 850","2/312",0.183300096998915,0.652705468981266,0,0,2.63978494623656,4.47873990388767,"LRRN3;CD248"
"endometriosis DOID-289 human GSE6364 sample 945","2/318",0.188709106189803,0.652705468981266,0,0,2.58887130801688,4.31706864830785,"PIK3R3;CD248"
"systemic lupus erythematosus DOID-9074 human GSE55447 sample 1073","2/318",0.188709106189803,0.652705468981266,0,0,2.58887130801688,4.31706864830785,"ZNF683;FGFBP2"
"psoriasis DOID-8893 mouse GSE27628 sample 823","2/319",0.189612896708778,0.652705468981266,0,0,2.5805730809674,4.29090123303981,"LRRN3;CD248"
"systemic lupus erythematosus DOID-9074 human GSE55447 sample 1077","2/329",0.198684101480069,0.652705468981266,0,0,2.50038226299694,4.04071561523596,"ZNF683;FGFBP2"
"Nephrolithiasis C0392525 mouse GSE10162 sample 187","2/330",0.199594367149258,0.652705468981266,0,0,2.49263211382114,4.01679722668684,"TMEM37;SLC25A20"
"asthma DOID-2841 human GSE43696 sample 830","2/333",0.202328363867512,0.652705468981266,0,0,2.46966263846929,3.94618338644557,"BEX1;B3GAT1"
"colorectal cancer DOID-9256 human GSE32323 sample 552","2/336",0.205066989906835,0.652705468981266,0,0,2.44710578842315,3.87723986174171,"BEX1;SLC25A20"
