"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Spinal Muscular Atrophy C0026847 mouse GSE10599 sample 235","4/368",0.0133516953455868,0.683170138033338,0,0,4.67892976588629,20.1947844886885,"BEX1;B3GAT1;SLC4A10;GFAP"
"Anterior Horn Cell Disease C0154681 human GSE1481 sample 208","3/254",0.0256013613905159,0.683170138033338,0,0,5.00949393913707,18.3603450768611,"BEX1;LRRN3;GFAP"
"astrocytoma DOID-3069 human GSE15824 sample 860","3/299",0.0387161435169752,0.683170138033338,0,0,4.23821161587119,13.7805392236034,"BEX1;LRRN3;GFAP"
"renal cell carcinoma DOID-4450 human GSE38424 sample 664","3/302",0.0396921142190313,0.683170138033338,0,0,4.19504732085676,13.5357512021428,"RNU1-3;BEX1;RNVU1-18"
"polycystic ovary syndrome DOID-11612 human GSE10946 sample 825","3/320",0.0458099384745289,0.683170138033338,0,0,3.95321833680113,12.1887770963657,"LRRN3;CACHD1;KLHL4"
"psoriasis DOID-8893 human GSE61281 sample 697","3/345",0.0550388186280639,0.683170138033338,0,0,3.65957446808511,10.6117286491135,"VMO1;LRRN3;SLC4A10"
"ulcerative colitis DOID-8577 human GSE11223 sample 585","3/345",0.0550388186280639,0.683170138033338,0,0,3.65957446808511,10.6117286491135,"TMEM37;BEX1;PIK3R3"
"Diamond-Blackfan anaemia DOID-1339 human GSE14335 sample 472","3/382",0.0702002927522457,0.683170138033338,0,0,3.29607589962387,8.75570524118961,"BEX1;MPPED2;CD248"
"Type 1 diabetes mellitus C0011854 human GSE10586 sample 9","3/387",0.0723814834745949,0.683170138033338,0,0,3.25232712765957,8.53997607049439,"LRRN3;CACHD1;KCNQ5"
"inclusion body myositis DOID-3429 human GSE48280 sample 706","3/431",0.0928563632368358,0.683170138033338,0,0,2.91141379996023,6.91956143221475,"RNU1-3;PIK3R3;CD248"
"Bipolar Disorder C0005586 human GSE5389 sample 302","2/205",0.0930486614402728,0.683170138033338,0,0,4.05316091954023,9.62476838242684,"B3GAT1;GFAP"
"ulcerative colitis DOID-8577 human GSE6731 sample 759","2/216",0.101588147215522,0.683170138033338,0,0,3.84267912772586,8.78754780712842,"LRRN3;POLR3G"
"stomach cancer DOID-10534 human GSE49515 sample 553","2/247",0.12673050642414,0.683170138033338,0,0,3.35119047619048,6.92252884443093,"FGFBP2;B3GAT1"
"schizophrenia DOID-5419 human GSE21935 sample 855","2/250",0.12923841864445,0.683170138033338,0,0,3.31014784946237,6.77288151187956,"BEX1;GFAP"
"Autism DOID-0060041 human GSE25507 sample 464","2/255",0.133444511293962,0.683170138033338,0,0,3.24390645586298,6.53345316157878,"FGFBP2;SLC25A20"
"MS (Multiple Sclerosis) C0026769 mouse GSE842 sample 381","2/260",0.137682173443293,0.683170138033338,0,0,3.18023255813953,6.30578846239396,"SLC25A20;GFAP"
"systemic lupus erythematosus DOID-9074 human GSE55447 sample 1075","2/267",0.1436652916283,0.683170138033338,0,0,3.09512578616352,6.00537676449424,"LRRN3;CD248"
"West Nile fever DOID-2366 human GSE30719 sample 874","3/532",0.14750002632823,0.683170138033338,0,0,2.34336162168684,4.48502290206871,"LRRN3;PIK3R3;ADAMTS6"
"melanoma DOID-1909 human GSE6887 sample 949","2/285",0.159296282132805,0.683170138033338,0,0,2.8956124852768,5.3192094451915,"KCNQ5;ADAMTS6"
"bipolar disorder DOID-3312 human GSE46449 sample 570","2/288",0.161932817728246,0.683170138033338,0,0,2.86480186480186,5.21558303145272,"FGFBP2;BEX1"
"oligodendroglioma DOID-3181 human GSE15824 sample 859","2/290",0.163695102832776,0.683170138033338,0,0,2.84461805555556,5.14804670267197,"BEX1;LRRN3"
"Cardiomyopathy C0878544 human GSE5406 sample 88","2/291",0.16457759442045,0.683170138033338,0,0,2.834630911188,5.11473182520028,"BEX1;SLC25A20"
"morbid obesity DOID-11981 human GSE48964 sample 583","2/294",0.167230349089253,0.683170138033338,0,0,2.8050799086758,5.01655744984145,"LRRN3;KCNQ5"
"polycystic ovary syndrome DOID-11612 human GSE10946 sample 826","2/294",0.167230349089253,0.683170138033338,0,0,2.8050799086758,5.01655744984145,"MPPED2;ADAMTS6"
"astrocytoma DOID-3069 human GSE15824 sample 861","2/301",0.173449682508572,0.683170138033338,0,0,2.73843366778149,4.79737358981002,"BEX1;GFAP"
"Carcinoma, Hepatocellular C0019204 mouse GSE2127 sample 300","2/302",0.174341400018209,0.683170138033338,0,0,2.72916666666667,4.767144127674,"TMEM37;BEX1"
"schizophrenia DOID-5419 human GSE27383 sample 549","2/304",0.176127172863587,0.683170138033338,0,0,2.71081677704194,4.70746608687154,"LRRN3;CD248"
"multiple sclerosis DOID-2377 human GSE38010 sample 738","2/309",0.18060481525491,0.683170138033338,0,0,2.66598805646037,4.56268919882027,"BEX1;KCNQ5"
"multiple sclerosis DOID-2377 human GSE38010 sample 737","2/310",0.181502535739734,0.683170138033338,0,0,2.65719696969697,4.53446850958879,"BEX1;KCNQ5"
"fragile X syndrome DOID-14261 human GSE7329 sample 809","2/312",0.183300096998915,0.683170138033338,0,0,2.63978494623656,4.47873990388767,"SNTG2;BEX1"
"pancreatic cancer DOID-1793 human GSE49515 sample 555","2/312",0.183300096998915,0.683170138033338,0,0,2.63978494623656,4.47873990388767,"LRRN3;SLC4A10"
"Duchenne muscular dystrophy (DMD) C0013264 mouse GSE1026 sample 72","2/313",0.184199919987341,0.683170138033338,0,0,2.6311629153269,4.45122668341125,"TMEM37;BEX1"
"schizophrenia DOID-5419 human GSE21935 sample 854","2/314",0.185100426052456,0.683170138033338,0,0,2.62259615384615,4.42394404473709,"B3GAT1;GFAP"
"glioblastoma UMLS CUI-C0017636 human GSE15824 sample 862","2/315",0.186001606438318,0.683170138033338,0,0,2.61408413205538,4.39688942788089,"BEX1;GFAP"
"autism spectrum disorder DOID-0060041 human GSE28521 sample 1041","2/317",0.187805955213903,0.683170138033338,0,0,2.59722222222222,4.34345420043512,"CACHD1;GFAP"
"asthma DOID-2841 human GSE27011 sample 566","2/322",0.19232801954004,0.683170138033338,0,0,2.55598958333333,4.21368411554228,"FGFBP2;SLC4A10"
"diabetic retinopathy DOID-8947 mouse GSE12610 sample 911","2/322",0.19232801954004,0.683170138033338,0,0,2.55598958333333,4.21368411554228,"BEX1;FSCN2"
"Ischemic stroke UMLS CUI-C0948008 human GSE22255 sample 856","2/323",0.193234282502094,0.683170138033338,0,0,2.54789719626168,4.18836571659201,"VMO1;BEX1"
"ulcerative colitis DOID-8577 human GSE11223 sample 590","2/329",0.198684101480069,0.683170138033338,0,0,2.50038226299694,4.04071561523596,"TMEM37;GPT2"
"pancreatic cancer DOID-1793 mouse GSE47811 sample 449","2/334",0.203240735588414,0.683170138033338,0,0,2.4620983935743,3.92301922288272,"BEX1;PIK3R3"
"Infantile neuronal ceroid lipofuscinosis C0268281 mouse GSE6678 sample 141","2/338",0.206895205376955,0.683170138033338,0,0,2.43229166666667,3.83217978861486,"BEX1;GFAP"
"methylmalonic acidemia DOID-14749 mouse GSE41044 sample 476","2/344",0.21239098706632,0.683170138033338,0,0,2.38888888888889,3.70116868024614,"BEX1;SLC25A20"
"ulcerative colitis DOID-8577 human GSE11223 sample 586","2/348",0.216063498855414,0.683170138033338,0,0,2.36078998073218,3.61716212943,"PIK3R3;GFAP"
"psoriatic arthritis DOID-9008 human GSE61281 sample 696","2/349",0.216982638717552,0.683170138033338,0,0,2.35386647454371,3.59656187932603,"MED14OS;CBX3P2"
"in situ carcinoma DOID-8719 mouse GSE64756 sample 655","2/354",0.221584033159459,0.683170138033338,0,0,2.31983901515152,3.49588924316246,"BEX1;GRAMD4"
"Down Syndrome DOID-14250 human GSE23910 sample 494","2/361",0.228040587638984,0.683170138033338,0,0,2.27379294336119,3.36119269421898,"ZNF683;LRRN3"
"sickle cell anemia DOID-10923 human GSE11524 sample 481","2/371",0.237289303335131,0.683170138033338,0,0,2.2110433604336,3.18053102486219,"BEX1;PIK3R3"
"Huntington's disease DOID-12858 mouse GSE3248 sample 726","2/372",0.238215565487554,0.683170138033338,0,0,2.20495495495495,3.16318268708253,"BEX1;GFAP"
"schizophrenia DOID-5419 human GSE12679 sample 768","2/384",0.249346382004492,0.683170138033338,0,0,2.13438045375218,2.96446717289618,"B3GAT1;OGFRP1"
"facioscapulohumeral muscular dystrophy DOID-11727 human GSE36398 sample 673","2/386",0.251203870070458,0.683170138033338,0,0,2.123046875,2.93296895761052,"PIK3R3;CD248"
"asthma DOID-2841 human GSE27011 sample 565","2/392",0.256779338622601,0.683170138033338,0,0,2.08974358974359,2.84108617050365,"FGFBP2;MPPED2"
"Alzheimer's disease DOID-10652 human GSE36980 sample 521","2/419",0.281893118302133,0.683170138033338,0,0,1.95173860911271,2.47134469566164,"GPT2;GFAP"
"pulmonary sarcoidosis DOID-13406 human GSE16538 sample 916","2/423",0.285612603579759,0.683170138033338,0,0,1.93279889152811,2.42202685819369,"FGFBP2;LRRN3"
"nemaline myopathy DOID-3191 mouse GSE3384 sample 976","1/150",0.31399898455863,0.683170138033338,0,0,2.71209423366662,3.14159646617035,"SLC25A20"
"Breast Cancer C0006142 human GSE3744 sample 24","1/151",0.315726944068307,0.683170138033338,0,0,2.69387755102041,3.10571092406925,"BEX1"
"autistic disorder DOID-12849 human GSE6575 sample 1042","2/457",0.317142438192385,0.683170138033338,0,0,1.78525641025641,2.0501960920582,"FGFBP2;LRRN3"
"progressive myoclonus epilepsy DOID-891 mouse GSE47516 sample 516","2/459",0.318989999775292,0.683170138033338,0,0,1.77726112326769,2.03069060683389,"GPT2;CD248"
"breast cancer DOID-1612 human GSE3744 sample 978","1/157",0.326005481520818,0.683170138033338,0,0,2.5894819466248,2.90239775017796,"BEX1"
"Parkinson's disease DOID-14330 human GSE19587 sample 741","1/158",0.327703796855259,0.683170138033338,0,0,2.57285844274015,2.8703970097526,"GFAP"
"Nephroblastoma C0027708 human GSE2712 sample 418","1/181",0.365627787236742,0.683170138033338,0,0,2.24149659863946,2.25525812761591,"BEX1"
"papillary thyroid carcinoma DOID-3969 human GSE54958 sample 652","1/198",0.392303092169255,0.683170138033338,0,0,2.04630684761214,1.91477135590819,"PIK3R3"
"bipolar disorder DOID-3312 human GSE46449 sample 572","1/199",0.393837522527261,0.683170138033338,0,0,2.03586889301175,1.89705690654597,"VMO1"
"polycystic ovary syndrome 11612 human GSE48301 sample 468","1/203",0.399937364542896,0.683170138033338,0,0,1.99515053546171,1.82845038671487,"CACHD1"
"Ulcerative Colitis C0009324 human GSE1710 sample 264","1/203",0.399937364542896,0.683170138033338,0,0,1.99515053546171,1.82845038671487,"CACHD1"
"endometriosis DOID-289 human GSE6364 sample 947","1/209",0.408974495257817,0.683170138033338,0,0,1.93700941915228,1.73188493254959,"CD248"
