"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"In situ melanoma of skin GSE4587","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"ODF3;GFAP"
"Leber congenital amaurosis GSE3249","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SNTG2;FSCN2"
"Bipolar Disorder GSE5389","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"POLR3G;ADAMTS6"
"Papillary Carcinoma of the Thyroid GSE3678","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"CBX3P2;PIK3R3"
"Huntington's Disease GSE9857","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SNTG2"
"Huntington's Disease GSE8762","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"PIK3R3"
"Tachycardia GSE7999","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"MPPED2"
"Acute Lung Injury GSE10474","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KLHL4"
"Hypercholesteremia GSE3889","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"ODF3"
"Thrombocytopenia GSE2527","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"PIK3R3"
"Adenocarcinoma of lung GSE1037","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"BEX1"
"Type 1 diabetes mellitus GSE10586","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GFAP"
"Type 1 diabetes mellitus GSE11","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC25A20"
"Urothelial carcinoma GSE3167","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"FSCN2"
"Alzheimer's Disease GSE5281","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"B3GAT1"
"LGLL - Large granular lymphocytic leukemia GSE10631","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"CD248"
"Ventricular hypertrophy GSE4678","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"ODF3"
"Viral cardiomyopathy GSE4172","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GPT2"
"Barrett Esophagus GSE1420","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"B3GAT1"
"Bipolar Disorder GSE12649","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"LRRN3"
"MDS - Myelodysplastic syndrome GSE2779","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC25A20"
"Malignant mesothelioma of pleura GSE2549","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC25A20"
"Multiple benign melanocytic nevi GSE3189","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"BEX1"
"Muscular Dystrophy GSE3252","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC25A20"
"Cancer of thyroid GSE5364","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SLC25A20"
"Nephroblastoma GSE2712","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"CD248"
"Cardiac Hypertrophy GSE5500","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GRAMD4"
"Cardiomyopathy, Dilated GSE3586","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"TMEM37"
"Nicotine addiction GSE11208","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"BEX1"
"Dermatomyositis GSE5370","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"CD248"
"Down Syndrome GSE5390","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"ADAMTS6"
"Endometriosis GSE7305","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"KCNQ5"
"Essential Thrombocytemia GSE2006","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"B3GAT1"
"Schizophrenia GSE4036","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"BEX1"
"Septic Shock GSE9692","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"POLR3G"
"Hepatic Cirrhosis GSE6764","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"TMC1"
"Squamous cell carcinoma of lung GSE3268","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"LRRN3"
