"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"JRA - Juvenile rheumatoid arthritis GSE7753","3/300",0.0390400715124679,0.530747679484826,0,0,4.22372662798195,13.6982494892257,"TMEM37;POLR3G;KLHL4"
"Synovial sarcoma GSE6461","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"LRRN3;PIK3R3"
"Uterine leiomyoma GSE2725","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SLC25A20;KLHL4"
"Bipolar Disorder GSE5388","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SLC4A10;POLR3G"
"Cardiomyopathy GSE1869","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"B3GAT1;SLC4A10"
"Infantile neuronal ceroid lipofuscinosis GSE6678","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"BEX1;SLC25A20"
"Spinal Muscular Atrophy, Infantile GSE3075","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"BEX1;GPT2"
"Squamous cell carcinoma of lung GSE3268","2/300",0.172558756660956,0.530747679484826,0,0,2.74776286353468,4.82786738812527,"SLC4A10;POLR3G"
"Thrombocytopenia GSE2527","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"GRAMD4"
"Type 1 diabetes mellitus GSE10586","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"CACHD1"
"Adenoma GSE8514","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"MPPED2"
"Ulcerative Colitis GSE3365","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"BEX1"
"Urothelial carcinoma GSE3167","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"POLR3G"
"Alzheimer's Disease GSE5281","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"LRRN3"
"Ventricular hypertrophy GSE4678","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"SNTG2"
"Viral cardiomyopathy GSE4172","1/300",0.530747679484826,0.530747679484826,0,0,1.3412736331991,0.849654664316049,"PIK3R3"
