"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Troglitazone-100 mg/kg in Corn Oil-Rat-Liver-3d-up","1/203",0.399937364542896,0.612090087369018,0,0,1.99515053546171,1.82845038671487,"SLC25A20"
"Nimodipine-10 mg/kg in Corn Oil-Rat-Heart-0.25d-up","1/234",0.445214845304906,0.612090087369018,0,0,1.72698607339932,1.39747422042903,"SLC25A20"
"Allylamine-75 mg/kg in Water-Rat-Heart-3d-up","1/236",0.448018125342039,0.612090087369018,0,0,1.71211463308728,1.37469380180475,"SLC25A20"
"Allyl Alcohol-25 mg/kg in Saline-Rat-Liver-1d-dn","1/239",0.452197036013547,0.612090087369018,0,0,1.69027611044418,1.34146612418044,"SLC25A20"
"Pramoxine-526 mg/kg in Corn Oil-Rat-Heart-3d-dn","1/248",0.464548611566443,0.612090087369018,0,0,1.62794348508634,1.24812648094044,"SLC25A20"
"Oxybutynin-230 mg/kg in Water-Rat-Heart-3d-dn","1/250",0.467256114895877,0.612090087369018,0,0,1.61470371281043,1.22859212104529,"SLC25A20"
"Diethylstilbestrol-2.8 mg/kg in Corn Oil-Rat-Kidney-3d-up","1/252",0.469950200110314,0.612090087369018,0,0,1.60167493292138,1.2094704650298,"SLC25A20"
"Clarithromycin-56 mg/kg in Water-Rat-Liver-3d-dn","1/253",0.471292231295038,0.612090087369018,0,0,1.5952380952381,1.20006081491862,"SLC25A20"
"Methotrexate-0.3 mg/kg in Corn Oil-Rat-Liver-3d-dn","1/256",0.475298376767612,0.612090087369018,0,0,1.57623049219688,1.17241995959444,"SLC25A20"
"Diethylstilbestrol-2.8 mg/kg in Corn Oil-Rat-Liver-3d-dn","1/257",0.476627136056757,0.612090087369018,0,0,1.56999362244898,1.16339789742223,"SLC25A20"
"Oxiconazole-1500 mg/kg in Corn Oil-Rat-Liver-3d-up","1/257",0.476627136056757,0.612090087369018,0,0,1.56999362244898,1.16339789742223,"SLC25A20"
"Crotamiton-750 mg/kg in Corn Oil-Rat-Liver-3d-up","1/258",0.477952597537146,0.612090087369018,0,0,1.56380528865243,1.15446943324466,"SLC25A20"
"Bisphenol A-100 mg/kg in Corn Oil-Rat-Liver-3d-up","1/258",0.477952597537146,0.612090087369018,0,0,1.56380528865243,1.15446943324466,"SLC25A20"
"Doxazosin-5 mg/kg in Water-Rat-Heart-1d-up","1/259",0.47927476916415,0.612090087369018,0,0,1.55766492643569,1.14563329298746,"SLC25A20"
"Fluphenazine-2.5 mg/kg in Corn Oil-Rat-Liver-1d-dn","1/259",0.47927476916415,0.612090087369018,0,0,1.55766492643569,1.14563329298746,"SLC25A20"
"Gentian Violet-18 mg/kg in Corn Oil-Rat-Liver-3d-up","1/259",0.47927476916415,0.612090087369018,0,0,1.55766492643569,1.14563329298746,"SLC25A20"
"Prednisolone-184 mg/kg in Water-Rat-Heart-3d-up","1/260",0.48059365901365,0.612090087369018,0,0,1.55157198014341,1.13688822393882,"SLC25A20"
"Ibufenac-500 mg/kg in Corn Oil-Rat-Liver-3d-up","1/260",0.48059365901365,0.612090087369018,0,0,1.55157198014341,1.13688822393882,"SLC25A20"
"Clofibrate-130 mg/kg in Corn Oil-Rat-Liver-0.25d-up","1/261",0.481909274952171,0.612090087369018,0,0,1.54552590266876,1.12823299537026,"SLC25A20"
"Dexfenfluramine-29 mg/kg in Water-Rat-Heart-5d-up","1/261",0.481909274952171,0.612090087369018,0,0,1.54552590266876,1.12823299537026,"SLC25A20"
"Vincristine-0.05 mg/kg in Saline-Rat-Heart-3d-dn","1/261",0.481909274952171,0.612090087369018,0,0,1.54552590266876,1.12823299537026,"SLC25A20"
"Salicylic Acid-223 mg/kg in Corn Oil-Rat-Liver-5d-up","1/262",0.48322162506876,0.612090087369018,0,0,1.5395261552897,1.11966639669925,"SLC25A20"
"Pioglitazone-1500 mg/kg in Corn Oil-Rat-Liver-3d-dn","1/262",0.48322162506876,0.612090087369018,0,0,1.5395261552897,1.11966639669925,"SLC25A20"
"Prochlorperazine-85 mg/kg in CMC-Rat-Heart-3d-up","1/264",0.485836559369382,0.612090087369018,0,0,1.52766353689765,1.10279435111613,"SLC25A20"
"Cytarabine-23 mg/kg in Saline-Rat-Liver-1d-dn","1/264",0.485836559369382,0.612090087369018,0,0,1.52766353689765,1.10279435111613,"SLC25A20"
"Doxorubicin-4 mg/kg in Saline-Rat-Heart-28d-dn","1/264",0.485836559369382,0.612090087369018,0,0,1.52766353689765,1.10279435111613,"SLC25A20"
"Amiodarone-147 mg/kg in CMC-Rat-Heart-1d-up","1/265",0.48713915938983,0.612090087369018,0,0,1.52179962894249,1.09448658463646,"SLC25A20"
"Aspirin-167 mg/kg in Corn Oil-Rat-Liver-1d-up","1/265",0.48713915938983,0.612090087369018,0,0,1.52179962894249,1.09448658463646,"SLC25A20"
"Neostigmine Bromide-11 mg/kg in Water-Rat-Liver-0.25d-dn","1/265",0.48713915938983,0.612090087369018,0,0,1.52179962894249,1.09448658463646,"SLC25A20"
"Nisoldipine-1125 mg/kg in Water-Rat-Liver-5d-dn","1/265",0.48713915938983,0.612090087369018,0,0,1.52179962894249,1.09448658463646,"SLC25A20"
"Methyldopa-325 mg/kg in Water-Rat-Heart-5d-up","1/266",0.488438525228419,0.612090087369018,0,0,1.51597997689642,1.08626280822072,"SLC25A20"
"Pralidoxime Chloride-48 mg/kg in Saline-Rat-Heart-1d-up","1/267",0.489734664628703,0.612090087369018,0,0,1.51020408163265,1.07812191045261,"SLC25A20"
"4-Nonylphenol-200 mg/kg in Corn Oil-Rat-Liver-5d-up","1/267",0.489734664628703,0.612090087369018,0,0,1.51020408163265,1.07812191045261,"SLC25A20"
"Gentian Violet-18 mg/kg in Corn Oil-Rat-Liver-1d-up","1/267",0.489734664628703,0.612090087369018,0,0,1.51020408163265,1.07812191045261,"SLC25A20"
"Tamoxifen-64 mg/kg in Corn Oil-Rat-Heart-5d-up","1/268",0.491027585552224,0.612090087369018,0,0,1.50447145150195,1.07006279767312,"SLC25A20"
"Ethosuximide-1200 mg/kg in Water-Rat-Heart-5d-up","1/268",0.491027585552224,0.612090087369018,0,0,1.50447145150195,1.07006279767312,"SLC25A20"
"Cisapride-250 mg/kg in Corn Oil-Rat-Heart-5d-up","1/269",0.492317295836087,0.612090087369018,0,0,1.49878160219312,1.06208439467443,"SLC25A20"
"Dicyclomine-645 mg/kg in Water-Rat-Heart-3d-up","1/269",0.492317295836087,0.612090087369018,0,0,1.49878160219312,1.06208439467443,"SLC25A20"
"Diethylstilbestrol-280 mg/kg in Corn Oil-Rat-Liver-3d-up","1/269",0.492317295836087,0.612090087369018,0,0,1.49878160219312,1.06208439467443,"SLC25A20"
"Enoxacin-100 mg/kg in Corn Oil-Rat-Liver-0.25d-up","1/269",0.492317295836087,0.612090087369018,0,0,1.49878160219312,1.06208439467443,"SLC25A20"
"Beta-Estradiol-0.3 mg/kg in Corn Oil-Rat-Liver-3d-dn","1/269",0.492317295836087,0.612090087369018,0,0,1.49878160219312,1.06208439467443,"SLC25A20"
"Clofibrate-500 mg/kg in Corn Oil-Rat-Liver-0.25d-up","1/270",0.493603803187409,0.612090087369018,0,0,1.49313405659662,1.05418564434286,"SLC25A20"
"Altretamine-13 mg/kg in Corn Oil-Rat-Liver-0.25d-dn","1/270",0.493603803187409,0.612090087369018,0,0,1.49313405659662,1.05418564434286,"SLC25A20"
"Altretamine-40 mg/kg in Corn Oil-Rat-Liver-5d-dn","1/270",0.493603803187409,0.612090087369018,0,0,1.49313405659662,1.05418564434286,"SLC25A20"
"Bezafibrate-100 mg/kg in Corn Oil-Rat-Liver-0.25d-up","1/270",0.493603803187409,0.612090087369018,0,0,1.49313405659662,1.05418564434286,"SLC25A20"
"Nizatidine-1653 mg/kg in Corn Oil-Rat-Heart-3d-dn","1/270",0.493603803187409,0.612090087369018,0,0,1.49313405659662,1.05418564434286,"SLC25A20"
"Zirconium(IV) Chloride-633 mg/kg in Corn Oil-Rat-Liver-3d-up","1/271",0.494887115497965,0.612090087369018,0,0,1.4875283446712,1.04636550634774,"SLC25A20"
"Dexamethasone-1 mg/kg in Corn Oil-Rat-Liver-5d-up","1/272",0.496167240511591,0.612090087369018,0,0,1.4819640033135,1.0386229578079,"SLC25A20"
"Sulindac-132 mg/kg in Corn Oil-Rat-Heart-5d-up","1/272",0.496167240511591,0.612090087369018,0,0,1.4819640033135,1.0386229578079,"SLC25A20"
"Enoxacin-750 mg/kg in Corn Oil-Rat-Liver-3d-up","1/272",0.496167240511591,0.612090087369018,0,0,1.4819640033135,1.0386229578079,"SLC25A20"
"Nizatidine-1653 mg/kg in Corn Oil-Rat-Heart-5d-dn","1/272",0.496167240511591,0.612090087369018,0,0,1.4819640033135,1.0386229578079,"SLC25A20"
"Ofloxacin-3000 mg/kg in Water-Rat-Heart-5d-up","1/272",0.496167240511591,0.612090087369018,0,0,1.4819640033135,1.0386229578079,"SLC25A20"
"Zomepirac-2.8 mg/kg in Saline-Rat-Liver-1d-dn","1/272",0.496167240511591,0.612090087369018,0,0,1.4819640033135,1.0386229578079,"SLC25A20"
"Dexfenfluramine-29 mg/kg in Water-Rat-Heart-1d-up","1/273",0.497444185998806,0.612090087369018,0,0,1.47644057623049,1.03095699242274,"SLC25A20"
"Mebendazole-714 mg/kg in Corn Oil-Rat-Liver-3d-up","1/273",0.497444185998806,0.612090087369018,0,0,1.47644057623049,1.03095699242274,"SLC25A20"
"Fluvastatin-94 mg/kg in Corn Oil-Rat-Liver-5d-up","1/273",0.497444185998806,0.612090087369018,0,0,1.47644057623049,1.03095699242274,"SLC25A20"
"Glipizide-2500 mg/kg in CMC-Rat-Liver-0.25d-dn","1/273",0.497444185998806,0.612090087369018,0,0,1.47644057623049,1.03095699242274,"SLC25A20"
"Clofibric Acid-448 mg/kg in Corn Oil-Rat-Heart-1d-up","1/274",0.498717959606668,0.612090087369018,0,0,1.47095761381476,1.02336662058896,"SLC25A20"
"Rofecoxib-3 mg/kg in Corn Oil-Rat-Liver-3d-dn","1/274",0.498717959606668,0.612090087369018,0,0,1.47095761381476,1.02336662058896,"SLC25A20"
"Fenofibrate-250 uM in DMSO-Rat-Primary rat hepatocytes-0.67d-up","1/274",0.498717959606668,0.612090087369018,0,0,1.47095761381476,1.02336662058896,"SLC25A20"
"Aconitine-0.9 mg/kg in CMC-Rat-Heart-5d-up","1/275",0.499988569155524,0.612090087369018,0,0,1.46551467302249,1.01585086819837,"SLC25A20"
"Alendronic Acid-138 mg/kg in CMC-Rat-Heart-1d-up","1/275",0.499988569155524,0.612090087369018,0,0,1.46551467302249,1.01585086819837,"SLC25A20"
"Salicylic Acid-223 mg/kg in Corn Oil-Rat-Liver-1d-dn","1/275",0.499988569155524,0.612090087369018,0,0,1.46551467302249,1.01585086819837,"SLC25A20"
"Diclofenac-3.5 mg/kg in Corn Oil-Rat-Kidney-5d-up","1/275",0.499988569155524,0.612090087369018,0,0,1.46551467302249,1.01585086819837,"SLC25A20"
"Methotrexate-27 mg/kg in Corn Oil-Rat-Liver-1d-up","1/275",0.499988569155524,0.612090087369018,0,0,1.46551467302249,1.01585086819837,"SLC25A20"
"Norethindrone-375 mg/kg in Corn Oil-Rat-Liver-3d-up","1/275",0.499988569155524,0.612090087369018,0,0,1.46551467302249,1.01585086819837,"SLC25A20"
"Gemfibrozil-700 mg/kg in Corn Oil-Rat-Liver-3d-up","1/275",0.499988569155524,0.612090087369018,0,0,1.46551467302249,1.01585086819837,"SLC25A20"
"Cerivastatin-7 mg/kg in Corn Oil-Rat-Skeletal muscle-3d-up","1/275",0.499988569155524,0.612090087369018,0,0,1.46551467302249,1.01585086819837,"SLC25A20"
"Hydralazine-280 mg/kg in Water-Rat-Heart-5d-up","1/275",0.499988569155524,0.612090087369018,0,0,1.46551467302249,1.01585086819837,"SLC25A20"
"Chlorpyrifos-82 mg/kg in CMC-Rat-Heart-5d-up","1/275",0.499988569155524,0.612090087369018,0,0,1.46551467302249,1.01585086819837,"SLC25A20"
"Isotretinoin-13 mg/kg in Corn Oil-Rat-Liver-0.25d-up","1/276",0.50125602230015,0.612090087369018,0,0,1.46011131725417,1.00840877732729,"SLC25A20"
"Tamoxifen-64 mg/kg in Corn Oil-Rat-Liver-3d-dn","1/276",0.50125602230015,0.612090087369018,0,0,1.46011131725417,1.00840877732729,"SLC25A20"
"Benoxaprofen-89 mg/kg in CMC-Rat-Liver-1d-up","1/276",0.50125602230015,0.612090087369018,0,0,1.46011131725417,1.00840877732729,"SLC25A20"
"Busulfan-9 mg/kg in Corn Oil-Rat-Liver-5d-dn","1/276",0.50125602230015,0.612090087369018,0,0,1.46011131725417,1.00840877732729,"SLC25A20"
