"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"cholecalciferol homo sapiens gpl570 gse27220 chdir up","2/31",0.00271925564825044,0.445957926313072,0,0,28.6221264367816,169.082266561275,"VMO1;TMEM37"
"quetiapine mus musculus gpl1261 gse45229 chdir down","3/158",0.00722575611499955,0.592512001429963,0,0,8.15168153740563,40.1886328458707,"B3GAT1;KCNQ5;GFAP"
"doxorubicin mus musculus gpl8321 gse17115 chdir up","2/120",0.0362706169091182,0.999996396860727,0,0,7.00282485875706,23.2266005619385,"BEX1;GPT2"
"fluorouracil homo sapiens gpl550 gds848 chdir up","2/128",0.0407746939326369,0.999996396860727,0,0,6.55555555555556,20.9757693964965,"CACHD1;PIK3R3"
"rosiglitazone mus musculus gpl1261 gse11343 chdir down","3/347",0.0558131639245667,0.999996396860727,0,0,3.63792676892627,10.4981308929472,"GPT2;SLC25A20;GFAP"
"valproic acid homo sapiens gpl6244 gse23909 chdir down","2/182",0.0759532712589317,0.999996396860727,0,0,4.57638888888889,11.7962692332634,"BEX1;LRRN3"
"vorinostat homo sapiens gpl6884 gse46703 chdir down","1/36",0.0862437219743076,0.999996396860727,0,0,11.6122448979592,28.4567120450411,"DEFA1"
"cyclophosphamide homo sapiens gpl6244 gse42913 chdir up","1/43",0.102145774279416,0.999996396860727,0,0,9.6734693877551,22.0686112387857,"BEX1"
"dactinomycin homo sapiens gpl6244 gse33417 chdir down","1/47",0.111110560303655,0.999996396860727,0,0,8.83052351375333,19.4026870705364,"RNU1-1"
"candesartan rattus norvegicus gpl85 gse2739 chdir up","1/49",0.115559999022241,0.999996396860727,0,0,8.46173469387755,18.2601307935979,"GFAP"
"candesartan rattus norvegicus gpl85 gds2070 chdir up","1/50",0.117776526004041,0.999996396860727,0,0,8.28862973760933,17.7290996615035,"GFAP"
"dexamethasone homo sapiens gpl570 gse37474 chdir up","2/240",0.120926656233986,0.999996396860727,0,0,3.45098039215686,7.29044131887853,"LRRN3;ADAMTS6"
"estradiol bos taurus gpl2112 gse45857 chdir up","1/53",0.124393494912872,0.999996396860727,0,0,7.80926216640502,16.2768872389608,"SLC25A20"
"candesartan rattus norvegicus gpl341 gse4206 chdir up","1/54",0.126588324068776,0.999996396860727,0,0,7.66153253754332,15.8349703751844,"GFAP"
"sirolimus rattus norvegicus gpl6247 gse35048 chdir up","3/525",0.143415379278395,0.999996396860727,0,0,2.37564196625092,4.61352071420069,"TMEM37;BEX1;POLR3G"
"sunitinib rattus norvegicus gpl1355 gds3109 chdir up","1/64",0.14824219418026,0.999996396860727,0,0,6.4421768707483,12.2975222932606,"BEX1"
"fluoxetine mus musculus gpl1261  gds2803 chdir up","2/281",0.155794181776059,0.999996396860727,0,0,2.93772401433692,5.46187374495145,"SLC4A10;GFAP"
"fluoxetine mus musculus gds2803 chdir up","2/281",0.155794181776059,0.999996396860727,0,0,2.93772401433692,5.46187374495145,"SLC4A10;GFAP"
"fluoxetine mus musculus gpl1261 gds2803 chdir up","2/281",0.155794181776059,0.999996396860727,0,0,2.93772401433692,5.46187374495145,"SLC4A10;GFAP"
"vorinostat homo sapiens gpl6947 gse41504 chdir up","3/563",0.166040260469467,0.999996396860727,0,0,2.21010638297872,3.96830123475072,"GPT2;GRAMD4;ADAMTS6"
"fluoxetine mus musculus gpl1261 gds2803 chdir down","2/293",0.166345227200014,0.999996396860727,0,0,2.81486254295533,5.04899070528101,"BEX1;LRRN3"
"fluoxetine mus musculus gpl1261  gds2803 chdir down","2/293",0.166345227200014,0.999996396860727,0,0,2.81486254295533,5.04899070528101,"BEX1;LRRN3"
"fluoxetine mus musculus gds2803 chdir down","2/293",0.166345227200014,0.999996396860727,0,0,2.81486254295533,5.04899070528101,"BEX1;LRRN3"
"cyclosporine homo sapiens gpl4133 gse25200 chdir up","2/295",0.168116328539063,0.999996396860727,0,0,2.79536405005688,4.98441114256764,"B3GAT1;GFAP"
"fenofibrate homo sapiens gpl4044 gse15483 chdir up","2/329",0.198684101480069,0.999996396860727,0,0,2.50038226299694,4.04071561523596,"POLR3G;GFAP"
"ezetimibe mus musculus gpl2995 gse39813 chdir down","1/92",0.206112569436316,0.999996396860727,0,0,4.45368916797488,7.03385741012878,"ODF3"
"probucol mus musculus gpl9525 gds3618 chdir down","1/111",0.243168553227101,0.999996396860727,0,0,3.6808905380334,5.20478084558139,"ADAMTS6"
