"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"methotrexate DB00563 human GSE41831 sample 2601","5/321",0.00121063054975061,0.229480873357069,0,0,6.90365682137834,46.3691976407579,"ZNF683;VMO1;FGFBP2;LRRN3;SLC25A20"
"metformin DB00331 human GSE33612 sample 2483","5/343",0.00162177295658706,0.229480873357069,0,0,6.44707429322814,41.4175223241659,"LRRN3;CACHD1;PIK3R3;CD248;SLC25A20"
"angiotensin II 172198 mouse GSE29145 sample 3217","4/303",0.00688095450915109,0.649103375363253,0,0,5.7149920023266,28.4549331773278,"BEX1;GPT2;MPPED2;GRAMD4"
"Atarax DB00557 human GSE31773 sample 2485","3/286",0.0346326750027729,0.668421809289621,0,0,4.43583189233892,14.917514922024,"TMC1;FGFBP2;LRRN3"
"PLX4032 DB05238 human GSE50649 sample 2558","3/323",0.0468728629064742,0.668421809289621,0,0,3.9155585106383,11.9828478745964,"POLR3G;KCNQ5;ADAMTS6"
"quercetin DB04216 mouse GSE4262 sample 3432","3/346",0.0554253325228671,0.668421809289621,0,0,3.64871906209292,10.5547172197418,"BEX1;CACHD1;SLC25A20"
"Lipopolysaccharide 11970143 human GSE5504 sample 3485","2/172",0.0688760185279422,0.668421809289621,0,0,4.84803921568627,12.9706730592883,"GPT2;GRAMD4"
"PLX4032 DB05238 human GSE24862 sample 2567","3/393",0.0750392159664036,0.668421809289621,0,0,3.2013093289689,8.290572979547,"MPPED2;CACHD1;POLR3G"
"vitamin c DB00126 mouse GSE32994 sample 3509","2/189",0.0810402447075639,0.668421809289621,0,0,4.40352049910873,11.0652077008593,"BEX1;GPT2"
"cisplatin DB00515 human GSE47856 sample 3154","2/206",0.0938158179234975,0.668421809289621,0,0,4.03308823529412,9.54398793184306,"RNU1-3;FSCN2"
"Interferon beta-1a DB00060 human GSE26104 sample 3187","2/206",0.0938158179234975,0.668421809289621,0,0,4.03308823529412,9.54398793184306,"FGFBP2;LRRN3"
"tamoxifen DB00675 human GSE28645 sample 2496","2/214",0.100019348409027,0.668421809289621,0,0,3.87932389937107,8.93172286673583,"LRRN3;KCNQ5"
"Etanercept DB00005 human GSE36177 sample 2596","2/223",0.107133014329066,0.668421809289621,0,0,3.7196455505279,8.30851309405225,"DEFA1;GRAMD4"
"Monuron 8800 rat GSE51163 sample 2465","2/237",0.118460606502277,0.668421809289621,0,0,3.49556737588652,7.45665626680098,"SNTG2;PIK3R3"
"vitamin c DB00126 mouse GSE32994 sample 3510","2/241",0.121751562386738,0.668421809289621,0,0,3.43636680613668,7.23620735379199,"BEX1;GPT2"
"formaldehyde 712 rat GSE7002 sample 3551","2/246",0.125897228644306,0.668421809289621,0,0,3.3650956284153,6.97345183428244,"ODF3;PIK3R3"
"halothane 3562 rat GSE6433 sample 3652","2/250",0.12923841864445,0.668421809289621,0,0,3.31014784946237,6.77288151187956,"B3GAT1;GFAP"
"Monuron 8800 rat GSE51163 sample 2463","2/254",0.132600722140368,0.668421809289621,0,0,3.25694444444444,6.58037209866169,"SNTG2;PIK3R3"
"TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3316","2/259",0.136832182691782,0.668421809289621,0,0,3.1927691309987,6.35041795438335,"SNTG2;ADAMTS6"
"cisplatin DB00515 human GSE47856 sample 3145","2/267",0.1436652916283,0.668421809289621,0,0,3.09512578616352,6.00537676449424,"GPT2;SLC4A10"
"Interferon beta-1b DB00068 human GSE26104 sample 3185","2/267",0.1436652916283,0.668421809289621,0,0,3.09512578616352,6.00537676449424,"VMO1;FGFBP2"
"SB 216763 176158 human GSE19736 sample 3266","2/270",0.146246665382139,0.668421809289621,0,0,3.06001243781095,5.88275332864559,"BEX1;GPT2"
