"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Vitamin D3 DB00136 human GSE5145 sample 3170","5/292",0.000793552982965274,0.185691398013874,0,0,7.61246612466125,54.3453214348309,"LRRN3;CACHD1;PIK3R3;CD248;GRAMD4"
"PD173074 1401 human GSE52452 sample 2578","3/161",0.007608098362527,0.671656959389676,0,0,7.99569081605171,39.0073136649681,"MPPED2;PIK3R3;KLHL4"
"Y15 23627197 human GSE43452 sample 2554","4/390",0.0161992308578739,0.671656959389676,0,0,4.40729894120297,18.1703746822975,"RNU1-3;RNU1-1;RNVU1-18;GPT2"
"Etanercept DB00005 human GSE36177 sample 2597","3/221",0.0178215403858025,0.671656959389676,0,0,5.77747413624829,23.2678955525318,"ZNF683;FGFBP2;DEFA1"
"calcitriol 5280453 human GSE52819 sample 3126","3/230",0.0197887787787988,0.671656959389676,0,0,5.54588058862124,21.7544943092344,"TMC1;TMEM37;KLHL4"
"PLX4032 DB05238 human GSE24862 sample 2569","3/252",0.0250854565641033,0.671656959389676,0,0,5.05024352730069,18.6125059655105,"LRRN3;MPPED2;PIK3R3"
"doxorubicin DB00997 human GSE58074 sample 3180","3/326",0.0479480379268232,0.671656959389676,0,0,3.87859824780976,11.7817750879622,"RNU1-3;RNU1-1;RNVU1-18"
"ANGIOTENSIN II 172198 mouse GSE17901 sample 3679","3/338",0.0523702830437479,0.671656959389676,0,0,3.73737694506192,11.0230792327738,"VMO1;BEX1;CD248"
"carbidopa DB00190 mouse GSE47099 sample 3293","3/341",0.053505979160736,0.671656959389676,0,0,3.70363842376936,10.8441120899194,"TMEM37;GPT2;POLR3G"
"zinc sulfate NA rat GSE11091 sample 2840","2/152",0.0554491879134877,0.671656959389676,0,0,5.5,15.9075851587205,"BEX1;PIK3R3"
"Y15 23627197 human GSE43452 sample 2553","3/365",0.0630169902752296,0.671656959389676,0,0,3.45386152580228,9.54768522437684,"RNU1-3;RNU1-1;RNVU1-18"
"PLX4032 DB05238 human GSE24862 sample 2570","2/207",0.0945848472510804,0.671656959389676,0,0,4.01321138211382,9.46418781868154,"PIK3R3;CD248"
