"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"HEPG2 H3K27me3","1/150",0.31399898455863,0.999274166087489,0,0,2.71209423366662,3.14159646617035,"ODF3"
"SKNSHRA H3K27me3","2/504",0.360224791079516,0.999274166087489,0,0,1.61420982735724,1.64815185409695,"KCNQ5;KLHL4"
"GM12878 H3K36me3","1/187",0.375171092385506,0.999274166087489,0,0,2.16853192890059,2.1259703927866,"GRAMD4"
"PBMC H3K4me1","6/1999",0.383389696196004,0.999274166087489,0,0,1.22864115312685,1.17790235694876,"ZNF683;FGFBP2;BEX1;CACHD1;SLC25A20;ADAMTS6"
"GM06990 H3K27me3","1/205",0.40296468626852,0.999274166087489,0,0,1.97539015606242,1.79544465262223,"VMO1"
"HUVEC H3K27me3","2/587",0.433778127218645,0.999274166087489,0,0,1.3792735042735,1.15199971714104,"MPPED2;KCNQ5"
"NHEK H3K4me3","2/724",0.544848360280345,0.999274166087489,0,0,1.10964912280702,0.673831945377863,"CACHD1;KCNQ5"
"MONOCD14RO1746 H3K27me3","2/735",0.553114182955059,0.999274166087489,0,0,1.09237153251478,0.646892393202921,"BEX1;KCNQ5"
"K562 H3K4me1","5/1999",0.568545590697046,0.999274166087489,0,0,1.00055722723727,0.564988425896417,"SNTG2;GPT2;KCNQ5;GRAMD4;GFAP"
"K562B H3K4me1","5/1999",0.568545590697046,0.999274166087489,0,0,1.00055722723727,0.564988425896417,"SNTG2;GPT2;KCNQ5;GRAMD4;GFAP"
"BJ H3K27me3","1/355",0.592036590164234,0.999274166087489,0,0,1.12971290211,0.592180634341829,"MPPED2"
"NHDFNEO H3K4me3","2/823",0.615513914294558,0.999274166087489,0,0,0.970818107998376,0.471135821261669,"CBX3P2;KCNQ5"
"HRE H3K4me3","2/845",0.630068611638373,0.999274166087489,0,0,0.944395017793594,0.436241140116661,"MPPED2;KCNQ5"
"H7ES H3K4me3","6/2560",0.630884125214826,0.999274166087489,0,0,0.928810422154197,0.427840796249239,"CBX3P2;GPT2;MPPED2;CACHD1;KCNQ5;KLHL4"
"GM12878 H3K27me3","1/398",0.634422508792732,0.999274166087489,0,0,1.00514059528093,0.457379305987393,"VMO1"
"BE2C H3K4me3","2/859",0.639112925176504,0.999274166087489,0,0,0.928286658887592,0.41556991173474,"CBX3P2;KCNQ5"
"SAEC H3K27me3","1/407",0.64273154079333,0.999274166087489,0,0,0.982406755805771,0.434251443131411,"KCNQ5"
"HRE H3K27me3","2/927",0.680654746161824,0.999274166087489,0,0,0.856981981981982,0.329681038795476,"BEX1;ODF3"
"RPTEC H3K4me3","2/958",0.698299101614857,0.999274166087489,0,0,0.82784170153417,0.297284375481973,"MPPED2;KCNQ5"
"NB4 H3K4me3","2/972",0.706007328329882,0.999274166087489,0,0,0.815292096219931,0.283827361457934,"CBX3P2;KCNQ5"
"SKMC H3K4me3","2/1030",0.736257419039193,0.999274166087489,0,0,0.766942282749676,0.234818911792794,"CBX3P2;CACHD1"
"MONOCD14RO1746 H3K4me1","4/1999",0.749686438665517,0.999274166087489,0,0,0.782608695652174,0.22546975433607,"VMO1;GPT2;MPPED2;KCNQ5"
