"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"FOXA1 A549","1/48",0.113338014836913,0.999996332165117,0,0,8.64220581849761,18.8173716664144,"KLHL4"
"Eralpha T47D","2/265",0.141950012746096,0.999996332165117,0,0,3.11897972116603,6.08912268528889,"ODF3;KCNQ5"
"MAFK GM12878","1/62",0.143953936469556,0.999996332165117,0,0,6.65406490465038,12.8973205926637,"TMEM37"
"TFIIIC-110 K562","2/420",0.282823093623113,0.999996332165117,0,0,1.9469696969697,2.45889361918455,"TMEM37;SLC25A20"
"TCF12 SK-N-SH","2/493",0.350213485881432,0.999996332165117,0,0,1.65130685675492,1.7325715490469,"LRRN3;ADAMTS6"
"SUZ12 H1","1/230",0.439566365538559,0.999996332165117,0,0,1.75750824347206,1.44461302420391,"KCNQ5"
"Eralpha ECC1","2/603",0.44747434924757,0.999996332165117,0,0,1.34144481419856,1.07870415165795,"TMEM37;GPT2"
"TFIIIC-110 HELA-S3","2/632",0.471839952470478,0.999996332165117,0,0,1.27777777777778,0.959758610938425,"TMEM37;SLC25A20"
"GR ECC1","1/281",0.50754621023197,0.999996332165117,0,0,1.43367346938776,0.972270777736565,"TMEM37"
"ZNF263 K562","1/284",0.511282935047879,0.999996332165117,0,0,1.4182591764621,0.951413856955228,"TMEM37"
"RXRA HEPG2","3/1087",0.515751805623553,0.999996332165117,0,0,1.1108973855696,0.735558070509615,"TMEM37;GPT2;GFAP"
"GATA2 HUVEC","2/752",0.565687008876869,0.999996332165117,0,0,1.06666666666667,0.607695297688726,"VMO1;KLHL4"
"AP-2alpha HELA-S3","2/758",0.570065656063151,0.999996332165117,0,0,1.05787037037037,0.594527103219997,"TMEM37;FSCN2"
"E2F1 HELA-S3","3/1217",0.593782102086927,0.999996332165117,0,0,0.985102877773494,0.51347783985051,"CBX3P2;GPT2;POLR3G"
"CJUN HUVEC","1/373",0.610335480085453,0.999996332165117,0,0,1.07406188281764,0.530314301480394,"KLHL4"
"BAF170 HELA-S3","1/382",0.619180808395142,0.999996332165117,0,0,1.04820825968183,0.502466963981558,"GPT2"
"BCL11A GM12878","3/1270",0.623285747130527,0.999996332165117,0,0,0.941224873633478,0.444964249342465,"TMEM37;F8A2;TBC1D3G"
"SIN3AK20 HCT116","2/864",0.642302091641764,0.999996332165117,0,0,0.922660479505027,0.408458600244447,"CBX3P2;POLR3G"
"E2F6 HELA-S3","1/416",0.650855412766253,0.999996332165117,0,0,0.960658962380133,0.412572054279447,"POLR3G"
"TCF7L2 HEK293","2/911",0.671233622536156,0.999996332165117,0,0,0.872799779977998,0.347931186544606,"TMEM37;MPPED2"
