"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"AR CHEA","4/1095",0.292377428952696,0.999962941651692,0,0,1.50312836249153,1.84841159752162,"TMC1;SNTG2;MPPED2;B3GAT1"
"STAT3 CHEA","1/177",0.359186378521905,0.999962941651692,0,0,2.29290352504638,2.34773571036283,"SNTG2"
"NELFE ENCODE","1/234",0.445214845304906,0.999962941651692,0,0,1.72698607339932,1.39747422042903,"PIK3R3"
"NFIC ENCODE","1/279",0.505039520072624,0.999962941651692,0,0,1.44413448832771,0.986515122945121,"PIK3R3"
"EGR1 CHEA","1/315",0.54830476678739,0.999962941651692,0,0,1.27622513973742,0.766914319511552,"SNTG2"
"ZNF384 ENCODE","2/730",0.549369641191844,0.999962941651692,0,0,1.10016025641026,0.658978132446549,"SLC25A20;ADAMTS6"
"EZH2 ENCODE","1/338",0.573982399068948,0.999962941651692,0,0,1.18773087870163,0.659376573118813,"SNTG2"
"SOX2 CHEA","2/775",0.582304186206933,0.999962941651692,0,0,1.03368909012505,0.558980101309248,"GPT2;CACHD1"
"REST ENCODE","1/383",0.620151391355709,0.999962941651692,0,0,1.04541083449086,0.499488568735223,"BEX1"
"HNF4A ENCODE","3/1276",0.626536579704388,0.999962941651692,0,0,0.936487773896475,0.43785309710799,"VMO1;CBX3P2;SLC25A20"
"TP63 CHEA","3/1399",0.689074426385775,0.999962941651692,0,0,0.848350911418643,0.31593096351408,"POLR3G;GRAMD4;GFAP"
"TCF3 CHEA","2/1006",0.724065207361204,0.999962941651692,0,0,0.786271580345286,0.253866512820468,"CACHD1;ADAMTS6"
"NFE2L2 CHEA","2/1022",0.732243654891158,0.999962941651692,0,0,0.77328431372549,0.24098783803294,"GPT2;CACHD1"
"EGR1 ENCODE","1/537",0.743990621499931,0.999962941651692,0,0,0.739186719463905,0.218597359916219,"POLR3G"
"RFX5 ENCODE","1/559",0.758083263296978,0.999962941651692,0,0,0.709238534123327,0.196432160714513,"PIK3R3"
"FOS ENCODE","1/637",0.802185392725935,0.999962941651692,0,0,0.619753561802079,0.13660331278725,"PIK3R3"
"SMC3 ENCODE","2/1181",0.803082047456057,0.999962941651692,0,0,0.663379983036472,0.145478164955019,"VMO1;LRRN3"
"CHD1 ENCODE","1/655",0.811184630194866,0.999962941651692,0,0,0.602134431754353,0.126002406314785,"PIK3R3"
"RCOR1 ENCODE","1/702",0.832833546427226,0.999962941651692,0,0,0.560394771317942,0.102508241514038,"SLC25A20"
"RAD21 ENCODE","2/1265",0.833525254250769,0.999962941651692,0,0,0.616488519398258,0.112257182498514,"VMO1;LRRN3"
"SP1 ENCODE","1/707",0.834988147705434,0.999962941651692,0,0,0.556281436087183,0.100318541770142,"PIK3R3"
"REST CHEA","2/1280",0.838504555438298,0.999962941651692,0,0,0.608763693270736,0.107224754370444,"TMC1;LRRN3"
"GATA2 CHEA","1/772",0.86063939290342,0.999962941651692,0,0,0.507662987373938,0.0761899016672002,"GRAMD4"
"MAX ENCODE","3/2073",0.902860085983725,0.999962941651692,0,0,0.551341350601295,0.0563402941178696,"PIK3R3;POLR3G;ADAMTS6"
"USF2 ENCODE","1/965",0.915899009741823,0.999962941651692,0,0,0.401939198916081,0.0353100257225316,"ADAMTS6"
"E2F6 ENCODE","5/3245",0.925387785694951,0.999962941651692,0,0,0.573045267489712,0.0444353062338879,"CBX3P2;GPT2;PIK3R3;POLR3G;KCNQ5"
"SUZ12 CHEA","2/1684",0.931370461574647,0.999962941651692,0,0,0.452536662703131,0.0321745253825199,"CACHD1;KCNQ5"
"SIX5 ENCODE","1/1094",0.940165342044826,0.999962941651692,0,0,0.352092163489366,0.021723918677905,"GPT2"
"SIN3A ENCODE","1/1131",0.945754888480389,0.999962941651692,0,0,0.339895250135452,0.0189565857470651,"POLR3G"
"CTCF ENCODE","2/1790",0.945760822855822,0.999962941651692,0,0,0.423238255033557,0.0236021233246679,"VMO1;LRRN3"
"USF1 ENCODE","1/1423",0.975153104004322,0.999962941651692,0,0,0.265908895203651,0.00669047802136286,"ADAMTS6"
"CREB1 CHEA","1/1444",0.976520916826661,0.999962941651692,0,0,0.261742118884976,0.00621875945223396,"PIK3R3"
"MYC ENCODE","1/1515",0.980620863728227,0.999962941651692,0,0,0.248510500633543,0.0048631948053636,"POLR3G"
"SPI1 ENCODE","1/1540",0.981890305001454,0.999962941651692,0,0,0.244142101284958,0.00446186354466234,"KCNQ5"
"PML ENCODE","1/1596",0.984445394431424,0.999962941651692,0,0,0.234853816134604,0.00368176751238707,"PIK3R3"
"BRCA1 ENCODE","3/3218",0.991426242871507,0.999962941651692,0,0,0.33225240726647,0.00286093352082171,"CBX3P2;PIK3R3;POLR3G"
"NRF1 ENCODE","1/1882",0.992897920097692,0.999962941651692,0,0,0.19604205318491,0.00139727399581836,"ADAMTS6"
"ZBTB7A ENCODE","1/2184",0.996937365113992,0.999962941651692,0,0,0.166097955444202,0.000509477964172892,"TMEM37"
"CREB1 ENCODE","1/2238",0.997368825113335,0.999962941651692,0,0,0.161595796119073,0.000425747154096241,"CBX3P2"
"NFYA ENCODE","1/2250",0.997456279991042,0.999962941651692,0,0,0.160624676727071,0.000409104748965078,"PIK3R3"
"TAF1 ENCODE","2/3346",0.998839836843213,0.999962941651692,0,0,0.206912878787879,0.000240192056578394,"PIK3R3;POLR3G"
"ATF2 ENCODE","1/2852",0.99954564043149,0.999962941651692,0,0,0.122398871860214,5.56257366045536e-05,"ADAMTS6"
"NFYB ENCODE","1/3715",0.999962941651692,0.999962941651692,0,0,0.0892156539514029,3.30624604107635e-06,"PIK3R3"
