"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"POU5F1-16767105 DOWN","3/458",0.106491605505327,0.998632542728088,0,0,2.73486088379705,6.1252381620118,"TMEM37;PIK3R3;SLC25A20"
"KLF5-20875108 DOWN","2/238",0.119281166276902,0.998632542728088,0,0,3.4805790960452,7.40065728725666,"CACHD1;CD248"
"POU5F1-16518401 DOWN","4/957",0.216341055099506,0.998632542728088,0,0,1.73338199735389,2.65363303980597,"TMEM37;PIK3R3;SLC25A20;GRAMD4"
"PRDM14-20953172 UP","2/358",0.225271538278571,0.998632542728088,0,0,2.29330524344569,3.41805397388438,"MPPED2;CACHD1"
"NANOG-16518401 UP","1/109",0.239349173739861,0.998632542728088,0,0,3.74943310657596,5.36105874493243,"POLR3G"
"CTNNB1-19796622 UP","1/110",0.241261218690496,0.998632542728088,0,0,3.71484740685265,5.28204879592619,"LRRN3"
"SUZ12-17339329 DOWN","1/110",0.241261218690496,0.998632542728088,0,0,3.71484740685265,5.28204879592619,"SLC25A20"
"FOXP1-21924763 UP","1/117",0.254514276411869,0.998632542728088,0,0,3.48944405348346,4.77494948047232,"MPPED2"
"SOX17-20123909 UP","1/119",0.258259013032378,0.998632542728088,0,0,3.4299550328606,4.64344661396654,"SLC25A20"
"SOX2-16767105 DOWN","3/713",0.263512693693239,0.998632542728088,0,0,1.72969733293377,2.30681731497674,"TMEM37;PIK3R3;SLC25A20"
"CHiP CHD7-19251738","1/141",0.298253677795296,0.998632542728088,0,0,2.88775510204082,3.49363756094843,"F8A2"
"Protein POU5F1-22083510","1/198",0.392303092169255,0.998632542728088,0,0,2.04630684761214,1.91477135590819,"GFAP"
"ZFX-17448993 DOWN","1/206",0.404472729172713,0.998632542728088,0,0,1.96565455450473,1.77925342674423,"ADAMTS6"
"REST-21632747 UP","1/216",0.41934932166703,0.998632542728088,0,0,1.87327954437589,1.627975467192,"SLC25A20"
"EOMES-19796622 UP","5/1724",0.434186058705829,0.998632542728088,0,0,1.17839829358154,0.983116638422071,"TMEM37;BEX1;MPPED2;PIK3R3;GRAMD4"
"SETDB1-19884255 UP","1/229",0.438145462697151,0.998632542728088,0,0,1.76530612244898,1.45673823329454,"GPT2"
"CHiP TCF3-18692474","4/1351",0.439666205358373,0.998632542728088,0,0,1.20092960201414,0.986851247648523,"GPT2;CACHD1;SLC25A20;ADAMTS6"
"DLX3-19796622 UP","6/2132",0.444937434559663,0.998632542728088,0,0,1.14324809715214,0.925827006886123,"TMEM37;BEX1;LRRN3;MPPED2;CD248;SLC25A20"
"NANOG-16518401 DOWN","1/237",0.449414555053263,0.998632542728088,0,0,1.70477343479765,1.36349404306673,"SLC25A20"
"JARID2-20075857 UP","3/1005",0.462912272899342,0.998632542728088,0,0,1.20703274302459,0.929678005158909,"LRRN3;B3GAT1;PIK3R3"
"ZFAND3-19796622 DOWN","1/257",0.476627136056757,0.998632542728088,0,0,1.56999362244898,1.16339789742223,"LRRN3"
"TBX3-16767105 UP","1/261",0.481909274952171,0.998632542728088,0,0,1.54552590266876,1.12823299537026,"SLC25A20"
"ESRRB-16767105 UP","1/277",0.502520326671336,0.998632542728088,0,0,1.4547471162378,1.0010394055053,"SLC25A20"
"MYCN-19796622 DOWN","2/674",0.506009648674779,0.998632542728088,0,0,1.1953125,0.814246326769016,"ODF3;DEFA1"
"SMAD7-19796622 UP","2/684",0.513940881683259,0.998632542728088,0,0,1.17717497556207,0.783583033715634,"LRRN3;SLC25A20"
