"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"beta-Casomorphins/Opioid Receptors Affect Brain Function (Hypothesis)","1/11",0.0271653448579924,0.186683369641632,0,0,40.6938775510204,146.734521000359,"GFAP"
"Oxytocin Signaling in Brain Nerve Cell (Hypothesis)","1/17",0.0416766547912335,0.186683369641632,0,0,25.4260204081633,80.799167280865,"GFAP"
"Potassium Cycling in the Inner Ear (Noise-Induced)","1/21",0.0512327930672156,0.186683369641632,0,0,20.3367346938776,60.4280744540867,"TMC1"
"Potassium Cycling in the Inner Ear (Age-Related)","1/22",0.0536071985992548,0.186683369641632,0,0,19.3673469387755,56.6702499978695,"TMC1"
"Potassium Cycling in the Inner Ear (Congenital Deafness)","1/24",0.05833855301301,0.186683369641632,0,0,17.681455190772,50.2417155506286,"TMC1"
"PI3K/RAC1 Signaling","1/36",0.0862437219743076,0.203176294431043,0,0,11.6122448979592,28.4567120450411,"PIK3R3"
"Proteins Involved in Hearing Loss","2/209",0.0961284696354656,0.203176294431043,0,0,3.97403381642512,9.30746441383207,"TMC1;FSCN2"
"Proteins Involved in Neuroblastoma","2/216",0.101588147215522,0.203176294431043,0,0,3.84267912772586,8.78754780712842,"MPPED2;CD248"
"Genes with Mutations Associated with Retinitis Pigmentosa","1/57",0.133140512285209,0.233994664611422,0,0,7.25,14.6185391319657,"FSCN2"
"Proteins Involved in Epilepsy","2/270",0.146246665382139,0.233994664611422,0,0,3.06001243781095,5.88275332864559,"SLC4A10;KCNQ5"
"Proteins Involved in HIV Type 1 Infection","1/88",0.198087702903643,0.274816759248421,0,0,4.65939479239972,7.54377171660372,"DEFA1"
"Proteins Involved in Astrocytoma","1/92",0.206112569436316,0.274816759248421,0,0,4.45368916797488,7.03385741012878,"GFAP"
"Proteins Involved in Retinitis Pigmentosa","1/127",0.273054483863885,0.336067057063243,0,0,3.2108843537415,4.16799737784363,"FSCN2"
"Proteins Involved in Chronic Obstructive Pulmonary Disease","1/170",0.347759333321801,0.384856228685064,0,0,2.38872116894095,2.52307385797591,"DEFA1"
"Proteins Involved in Glioblastoma","1/178",0.360802714392248,0.384856228685064,0,0,2.2798339674853,2.32411738851616,"GFAP"
"Proteins Involved in Glioma","1/290",0.518673213066125,0.518673213066125,0,0,1.3883906503778,0.91145241770647,"GFAP"
