"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"ARCHS4 IDG Coexp","1/100",0.221926911560385,0.278527890347267,0,0,4.09214594928881,6.16034588762116,"B3GAT1"
"LINCS L1000 Kinase Perturbations up","1/100",0.221926911560385,0.278527890347267,0,0,4.09214594928881,6.16034588762116,"FSCN2"
"Allen Brain Atlas down","1/102",0.225832006978328,0.278527890347267,0,0,4.01070923418872,5.96779050603106,"CACHD1"
"Panther 2015","1/103",0.22777734539855,0.278527890347267,0,0,3.97118847539016,5.87492334394335,"PIK3R3"
"SysMyo Muscle Gene Sets","1/103",0.22777734539855,0.278527890347267,0,0,3.97118847539016,5.87492334394335,"BEX1"
"Panther 2016","1/104",0.229717893074581,0.278527890347267,0,0,3.93243510996632,5.78423168094792,"PIK3R3"
"KEGG 2016","1/105",0.231653661546854,0.278527890347267,0,0,3.89442700156986,5.69564568108454,"PIK3R3"
"KEGG 2015","1/106",0.23358466235033,0.278527890347267,0,0,3.85714285714286,5.60909836773195,"PIK3R3"
"NCI-Nature 2015","1/106",0.23358466235033,0.278527890347267,0,0,3.85714285714286,5.60909836773195,"PIK3R3"
"BioPlex 2017","1/107",0.235510907008418,0.278527890347267,0,0,3.82056218713901,5.52452548143668,"DEFA1"
"LINCS L1000 Ligand Perturbations down","1/109",0.239349173739861,0.278527890347267,0,0,3.74943310657596,5.36105874493243,"BEX1"
"NCI-Nature 2016","1/109",0.239349173739861,0.278527890347267,0,0,3.74943310657596,5.36105874493243,"PIK3R3"
"KEA 2015","1/114",0.248862407858827,0.278527890347267,0,0,3.58262597074228,4.98291365340615,"GFAP"
"Humancyc 2016","1/114",0.248862407858827,0.278527890347267,0,0,3.58262597074228,4.98291365340615,"B3GAT1"
"ARCHS4 Cell-lines","1/120",0.260124462166282,0.278527890347267,0,0,3.40096038415366,4.57971645890887,"KCNQ5"
"Achilles fitness increase","1/124",0.267540390273413,0.278527890347267,0,0,3.28969636635142,4.33741443316037,"POLR3G"
"KEGG 2013","1/130",0.278527890347267,0.278527890347267,0,0,3.13573801613669,4.00821660462478,"PIK3R3"
