"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"muscle atrophy model","4/258",0.00391229307146348,0.999939313891672,0,0,6.74289626840123,37.3801329207167,"BEX1;LRRN3;KCNQ5;CD248"
"CD161-/CD161+","2/62",0.0105265894654257,0.999939313891672,0,0,13.8125,62.9000654557375,"LRRN3;DEFA1"
"Breast cancer possibly correlated genes after algorithmic analysis","8/1284",0.0136217690744862,0.999939313891672,0,0,2.7875802358561,11.9756847002748,"TMEM37;SNTG2;FGFBP2;LRRN3;MPPED2;B3GAT1;CACHD1;GFAP"
"about DCM","3/215",0.0165741561046106,0.999939313891672,0,0,5.942794058611,24.3649246989329,"LRRN3;GPT2;CD248"
"LIN28 shRNA microarray","4/440",0.0240184158035928,0.999939313891672,0,0,3.89190267251695,14.5126498259958,"RNU1-1;BEX1;GPT2;CACHD1"
"Log2 Fold Change by Category (Hashimoto patients/ Reference) Unit Vectors -0.13-(-0.03)","2/99",0.0254700751762328,0.999939313891672,0,0,8.52792096219931,31.2996107672048,"VMO1;CD248"
"genes from gwas on asparaginase-associated pancreatitis in children with acute lymphoblastic leukemia","1/12",0.0295987615689071,0.999939313891672,0,0,36.9925788497217,130.214719406514,"VMO1"
"Downregulated genes rheumatic diseases and covid-19","1/15",0.0368632785936063,0.999939313891672,0,0,29.0612244897959,95.9177159613371,"VMO1"
"spinal cord injury model","1/16",0.0392729207344652,0.999939313891672,0,0,27.1224489795918,87.8013353011642,"GFAP"
"Glaucoma potential Genes","1/16",0.0392729207344652,0.999939313891672,0,0,27.1224489795918,87.8013353011642,"ADAMTS6"
"mutant mice","1/16",0.0392729207344652,0.999939313891672,0,0,27.1224489795918,87.8013353011642,"VMO1"
"spinal cord injury","1/18",0.0440744949316927,0.999939313891672,0,0,23.9291716686675,74.7038591145848,"GFAP"
"saline","1/20",0.0488525499820278,0.999939313891672,0,0,21.4081632653061,64.6301466936404,"GFAP"
"+E2, CtS +E2, si10 -E2, si10","1/21",0.0512327930672156,0.999939313891672,0,0,20.3367346938776,60.4280744540867,"PIK3R3"
"gene list of ND","1/24",0.05833855301301,0.999939313891672,0,0,17.681455190772,50.2417155506286,"DEFA1"
"microarray, dataset: he07","2/162",0.0620359971863136,0.999939313891672,0,0,5.15364583333333,14.327343946786,"CACHD1;GRAMD4"
"Genes Involved In Prostate Cancer","1/26",0.0630467249540435,0.999939313891672,0,0,16.265306122449,44.9553406480956,"BEX1"
"An ko mice","2/170",0.0674885332401351,0.999939313891672,0,0,4.90625,13.2262568447806,"BEX1;GPT2"
"eWAT White +","4/617",0.06784457292541,0.999939313891672,0,0,2.74303142066813,7.38022446347775,"GPT2;CACHD1;CD248;GRAMD4"
"lead SNPs from Neale v2 analysis of UKBB data, pruned with distance cutoff of 500kb and mapped to nearest gene","3/377",0.0680499721710798,0.999939313891672,0,0,3.34099442484924,8.97896581217073,"MPPED2;B3GAT1;SLC4A10"
"42pos UP","1/29",0.0700657588372089,0.999939313891672,0,0,14.5204081632653,38.5999069065122,"BEX1"
"genes up-regulated in glomeruli of WT1het mouse model of FSGS, at age of 12 weeks","4/634",0.0733951130867219,0.999939313891672,0,0,2.66666666666667,6.96506113274169,"TMEM37;GPT2;KCNQ5;CD248"
"Interaction between the candidate molecule and the pathway.","1/35",0.0839495853612938,0.999939313891672,0,0,11.9543817527011,29.6174450357809,"GPT2"
"ceRNA BLCA TN","1/39",0.0930924017046572,0.999939313891672,0,0,10.6938775510204,25.3890053323137,"KCNQ5"
"SCN Absolutely Specific Genes (SCN-ASGs), dataset: jz18","1/40",0.0953640965755272,0.999939313891672,0,0,10.4191522762951,24.4855612889518,"VMO1"
"down DEGS","2/222",0.106335845108197,0.999939313891672,0,0,3.73674242424242,8.37461090928337,"BEX1;GPT2"
"A list of genes with exon usage changes in the nacc","1/45",0.106639187352935,0.999939313891672,0,0,9.23283858998145,20.665901611884,"KCNQ5"
"endothelial cells","1/45",0.106639187352935,0.999939313891672,0,0,9.23283858998145,20.665901611884,"LRRN3"
"Differentially expressed in perinatal stress - Rat pituitary","2/233",0.115193218014755,0.999939313891672,0,0,3.55681818181818,7.68679770915908,"SNTG2;LRRN3"
"TREM2 KO Mouse - b.4mhip - Top50","1/50",0.117776526004041,0.999939313891672,0,0,8.28862973760933,17.7290996615035,"GPT2"
"TREM2 KO Mouse - b.4mhip - Top50 Up-Regulated Genes in WT","1/50",0.117776526004041,0.999939313891672,0,0,8.28862973760933,17.7290996615035,"GPT2"
"CircRNA in mouse developmental tissues","1/54",0.126588324068776,0.999939313891672,0,0,7.66153253754332,15.8349703751844,"MPPED2"
"placenta","1/56",0.130961819814475,0.999939313891672,0,0,7.3821892393321,15.0068793354093,"GPT2"
"prostate cancer, dataset: 608fcbf16523692535d87a57cac89cfc","1/59",0.137481851045255,0.999939313891672,0,0,6.99929627023223,13.8884471557023,"BEX1"
"PROSTATE, dataset: 0f704171e7d0749a8662e556d57214d8","1/59",0.137481851045255,0.999939313891672,0,0,6.99929627023223,13.8884471557023,"BEX1"
"Human skin, RNA seq from non-allergic hairdressers","1/59",0.137481851045255,0.999939313891672,0,0,6.99929627023223,13.8884471557023,"ADAMTS6"
"RNA sequ from miR29 downregulation in adul mice.","6/1415",0.139765845114165,0.999939313891672,0,0,1.79440609071553,3.53100860393248,"SNTG2;BEX1;GPT2;CD248;GRAMD4;GFAP"
"pool of proteins overexpressed in the epileptogenic nucleus in a epilepsy model","1/63",0.146100703414545,0.999939313891672,0,0,6.54641211323239,12.5917562502396,"SLC4A10"
"upregulated genes rheumatic diseases and covid","2/277",0.152307847273774,0.999939313891672,0,0,2.98106060606061,5.60991335909967,"BEX1;DEFA1"
"b16 down","1/66",0.152509397975627,0.999939313891672,0,0,6.24332810047096,11.7407599163322,"KCNQ5"
"Gene expression between wt and ube3a","2/280",0.15492109483755,0.999939313891672,0,0,2.9484412470024,5.49836927993445,"TMEM37;SLC25A20"
"AP resistance 283 significant gene list","2/282",0.156668254040795,0.999939313891672,0,0,2.92708333333333,5.42571408511493,"PIK3R3;ADAMTS6"
"10 percent of the longest transcripts of the human genome","7/1812",0.163262613324557,0.999939313891672,0,0,1.63647490820073,2.96593935029175,"TMC1;SNTG2;MPPED2;SLC4A10;CACHD1;KCNQ5;ADAMTS6"
"Upregulated selctive inhibition of HDAC","1/75",0.171453976440458,0.999939313891672,0,0,5.4815223386652,9.66633798573148,"F8A2"
"Darkblue(High)","1/76",0.173533135363907,0.999939313891672,0,0,5.40816326530612,9.4717853003048,"SLC25A20"
"Niu Shi Huovsbuhuo Dec17","3/594",0.185246792418495,0.999939313891672,0,0,2.09083054325521,3.52527898037483,"ZNF683;MPPED2;SLC4A10"
"Thyroid cancer and Kidney disease","1/83",0.187944761535793,0.999939313891672,0,0,4.94474863115978,8.26567731981137,"LRRN3"
"for shizophrenia","1/83",0.187944761535793,0.999939313891672,0,0,4.94474863115978,8.26567731981137,"LRRN3"
"GIV 1","1/83",0.187944761535793,0.999939313891672,0,0,4.94474863115978,8.26567731981137,"MPPED2"
"any people who have subdermal implants","1/85",0.192016936645131,0.999939313891672,0,0,4.8265306122449,7.96460422141435,"PIK3R3"
"genes that are at least 2-fold down-regulated in GSE66158","1/87",0.196069097589664,0.999939313891672,0,0,4.71381110583768,7.6801565438185,"KLHL4"
