"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"H3K27me3 Colon Smooth Muscle","5/852",0.060746017764477,0.999996504656981,0,0,2.50596877869605,7.01935324523036,"SLC4A10;CACHD1;KCNQ5;FSCN2;KLHL4"
"H3K27me3 CD4+ CD25+ CD127- Treg Primary Cells","6/1199",0.0771456770079649,0.999996504656981,0,0,2.14398384515736,5.49301468289764,"GPT2;MPPED2;B3GAT1;SLC4A10;PIK3R3;KCNQ5"
"H3K27me3 CD4+ CD25- Th Primary Cells","5/1021",0.110391686716283,0.999996504656981,0,0,2.07064741907262,4.56312806102648,"SNTG2;FGFBP2;MPPED2;CACHD1;PIK3R3"
"H3K27me3 Penis Foreskin Fibroblast Primary Cells","7/1649",0.114483278825521,0.999996504656981,0,0,1.81508653655497,3.93388515611469,"SNTG2;FGFBP2;B3GAT1;SLC4A10;KCNQ5;FSCN2;GFAP"
"H3K27me3 Duodenum Smooth Muscle","5/1054",0.12190892920475,0.999996504656981,0,0,2.00201249867599,4.213197255083,"MPPED2;B3GAT1;SLC4A10;PIK3R3;KCNQ5"
"H3K27me3 Neurosphere Cultured Cells Ganglionic Eminence Derived","3/557",0.162396917983564,0.999996504656981,0,0,2.23473385052615,4.0621021555913,"ZNF683;SNTG2;FSCN2"
"H3K27me3 H1 Derived Mesenchymal Stem Cells","5/1212",0.184298400609754,0.999996504656981,0,0,1.72539814047685,2.91799176943272,"ZNF683;ODF3;B3GAT1;SLC4A10;FSCN2"
"H3K27me3 Penis Foreskin Keratinocyte Primary Cells","3/615",0.198589041049262,0.999996504656981,0,0,2.01689612015019,3.26034829728048,"SNTG2;MPPED2;SLC4A10"
"H3K27me3 IMR90","6/1741",0.266756446135188,0.999996504656981,0,0,1.43162169242861,1.8917724253509,"SNTG2;BEX1;MPPED2;B3GAT1;SLC4A10;KLHL4"
"H3K27me3 Mesenchymal Stem Cell Derived Adipocyte Cultured Cells","5/1437",0.288952839506226,0.999996504656981,0,0,1.43684047175667,1.78382564819888,"MPPED2;SLC4A10;KCNQ5;FSCN2;KLHL4"
