"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"MAGI2-AS3-ASO_G0234456_04-DEGs Up","1/7",0.017371741450284,0.533674927783496,0,0,67.8367346938775,274.936210768444,"PIK3R3"
"LINC00630-ASO_G0223546_02-DEGs Up","2/83",0.0183241429417303,0.533674927783496,0,0,10.2206790123457,40.8779716326206,"SNTG2;PIK3R3"
"FGD5-AS1-ASO_G0225733_04-DEGs Up","2/92",0.022222383975627,0.533674927783496,0,0,9.19444444444444,35.0000798557161,"RNU1-1;POLR3G"
"LINC00339-ASO_G0218510_AD_03-DEGs Up","3/247",0.0238207699777964,0.533674927783496,0,0,5.15504011161493,19.2654024542508,"CACHD1;KCNQ5;ADAMTS6"
"PCAT6-ASO_G0228288_01-DEGs Down","1/10",0.0247259488172581,0.533674927783496,0,0,45.2176870748299,167.301012082339,"ADAMTS6"
"FTX-ASO_G0230590_02-DEGs Down","1/12",0.0295987615689071,0.533674927783496,0,0,36.9925788497217,130.214719406514,"CD248"
"CD27-AS1-ASO_G0215039_01-DEGs Up","3/306",0.0410129092014783,0.533674927783496,0,0,4.13882452074995,13.2188608634723,"RNU1-1;BEX1;POLR3G"
"RP11-545E17.3-ASO_G0223478_03-DEGs Up","1/18",0.0440744949316927,0.533674927783496,0,0,23.9291716686675,74.7038591145848,"LRRN3"
"LINC00511-ASO_G0227036_04-DEGs Up","2/135",0.044880063249312,0.533674927783496,0,0,6.20833333333333,19.2691866525864,"RNU1-1;BEX1"
"CTD-3018O17.3-ASO_G0269834_AD_02-DEGs Up","1/19",0.0464664552952436,0.533674927783496,0,0,22.5986394557823,69.3557808280063,"POLR3G"
"LINC00862-ASO_G0203721_02-DEGs Up","5/800",0.0487505473339134,0.533674927783496,0,0,2.67714884696017,8.08777068524775,"RNU1-1;BEX1;LRRN3;POLR3G;GFAP"
"DANCR-ASO_G0226950_05-DEGs Up","1/21",0.0512327930672156,0.533674927783496,0,0,20.3367346938776,60.4280744540867,"BEX1"
"RP11-422J8.1-ASO_G0233621_01-DEGs Down","3/348",0.0562023107544613,0.540406834177512,0,0,3.62719703977798,10.4419654302531,"SNTG2;KCNQ5;SLC25A20"
"RP11-139H15.1-ASO_G0225973_10-DEGs Up","5/867",0.0644966483234293,0.575862931459191,0,0,2.46042794534674,6.74438242942315,"BEX1;LRRN3;CACHD1;CD248;GRAMD4"
"AC016747.3-ASO_G0212978_02-DEGs Down","1/39",0.0930924017046572,0.775770014205477,0,0,10.6938775510204,25.3890053323137,"ADAMTS6"
"MAPKAPK5-AS1-ASO_G0234608_AD_01-DEGs Up","1/42",0.0998907694703361,0.780396636487001,0,0,9.90990542558487,22.8292310643337,"LRRN3"
"AC027612.6-ASO_G0143429_05-DEGs Down","3/459",0.10701128490967,0.786847683159338,0,0,2.72872340425532,6.0982083223682,"SNTG2;GPT2;KCNQ5"
"RP11-65J3.1-ASO_G0233901_04-DEGs Up","1/55",0.128777761392217,0.802743829822457,0,0,7.51927437641723,15.412009607623,"BEX1"
"LINC00339-ASO_G0218510_AD_06-DEGs Up","2/251",0.13007704380733,0.802743829822457,0,0,3.29668674698795,6.72401578121241,"KCNQ5;ADAMTS6"
"AC009948.5-ASO_G0223960_08-DEGs Up","1/56",0.130961819814475,0.802743829822457,0,0,7.3821892393321,15.0068793354093,"ADAMTS6"
"AC108488.3-ASO_G0234171_02-DEGs Down","4/791",0.134860963410173,0.802743829822457,0,0,2.11734158333794,4.24211700882891,"SNTG2;CACHD1;POLR3G;KCNQ5"
"RP11-395B7.4-ASO_G0227053_04-DEGs Down","2/289",0.162813507341039,0.925076746255906,0,0,2.85467479674797,5.18166255746313,"KCNQ5;GRAMD4"
"CATG00000098831.1-ASO_C0013510_06-DEGs Up","1/89",0.20010134077429,0.970097652289387,0,0,4.60621521335807,7.41108400124833,"LRRN3"
"RP11-473M20.14-ASO_G0263072_05-DEGs Down","1/104",0.229717893074581,0.970097652289387,0,0,3.93243510996632,5.78423168094792,"CD248"
"MFI2-AS1-ASO_G0228109_07-DEGs Up","1/117",0.254514276411869,0.970097652289387,0,0,3.48944405348346,4.77494948047232,"RNU1-1"
"LINC00862-ASO_G0203721_05-DEGs Down","1/120",0.260124462166282,0.970097652289387,0,0,3.40096038415366,4.57971645890887,"SLC25A20"
"LINC00856-ASO_G0230417_01-DEGs Up","1/124",0.267540390273413,0.970097652289387,0,0,3.28969636635142,4.33741443316037,"POLR3G"
"PTCHD3P1-ASO_G0224597_AD_04-DEGs Up","2/408",0.271660616808388,0.970097652289387,0,0,2.00574712643678,2.61389311322955,"KCNQ5;ADAMTS6"
"DNM3OS-ASO_G0230630_AD_04-DEGs Down","2/409",0.272590952414865,0.970097652289387,0,0,2.00071662571663,2.60049735836414,"KCNQ5;ADAMTS6"
"KTN1-AS1-ASO_G0186615_04-DEGs Down","1/140",0.296482488408479,0.970097652289387,0,0,2.90867713992072,3.53627403902577,"ADAMTS6"
"RP11-220I1.1-ASO_G0233137_02-DEGs Down","1/140",0.296482488408479,0.970097652289387,0,0,2.90867713992072,3.53627403902577,"ADAMTS6"
"AC017048.4-ASO_G0224577_AD_05-DEGs Up","2/443",0.304183759140449,0.970097652289387,0,0,1.84325396825397,2.19369947578391,"KCNQ5;ADAMTS6"
"RP11-221N13.3-ASO_G0256268_AD_07-DEGs Up","1/154",0.320885269622271,0.970097652289387,0,0,2.640656262505,3.00155907202735,"LRRN3"
"AC005592.2-ASO_G0231185_02-DEGs Up","1/157",0.326005481520818,0.970097652289387,0,0,2.5894819466248,2.90239775017796,"CD248"
"LINC00702-ASO_G0233117_02-DEGs Down","2/477",0.335567617852335,0.970097652289387,0,0,1.70833333333333,1.86538349056218,"SLC25A20;ADAMTS6"
"RP11-65J3.1-ASO_G0233901_05-DEGs Up","4/1176",0.338809633510867,0.970097652289387,0,0,1.39323341742098,1.50792004879433,"BEX1;LRRN3;SLC25A20;GFAP"
"LINC00630-ASO_G0223546_02-DEGs Down","1/166",0.341140184727148,0.970097652289387,0,0,2.44712430426716,2.6317886779391,"POLR3G"
"MEG3-ASO_G0214548_AD_09-DEGs Up","2/486",0.34381745215481,0.970097652289387,0,0,1.67579201101928,1.78914999768995,"CACHD1;ADAMTS6"
"AC016747.3-ASO_G0212978_03-DEGs Up","1/170",0.347759333321801,0.970097652289387,0,0,2.38872116894095,2.52307385797591,"LRRN3"
"TMCC1-AS1-ASO_G0271270_09-DEGs Down","2/491",0.348387967881072,0.970097652289387,0,0,1.65823108384458,1.74850281271019,"SNTG2;KCNQ5"
"EMX2OS-ASO_G0229847_AD_04-DEGs Up","3/846",0.355079454099618,0.970097652289387,0,0,1.44673279321572,1.49796695460145,"LRRN3;POLR3G;SLC25A20"
"TMCC1-AS1-ASO_G0271270_09-DEGs Up","1/175",0.355941681166819,0.970097652289387,0,0,2.31949331456721,2.39600963794873,"GFAP"
"CATG00000095991.1-ASO_C0012015_AD_05-DEGs Down","1/176",0.357566037357018,0.970097652289387,0,0,2.30612244897959,2.37169753438861,"ADAMTS6"
"DNAJC27-AS1-ASO_G0224165_10-DEGs Up","1/177",0.359186378521905,0.970097652289387,0,0,2.29290352504638,2.34773571036283,"CD248"
"SRP14-AS1-ASO_G0248508_10-DEGs Down","1/184",0.370417160319637,0.970097652289387,0,0,2.20441619270659,2.18926181923924,"ADAMTS6"
"RP11-422J8.1-ASO_G0233621_01-DEGs Up","1/185",0.372005729477856,0.970097652289387,0,0,2.19232475598935,2.16787161609636,"GRAMD4"
"RP11-553K8.5-ASO_G0261573_AD_04-DEGs Down","6/1988",0.37830007959286,0.970097652289387,0,0,1.23621686083846,1.20168627904763,"SNTG2;GPT2;CACHD1;PIK3R3;CD248;GRAMD4"
"CATG00000095991.1-ASO_C0012015_07-DEGs Up","1/191",0.381454981917513,0.970097652289387,0,0,2.12244897959184,2.04553660322505,"GRAMD4"
"LINC00968-ASO_G0246430_03-DEGs Down","2/547",0.398814605003192,0.970097652289387,0,0,1.4835626911315,1.36377779093124,"POLR3G;KCNQ5"
"AC004980.7-ASO_G0205485_01-DEGs Up","1/221",0.426650425288328,0.970097652289387,0,0,1.83024118738404,1.55898164832931,"POLR3G"
"AC017048.4-ASO_G0224577_02-DEGs Up","1/222",0.42809981215791,0.970097652289387,0,0,1.82186720842183,1.54567014397397,"BEX1"
"SERTAD4-AS1-ASO_G0203706_01-DEGs Up","1/227",0.435293057571626,0.970097652289387,0,0,1.78110890373849,1.48141200181526,"RNU1-1"
"RP11-660L16.2-ASO_G0254682_02-DEGs Down","1/228",0.436721029557932,0.970097652289387,0,0,1.77317270520543,1.46900383679985,"SNTG2"
"RP11-398K22.12-ASO_G0229852_03-DEGs Up","1/230",0.439566365538559,0.970097652289387,0,0,1.75750824347206,1.44461302420391,"BEX1"
"LINC00963-ASO_G0204054_06-DEGs Up","1/231",0.440983746701717,0.970097652289387,0,0,1.74977817213842,1.43262608363693,"GFAP"
"RP11-473M20.14-ASO_G0263072_06-DEGs Down","4/1390",0.461760274573788,0.970097652289387,0,0,1.16469038208169,0.899967216541187,"GPT2;CACHD1;KCNQ5;ADAMTS6"
"RP11-473M20.14-ASO_G0263072_01-DEGs Up","1/254",0.472630932471944,0.970097652289387,0,0,1.58885214164717,1.19075008733485,"GFAP"
"CATG00000095991.1-ASO_C0012015_07-DEGs Down","1/258",0.477952597537146,0.970097652289387,0,0,1.56380528865243,1.15446943324466,"KCNQ5"
"RP13-463N16.6-ASO_G0242147_07-DEGs Down","3/1032",0.480578808596653,0.970097652289387,0,0,1.17368649587495,0.860035270490167,"PIK3R3;POLR3G;ADAMTS6"
"MEG3-ASO_G0214548_01-DEGs Up","2/651",0.487466563078903,0.970097652289387,0,0,1.23914997431947,0.890370866526405,"BEX1;SLC25A20"
"AC007246.3-ASO_G0231312_02-DEGs Down","1/268",0.491027585552224,0.970097652289387,0,0,1.50447145150195,1.07006279767312,"CACHD1"
