"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"regulation of SNARE complex assembly (GO:0035542)","3/70",0.000715273883662821,0.2042968073307,0,0,18.9422038742458,137.19544727388,"TBC1D3K;TBC1D3G;GFAP"
"regulation of Golgi vesicle fusion to target membrane (GO:0048214)","2/49",0.00668289703036885,0.2042968073307,0,0,17.6445035460993,88.3672679136724,"TBC1D3K;TBC1D3G"
"regulation of endosomal vesicle fusion (GO:1905364)","2/49",0.00668289703036885,0.2042968073307,0,0,17.6445035460993,88.3672679136724,"TBC1D3K;TBC1D3G"
"mitochondrial ATP transmembrane transport (GO:1990544)","2/51",0.00722250262714212,0.2042968073307,0,0,16.922619047619,83.4378830060969,"SLC4A10;SLC25A20"
"negative regulation of vesicle fusion (GO:0031339)","2/52",0.00749948183046907,0.2042968073307,0,0,16.5833333333333,81.1409457224491,"TBC1D3K;TBC1D3G"
"positive regulation of vesicle fusion (GO:0031340)","2/57",0.00895516083649681,0.2042968073307,0,0,15.0719696969697,71.072254172272,"TBC1D3K;TBC1D3G"
"regulation of vesicle fusion (GO:0031338)","2/58",0.00926028293931899,0.2042968073307,0,0,14.8020833333333,69.3036602114154,"TBC1D3K;TBC1D3G"
"regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031630)","2/60",0.00988432040405467,0.2042968073307,0,0,14.2902298850575,65.9752130005797,"TBC1D3K;TBC1D3G"
"regulation of phosphatidylinositol 3-kinase activity (GO:0043551)","1/6",0.0149082847993736,0.2042968073307,0,0,81.4081632653061,342.389562344484,"PIK3R3"
"positive regulation of natural killer cell differentiation involved in immune response (GO:0032828)","1/7",0.017371741450284,0.2042968073307,0,0,67.8367346938775,274.936210768444,"ZNF683"
"positive regulation of NK T cell differentiation (GO:0051138)","1/8",0.0198291614511851,0.2042968073307,0,0,58.1428571428571,227.954980151296,"ZNF683"
"carnitine transmembrane transport (GO:1902603)","1/8",0.0198291614511851,0.2042968073307,0,0,58.1428571428571,227.954980151296,"SLC25A20"
"negative regulation of phosphatidylinositol 3-kinase activity (GO:0043553)","1/8",0.0198291614511851,0.2042968073307,0,0,58.1428571428571,227.954980151296,"PIK3R3"
"positive regulation of extrathymic T cell differentiation (GO:0033090)","1/9",0.0222805591236868,0.2042968073307,0,0,50.8724489795918,193.520869933163,"ZNF683"
"regulation of transcription from RNA polymerase III promoter during mitotic cell cycle (GO:0046023)","1/9",0.0222805591236868,0.2042968073307,0,0,50.8724489795918,193.520869933163,"POLR3G"
"negative regulation of natural killer cell differentiation involved in immune response (GO:0032827)","1/9",0.0222805591236868,0.2042968073307,0,0,50.8724489795918,193.520869933163,"ZNF683"
"regulation of RNA polymerase III activity (GO:1903622)","1/9",0.0222805591236868,0.2042968073307,0,0,50.8724489795918,193.520869933163,"POLR3G"
"positive regulation of natural killer cell differentiation (GO:0032825)","1/9",0.0222805591236868,0.2042968073307,0,0,50.8724489795918,193.520869933163,"ZNF683"
"chondroitin sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0050653)","1/9",0.0222805591236868,0.2042968073307,0,0,50.8724489795918,193.520869933163,"B3GAT1"
"arsenate ion transmembrane transport (GO:1901684)","1/13",0.032026213248763,0.2042968073307,0,0,33.9081632653061,116.684789992962,"SLC4A10"
"acetyl-CoA transmembrane transport (GO:0035348)","1/13",0.032026213248763,0.2042968073307,0,0,33.9081632653061,116.684789992962,"SLC4A10"
"plasma membrane selenite transport (GO:0097080)","1/13",0.032026213248763,0.2042968073307,0,0,33.9081632653061,116.684789992962,"SLC4A10"
"L-arabinose catabolic process to 2-oxoglutarate (GO:0019570)","1/14",0.0344477141698712,0.2042968073307,0,0,31.298273155416,105.422368949113,"GPT2"
"inorganic anion transmembrane transport (GO:0098661)","1/14",0.0344477141698712,0.2042968073307,0,0,31.298273155416,105.422368949113,"SLC4A10"
"3'-phospho-5'-adenylyl sulfate transmembrane transport (GO:1902559)","1/14",0.0344477141698712,0.2042968073307,0,0,31.298273155416,105.422368949113,"SLC4A10"
"UDP-galactose transmembrane transport (GO:0072334)","1/14",0.0344477141698712,0.2042968073307,0,0,31.298273155416,105.422368949113,"SLC4A10"
"carboxylic acid transmembrane transport (GO:1905039)","1/14",0.0344477141698712,0.2042968073307,0,0,31.298273155416,105.422368949113,"SLC4A10"
"regulation of clathrin coat assembly (GO:1905443)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"regulation of myosin II filament assembly (GO:0043520)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"glutathione transmembrane transport (GO:0034775)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"SLC4A10"
"mitochondrial ADP transmembrane transport (GO:0140021)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"SLC4A10"
"regulation of proteasome assembly (GO:0090364)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"regulation of eukaryotic translation initiation factor 4F complex assembly (GO:1905535)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"positive regulation by organism of innate immune response in other organism involved in symbiotic interaction (GO:0052305)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"POLR3G"
"regulation of VCP-NPL4-UFD1 AAA ATPase complex assembly (GO:1904239)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"regulation of DNA recombinase mediator complex assembly (GO:1903872)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"regulation of chaperone-mediated protein complex assembly (GO:0090034)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"positive regulation of antifungal innate immune response (GO:1905036)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"POLR3G"
"positive regulation of age-related resistance (GO:1904250)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"POLR3G"
"2-oxoglutarate metabolic process (GO:0006103)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GPT2"
"regulation of Wnt-Frizzled-LRP5/6 complex assembly (GO:1904711)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"regulation of FACT complex assembly (GO:1905644)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"regulation of mediator complex assembly (GO:2001176)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"regulation of starch utilization system complex assembly (GO:1900512)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"regulation of ATG1/ULK1 kinase complex assembly (GO:1905864)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"regulation of nodal receptor complex assembly (GO:1900123)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"regulation of SMAD protein complex assembly (GO:0010990)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"regulation of beta-catenin-TCF complex assembly (GO:1904863)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"positive regulation of systemic acquired resistance (GO:1901672)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"POLR3G"
"regulation of protein polymerization (GO:0032271)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"regulation of apoptosome assembly (GO:1905100)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"GFAP"
"UDP-N-acetylglucosamine transmembrane transport (GO:1990569)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"SLC4A10"
"positive regulation of innate immunity memory response (GO:1905682)","1/15",0.0368632785936063,0.2042968073307,0,0,29.0612244897959,95.9177159613371,"POLR3G"
"positive regulation of complement activation, alternative pathway (GO:0045958)","1/16",0.0392729207344652,0.2042968073307,0,0,27.1224489795918,87.8013353011642,"POLR3G"
"positive regulation of natural killer cell mediated immunity (GO:0002717)","1/16",0.0392729207344652,0.2042968073307,0,0,27.1224489795918,87.8013353011642,"POLR3G"
"positive regulation of complement activation, lectin pathway (GO:0001870)","1/16",0.0392729207344652,0.2042968073307,0,0,27.1224489795918,87.8013353011642,"POLR3G"
"positive regulation of defense response to bacterium, incompatible interaction (GO:1902479)","1/16",0.0392729207344652,0.2042968073307,0,0,27.1224489795918,87.8013353011642,"POLR3G"
"regulation of protein complex assembly (GO:0043254)","1/16",0.0392729207344652,0.2042968073307,0,0,27.1224489795918,87.8013353011642,"GFAP"
"regulation of NLRP3 inflammasome complex assembly (GO:1900225)","1/16",0.0392729207344652,0.2042968073307,0,0,27.1224489795918,87.8013353011642,"GFAP"
"regulation of protein oligomerization (GO:0032459)","1/16",0.0392729207344652,0.2042968073307,0,0,27.1224489795918,87.8013353011642,"GFAP"
"acetyl-CoA assimilation pathway (GO:0019681)","1/16",0.0392729207344652,0.2042968073307,0,0,27.1224489795918,87.8013353011642,"GPT2"
"glutamate catabolic process via 2-oxoglutarate (GO:0006539)","1/18",0.0440744949316927,0.2042968073307,0,0,23.9291716686675,74.7038591145848,"GPT2"
"regulation of integrin activation (GO:0033623)","1/18",0.0440744949316927,0.2042968073307,0,0,23.9291716686675,74.7038591145848,"GFAP"
"regulation of death-inducing signaling complex assembly (GO:1903072)","1/18",0.0440744949316927,0.2042968073307,0,0,23.9291716686675,74.7038591145848,"GFAP"
"proline catabolic process to 2-oxoglutarate (GO:0019495)","1/18",0.0440744949316927,0.2042968073307,0,0,23.9291716686675,74.7038591145848,"GPT2"
