"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"regulation of vesicle fusion (GO:0031338)","2/61",0.0102031878981959,0.188559452543712,0,0,14.0473163841808,64.407719185876,"TBC1D3K;TBC1D3G"
"ornithine transport (GO:0015822)","1/7",0.017371741450284,0.188559452543712,0,0,67.8367346938775,274.936210768444,"SLC25A20"
"carnitine transport (GO:0015879)","1/7",0.017371741450284,0.188559452543712,0,0,67.8367346938775,274.936210768444,"SLC25A20"
"amino-acid betaine transport (GO:0015838)","1/7",0.017371741450284,0.188559452543712,0,0,67.8367346938775,274.936210768444,"SLC25A20"
"chondroitin sulfate proteoglycan metabolic process (GO:0050654)","1/7",0.017371741450284,0.188559452543712,0,0,67.8367346938775,274.936210768444,"B3GAT1"
"regulation of alpha-beta T cell differentiation (GO:0046637)","1/7",0.017371741450284,0.188559452543712,0,0,67.8367346938775,274.936210768444,"ZNF683"
"activation of GTPase activity (GO:0090630)","2/84",0.0187414436957379,0.188559452543712,0,0,10.0955284552846,40.1500980524822,"TBC1D3K;TBC1D3G"
"defense response to protozoan (GO:0042832)","1/8",0.0198291614511851,0.188559452543712,0,0,58.1428571428571,227.954980151296,"DEFA1"
"regulation of chaperone-mediated autophagy (GO:1904714)","1/8",0.0198291614511851,0.188559452543712,0,0,58.1428571428571,227.954980151296,"GFAP"
"regulation of natural killer cell activation (GO:0032814)","1/9",0.0222805591236868,0.188559452543712,0,0,50.8724489795918,193.520869933163,"ZNF683"
"membrane disruption in other organism (GO:0051673)","1/9",0.0222805591236868,0.188559452543712,0,0,50.8724489795918,193.520869933163,"DEFA1"
"positive regulation of glucose import in response to insulin stimulus (GO:2001275)","1/10",0.0247259488172581,0.188559452543712,0,0,45.2176870748299,167.301012082339,"PIK3R3"
"regulation of phospholipid metabolic process (GO:1903725)","1/10",0.0247259488172581,0.188559452543712,0,0,45.2176870748299,167.301012082339,"PIK3R3"
"T cell chemotaxis (GO:0010818)","1/10",0.0247259488172581,0.188559452543712,0,0,45.2176870748299,167.301012082339,"DEFA1"
"carnitine shuttle (GO:0006853)","1/11",0.0271653448579924,0.188559452543712,0,0,40.6938775510204,146.734521000359,"SLC25A20"
"fatty acid transmembrane transport (GO:1902001)","1/11",0.0271653448579924,0.188559452543712,0,0,40.6938775510204,146.734521000359,"SLC25A20"
"regulation of lipid kinase activity (GO:0043550)","1/11",0.0271653448579924,0.188559452543712,0,0,40.6938775510204,146.734521000359,"PIK3R3"
"regulation of glucose import in response to insulin stimulus (GO:2001273)","1/13",0.032026213248763,0.189124646697632,0,0,33.9081632653061,116.684789992962,"PIK3R3"
"regulation of organelle organization (GO:0033043)","2/113",0.032501099312465,0.189124646697632,0,0,7.44707207207207,25.5172536804021,"TBC1D3K;TBC1D3G"
"regulation of lymphocyte differentiation (GO:0045619)","1/14",0.0344477141698712,0.189124646697632,0,0,31.298273155416,105.422368949113,"ZNF683"
"intermediate filament organization (GO:0045109)","1/14",0.0344477141698712,0.189124646697632,0,0,31.298273155416,105.422368949113,"GFAP"
"positive regulation of cellular response to insulin stimulus (GO:1900078)","1/15",0.0368632785936063,0.189124646697632,0,0,29.0612244897959,95.9177159613371,"PIK3R3"
"intracellular lipid transport (GO:0032365)","1/15",0.0368632785936063,0.189124646697632,0,0,29.0612244897959,95.9177159613371,"SLC25A20"
"T cell migration (GO:0072678)","1/16",0.0392729207344652,0.193091860277787,0,0,27.1224489795918,87.8013353011642,"DEFA1"
"2-oxoglutarate metabolic process (GO:0006103)","1/17",0.0416766547912335,0.196713810614622,0,0,25.4260204081633,80.799167280865,"GPT2"
"innate immune response in mucosa (GO:0002227)","1/19",0.0464664552952436,0.196743068120665,0,0,22.5986394557823,69.3557808280063,"DEFA1"
"intracellular estrogen receptor signaling pathway (GO:0030520)","1/19",0.0464664552952436,0.196743068120665,0,0,22.5986394557823,69.3557808280063,"DEFA1"
"regulation of vesicle-mediated transport (GO:0060627)","2/138",0.0466847958252425,0.196743068120665,0,0,6.07046568627451,18.6019510223216,"TBC1D3K;TBC1D3G"
"regulation of transcription from RNA polymerase III promoter (GO:0006359)","1/22",0.0536071985992548,0.202164307604748,0,0,19.3673469387755,56.6702499978695,"POLR3G"
"mucosal immune response (GO:0002385)","1/24",0.05833855301301,0.202164307604748,0,0,17.681455190772,50.2417155506286,"DEFA1"
"proteoglycan biosynthetic process (GO:0030166)","1/24",0.05833855301301,0.202164307604748,0,0,17.681455190772,50.2417155506286,"B3GAT1"
"chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)","1/25",0.0606955298241754,0.202164307604748,0,0,16.9438775510204,47.4748002047703,"B3GAT1"
"long-chain fatty acid transport (GO:0015909)","1/25",0.0606955298241754,0.202164307604748,0,0,16.9438775510204,47.4748002047703,"SLC25A20"
"positive regulation of interferon-beta production (GO:0032728)","1/26",0.0630467249540435,0.202164307604748,0,0,16.265306122449,44.9553406480956,"POLR3G"
"positive regulation of glucose import (GO:0046326)","1/26",0.0630467249540435,0.202164307604748,0,0,16.265306122449,44.9553406480956,"PIK3R3"
"transcription from RNA polymerase III promoter (GO:0006383)","1/27",0.0653921522588676,0.202164307604748,0,0,15.6389324960754,42.6528898315632,"POLR3G"
"phosphatidylinositol phosphorylation (GO:0046854)","1/27",0.0653921522588676,0.202164307604748,0,0,15.6389324960754,42.6528898315632,"PIK3R3"
"cellular amino acid biosynthetic process (GO:0008652)","1/28",0.0677318256109869,0.202164307604748,0,0,15.0589569160998,40.5417104352724,"GPT2"
"chondroitin sulfate metabolic process (GO:0030204)","1/30",0.0723939657090184,0.202164307604748,0,0,14.0190007037298,36.8087414767415,"B3GAT1"
"aminoglycan metabolic process (GO:0006022)","1/30",0.0723939657090184,0.202164307604748,0,0,14.0190007037298,36.8087414767415,"B3GAT1"
"mitochondrial transmembrane transport (GO:1990542)","1/32",0.0770332554327669,0.202164307604748,0,0,13.1132323897301,33.6160080774025,"SLC25A20"
"oxoacid metabolic process (GO:0043436)","1/32",0.0770332554327669,0.202164307604748,0,0,13.1132323897301,33.6160080774025,"B3GAT1"
"regulation of T cell differentiation (GO:0045580)","1/33",0.0793443657059371,0.202164307604748,0,0,12.702806122449,32.1883751655927,"ZNF683"
"regulation of phosphatidylinositol 3-kinase activity (GO:0043551)","1/33",0.0793443657059371,0.202164307604748,0,0,12.702806122449,32.1883751655927,"PIK3R3"
"regulation of interferon-beta production (GO:0032648)","1/34",0.0816498044624026,0.202164307604748,0,0,12.317254174397,30.8586121657323,"POLR3G"
"positive regulation of GTPase activity (GO:0043547)","2/192",0.0832523822519886,0.202164307604748,0,0,4.33333333333333,10.7721403178632,"TBC1D3K;TBC1D3G"
"actin filament bundle organization (GO:0061572)","1/35",0.0839495853612938,0.202164307604748,0,0,11.9543817527011,29.6174450357809,"FSCN2"
"lipid phosphorylation (GO:0046834)","1/35",0.0839495853612938,0.202164307604748,0,0,11.9543817527011,29.6174450357809,"PIK3R3"
"antibacterial humoral response (GO:0019731)","1/35",0.0839495853612938,0.202164307604748,0,0,11.9543817527011,29.6174450357809,"DEFA1"
"actin filament bundle assembly (GO:0051017)","1/37",0.0885322278902677,0.202192146462248,0,0,11.2891156462585,27.3692036867235,"FSCN2"
"regulation of cellular amide metabolic process (GO:0034248)","1/38",0.0908151166313485,0.202192146462248,0,0,10.9834528405957,26.3485293003408,"GFAP"
"positive regulation of innate immune response (GO:0045089)","1/38",0.0908151166313485,0.202192146462248,0,0,10.9834528405957,26.3485293003408,"POLR3G"
"regulation of cellular pH (GO:0030641)","1/38",0.0908151166313485,0.202192146462248,0,0,10.9834528405957,26.3485293003408,"SLC4A10"
"bicarbonate transport (GO:0015701)","1/41",0.0976302146847682,0.209877421981871,0,0,10.1581632653061,23.6336602002892,"SLC4A10"
"lymphocyte chemotaxis (GO:0048247)","1/44",0.104395242464778,0.209877421981871,0,0,9.44803037494067,21.3484970941598,"DEFA1"
"regulation of intracellular pH (GO:0051453)","1/44",0.104395242464778,0.209877421981871,0,0,9.44803037494067,21.3484970941598,"SLC4A10"
"carboxylic acid biosynthetic process (GO:0046394)","1/44",0.104395242464778,0.209877421981871,0,0,9.44803037494067,21.3484970941598,"GPT2"
"inorganic anion transport (GO:0015698)","1/44",0.104395242464778,0.209877421981871,0,0,9.44803037494067,21.3484970941598,"SLC4A10"
"nervous system development (GO:0007399)","3/455",0.104938710990936,0.209877421981871,0,0,2.75343626435699,6.20728835279249,"SNTG2;MPPED2;SLC4A10"
"antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)","1/49",0.115559999022241,0.227267998077073,0,0,8.46173469387755,18.2601307935979,"DEFA1"
"positive regulation of immune response (GO:0050778)","1/54",0.126588324068776,0.244875774428125,0,0,7.66153253754332,15.8349703751844,"POLR3G"
"positive regulation of cysteine-type endopeptidase activity (GO:2001056)","1/55",0.128777761392217,0.245093158778735,0,0,7.51927437641723,15.412009607623,"GRAMD4"
"dicarboxylic acid metabolic process (GO:0043648)","1/59",0.137481851045255,0.257505689259367,0,0,6.99929627023223,13.8884471557023,"GPT2"
"glycosaminoglycan metabolic process (GO:0030203)","1/61",0.141801880592737,0.261331761590886,0,0,6.76530612244898,13.2148375405932,"B3GAT1"
"positive regulation of type I interferon production (GO:0032481)","1/62",0.143953936469556,0.261331761590886,0,0,6.65406490465038,12.8973205926637,"POLR3G"
"defense response to Gram-positive bacterium (GO:0050830)","1/65",0.150378421491389,0.268337442420279,0,0,6.34119897959184,12.0140378181151,"DEFA1"
"intracellular steroid hormone receptor signaling pathway (GO:0030518)","1/66",0.152509397975627,0.268337442420279,0,0,6.24332810047096,11.7407599163322,"DEFA1"
"insulin receptor signaling pathway (GO:0008286)","1/67",0.154635136309991,0.268337442420279,0,0,6.14842300556586,11.4771806572209,"PIK3R3"
"regulation of innate immune response (GO:0045088)","1/69",0.158870948881139,0.271692347361948,0,0,5.96698679471789,10.9772451176002,"POLR3G"
