"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"intermediate filament (GO:0005882)","1/33",0.0793443657059371,0.329427098178355,0,0,12.702806122449,32.1883751655927,"GFAP"
"mitochondrial inner membrane (GO:0005743)","1/35",0.0839495853612938,0.329427098178355,0,0,11.9543817527011,29.6174450357809,"SLC25A20"
"voltage-gated potassium channel complex (GO:0008076)","1/39",0.0930924017046572,0.329427098178355,0,0,10.6938775510204,25.3890053323137,"KCNQ5"
"organelle inner membrane (GO:0019866)","1/40",0.0953640965755272,0.329427098178355,0,0,10.4191522762951,24.4855612889518,"SLC25A20"
"cytoskeleton (GO:0005856)","2/218",0.10316389948082,0.329427098178355,0,0,3.80671296296296,8.64670600153163,"FSCN2;KLHL4"
"proteinaceous extracellular matrix (GO:0005578)","1/55",0.128777761392217,0.329427098178355,0,0,7.51927437641723,15.412009607623,"CD248"
"actin cytoskeleton (GO:0015629)","1/60",0.139644523053441,0.329427098178355,0,0,6.88031822898651,13.544974303559,"FSCN2"
"mitochondrial membrane (GO:0031966)","1/61",0.141801880592737,0.329427098178355,0,0,6.76530612244898,13.2148375405932,"SLC25A20"
"extracellular matrix (GO:0031012)","1/64",0.14824219418026,0.329427098178355,0,0,6.4421768707483,12.2975222932606,"CD248"
"mitochondrial part (GO:0044429)","1/271",0.494887115497965,0.88471653634965,0,0,1.4875283446712,1.04636550634774,"SLC25A20"
"organelle membrane (GO:0031090)","1/288",0.516222038802987,0.88471653634965,0,0,1.39820806371329,0.924520756555994,"SLC25A20"
"protein complex (GO:0043234)","3/1154",0.55692806457519,0.88471653634965,0,0,1.04251622086252,0.610204755560724,"SNTG2;POLR3G;KCNQ5"
"cytoskeletal part (GO:0044430)","1/339",0.575065748627272,0.88471653634965,0,0,1.18415650283782,0.655159333216886,"GFAP"
"extracellular region part (GO:0044421)","1/423",0.657048559601509,0.938640799430727,0,0,0.944385337073218,0.396639340947371,"CD248"
"integral to membrane (GO:0016021)","2/1441",0.884203272508512,0.996579378090064,0,0,0.535991429233264,0.0659635521351361,"B3GAT1;SLC4A10"
"intrinsic to membrane (GO:0031224)","2/1462",0.889215417162154,0.996579378090064,0,0,0.527682648401826,0.0619582585694677,"B3GAT1;SLC4A10"
"membrane part (GO:0044425)","3/2055",0.899494062761851,0.996579378090064,0,0,0.556737588652482,0.0589712188483075,"B3GAT1;SLC4A10;KCNQ5"
"membrane (GO:0016020)","1/1148",0.94814827272208,0.996579378090064,0,0,0.334555094923759,0.0178131796529677,"SLC25A20"
"intracellular organelle (GO:0043229)","2/2798",0.995157601820932,0.996579378090064,0,0,0.2556330472103,0.00124088385985324,"FSCN2;KLHL4"
"cellular component (GO:0005575)","10/7324",0.996579378090064,0.996579378090064,0,0,0.431911402789171,0.00147993820755464,"SNTG2;B3GAT1;SLC4A10;POLR3G;KCNQ5;CD248;FSCN2;SLC25A20;KLHL4;GFAP"
